# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166620",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "o32eycCcgsvNGGimrTM+pw==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000115.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.057451e+00   5.564384e-01
  3.315685e-03    8.755800e-01   3.078175e-01
  5.526141e-03    1.107527e+00   2.677005e-01
  7.736597e-03    1.250570e+00   2.403113e-01
  9.947054e-03    1.044076e+00   1.935720e-01
  1.215751e-02    1.490225e+00   2.091195e-01
  1.436797e-02    1.463279e+00   1.906073e-01
  1.657842e-02    1.284534e+00   1.662330e-01
  1.878888e-02    1.366951e+00   1.610794e-01
  2.099934e-02    1.589137e+00   1.643171e-01
  2.320979e-02    1.496211e+00   1.516454e-01
  2.542025e-02    1.474969e+00   1.438802e-01
  2.763070e-02    1.555956e+00   1.417389e-01
  2.984116e-02    1.449865e+00   1.316559e-01
  3.205162e-02    1.650693e+00   1.355562e-01
  3.426207e-02    1.343769e+00   1.182871e-01
  3.647253e-02    1.364982e+00   1.155455e-01
  3.868299e-02    1.331475e+00   1.108185e-01
  4.089344e-02    1.475562e+00   1.134643e-01
  4.310390e-02    1.534358e+00   1.126905e-01
  4.531436e-02    1.480601e+00   1.079654e-01
  4.752481e-02    1.429727e+00   1.035966e-01
  4.973527e-02    1.403615e+00   1.003404e-01
  5.194572e-02    1.304074e+00   9.463546e-02
  5.415618e-02    1.345951e+00   9.415717e-02
  5.636664e-02    1.387138e+00   9.369685e-02
  5.857709e-02    1.312775e+00   8.941486e-02
  6.078755e-02    1.319528e+00   8.799674e-02
  6.299801e-02    1.417001e+00   8.957389e-02
  6.520846e-02    1.412647e+00   8.790784e-02
  6.741892e-02    1.421436e+00   8.671886e-02
  6.962938e-02    1.422910e+00   8.537979e-02
  7.183983e-02    1.429398e+00   8.424587e-02
  7.405029e-02    1.534811e+00   8.598222e-02
  7.626074e-02    1.450967e+00   8.237948e-02
  7.847120e-02    1.592946e+00   8.508921e-02
  8.068166e-02    1.568757e+00   8.327530e-02
  8.289211e-02    1.509595e+00   8.059292e-02
  8.510257e-02    1.525565e+00   7.995853e-02
  8.731303e-02    1.458872e+00   7.719219e-02
  8.952348e-02    1.455231e+00   7.614012e-02
  9.173394e-02    1.556518e+00   7.778770e-02
  9.394439e-02    1.516406e+00   7.586774e-02
  9.615485e-02    1.502010e+00   7.463216e-02
  9.836531e-02    1.534010e+00   7.456870e-02
  1.005758e-01    1.443504e+00   7.153662e-02
  1.027862e-01    1.478970e+00   7.162547e-02
  1.049967e-01    1.437660e+00   6.986956e-02
  1.072071e-01    1.577694e+00   7.243393e-02
  1.094176e-01    1.572222e+00   7.157304e-02
  1.116280e-01    1.478747e+00   6.872057e-02
  1.138385e-01    1.479863e+00   6.807441e-02
  1.160490e-01    1.473976e+00   6.728795e-02
  1.182594e-01    1.464711e+00   6.644484e-02
  1.204699e-01    1.490798e+00   6.641558e-02
  1.226803e-01    1.577456e+00   6.769756e-02
  1.248908e-01    1.565975e+00   6.685038e-02
  1.271012e-01    1.657720e+00   6.817871e-02
  1.293117e-01    1.645835e+00   6.734991e-02
  1.315222e-01    1.572242e+00   6.526990e-02
  1.337326e-01    1.551132e+00   6.429097e-02
  1.359431e-01    1.573570e+00   6.479222e-02
  1.381535e-01    1.559527e+00   6.536826e-02
  1.403640e-01    1.559291e+00   6.564555e-02
  1.425744e-01    1.552589e+00   6.560896e-02
  1.447849e-01    1.611788e+00   6.686347e-02
  1.469953e-01    1.613167e+00   6.685016e-02
  1.492058e-01    1.588649e+00   6.626312e-02
  1.514163e-01    1.569262e+00   6.574819e-02
  1.536267e-01    1.606079e+00   6.638514e-02
  1.558372e-01    1.632962e+00   6.679061e-02
  1.580476e-01    1.701115e+00   6.800476e-02
  1.602581e-01    1.630046e+00   6.639997e-02
  1.624685e-01    1.651016e+00   6.664275e-02
  1.646790e-01    1.664074e+00   6.671365e-02
  1.668895e-01    1.680797e+00   6.685442e-02
  1.690999e-01    1.649549e+00   6.603114e-02
  1.713104e-01    1.749625e+00   6.779363e-02
  1.735208e-01    1.670257e+00   6.603218e-02
  1.757313e-01    1.672371e+00   6.586683e-02
  1.779417e-01    1.837335e+00   6.881387e-02
  1.801522e-01    1.935345e+00   7.040048e-02
  1.823626e-01    1.911925e+00   6.974029e-02
  1.845731e-01    1.866197e+00   6.867805e-02
  1.867836e-01    1.926375e+00   6.954109e-02
  1.889940e-01    1.986693e+00   7.039063e-02
  1.912045e-01    2.041645e+00   7.111922e-02
  1.934149e-01    1.908358e+00   6.852844e-02
  1.956254e-01    1.918727e+00   6.848773e-02
  1.978358e-01    1.986467e+00   6.944740e-02
  2.000463e-01    2.004110e+00   6.952395e-02
  2.022568e-01    2.035519e+00   6.983668e-02
  2.044672e-01    1.927990e+00   6.773420e-02
  2.066777e-01    2.021878e+00   6.913359e-02
  2.088881e-01    2.019228e+00   6.886225e-02
  2.110986e-01    1.960340e+00   6.761800e-02
  2.133090e-01    1.993228e+00   6.796119e-02
  2.155195e-01    1.959324e+00   6.715723e-02
  2.177300e-01    1.905464e+00   6.570745e-02
  2.199404e-01    1.979038e+00   6.519949e-02
  2.221509e-01    1.942707e+00   6.353753e-02
  2.243613e-01    1.985780e+00   6.342366e-02
  2.265718e-01    2.013115e+00   6.315486e-02
  2.287822e-01    2.136059e+00   6.441081e-02
  2.309927e-01    2.177714e+00   6.444339e-02
  2.332031e-01    2.169948e+00   6.377780e-02
  2.354136e-01    2.104730e+00   6.230298e-02
  2.376241e-01    2.046649e+00   6.096046e-02
  2.398345e-01    2.172541e+00   6.234252e-02
  2.420450e-01    2.095296e+00   6.078667e-02
  2.442554e-01    2.108533e+00   6.055825e-02
  2.464659e-01    2.226663e+00   6.181372e-02
  2.486763e-01    2.176415e+00   6.071059e-02
  2.508868e-01    2.121537e+00   5.956217e-02
  2.530973e-01    2.082797e+00   5.864994e-02
  2.553077e-01    2.103471e+00   5.858281e-02
  2.575182e-01    2.082499e+00   5.794514e-02
  2.597286e-01    2.117765e+00   5.809406e-02
  2.619391e-01    2.054550e+00   5.689101e-02
  2.641495e-01    2.091322e+00   5.708018e-02
  2.663600e-01    2.057158e+00   5.630071e-02
  2.685704e-01    2.040240e+00   5.576479e-02
  2.707809e-01    2.017794e+00   5.516283e-02
  2.729914e-01    2.068554e+00   5.556129e-02
  2.752018e-01    2.035713e+00   5.483160e-02
  2.774123e-01    1.969554e+00   5.365774e-02
  2.796227e-01    1.997401e+00   5.376846e-02
  2.818332e-01    2.023063e+00   5.384279e-02
  2.840436e-01    2.008145e+00   5.338389e-02
  2.862541e-01    2.006745e+00   5.310875e-02
  2.884646e-01    2.000121e+00   5.276939e-02
  2.906750e-01    1.900520e+00   5.119484e-02
  2.928855e-01    1.925461e+00   5.129088e-02
  2.950959e-01    1.988472e+00   5.188394e-02
  2.973064e-01    2.001159e+00   5.181529e-02
  2.995168e-01    1.923171e+00   5.056552e-02
  3.017273e-01    1.918561e+00   5.028222e-02
  3.039377e-01    1.955551e+00   5.054234e-02
  3.061482e-01    1.860836e+00   4.908990e-02
  3.083587e-01    1.839409e+00   4.859517e-02
