# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166622",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "OnIISE/vyk7bmCTVlWs8xw==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000117.dat
#        q_A^-1              I           sigma 
  1.105228e-03    9.218834e-01   5.195471e-01
  3.315685e-03    1.039462e+00   3.353896e-01
  5.526141e-03    1.611818e+00   3.229461e-01
  7.736597e-03    1.540989e+00   2.667595e-01
  9.947054e-03    1.380363e+00   2.225734e-01
  1.215751e-02    1.302854e+00   1.955314e-01
  1.436797e-02    1.555325e+00   1.965108e-01
  1.657842e-02    1.571528e+00   1.838677e-01
  1.878888e-02    1.228915e+00   1.527300e-01
  2.099934e-02    1.237209e+00   1.449852e-01
  2.320979e-02    1.431301e+00   1.483195e-01
  2.542025e-02    1.538764e+00   1.469588e-01
  2.763070e-02    1.486009e+00   1.385164e-01
  2.984116e-02    1.392545e+00   1.290272e-01
  3.205162e-02    1.412119e+00   1.253781e-01
  3.426207e-02    1.553738e+00   1.271932e-01
  3.647253e-02    1.529881e+00   1.223259e-01
  3.868299e-02    1.447435e+00   1.155434e-01
  4.089344e-02    1.482809e+00   1.137426e-01
  4.310390e-02    1.374649e+00   1.066645e-01
  4.531436e-02    1.350146e+00   1.030994e-01
  4.752481e-02    1.466915e+00   1.049353e-01
  4.973527e-02    1.432570e+00   1.013701e-01
  5.194572e-02    1.512091e+00   1.019042e-01
  5.415618e-02    1.413862e+00   9.650334e-02
  5.636664e-02    1.292913e+00   9.045859e-02
  5.857709e-02    1.337998e+00   9.026974e-02
  6.078755e-02    1.463802e+00   9.268264e-02
  6.299801e-02    1.489754e+00   9.184462e-02
  6.520846e-02    1.415136e+00   8.798526e-02
  6.741892e-02    1.430656e+00   8.699962e-02
  6.962938e-02    1.418274e+00   8.524060e-02
  7.183983e-02    1.499052e+00   8.627407e-02
  7.405029e-02    1.448132e+00   8.351901e-02
  7.626074e-02    1.433106e+00   8.187089e-02
  7.847120e-02    1.351837e+00   7.838560e-02
  8.068166e-02    1.365427e+00   7.769132e-02
  8.289211e-02    1.406858e+00   7.780220e-02
  8.510257e-02    1.424843e+00   7.727391e-02
  8.731303e-02    1.500352e+00   7.828190e-02
  8.952348e-02    1.433124e+00   7.555957e-02
  9.173394e-02    1.535742e+00   7.726679e-02
  9.394439e-02    1.563553e+00   7.703812e-02
  9.615485e-02    1.539602e+00   7.556036e-02
  9.836531e-02    1.497521e+00   7.367649e-02
  1.005758e-01    1.506743e+00   7.308682e-02
  1.027862e-01    1.456483e+00   7.107888e-02
  1.049967e-01    1.515609e+00   7.173868e-02
  1.072071e-01    1.637701e+00   7.379860e-02
  1.094176e-01    1.462410e+00   6.902828e-02
  1.116280e-01    1.484341e+00   6.885041e-02
  1.138385e-01    1.584311e+00   7.043581e-02
  1.160490e-01    1.576036e+00   6.957850e-02
  1.182594e-01    1.579718e+00   6.900414e-02
  1.204699e-01    1.583415e+00   6.844756e-02
  1.226803e-01    1.619512e+00   6.859407e-02
  1.248908e-01    1.583606e+00   6.722566e-02
  1.271012e-01    1.623269e+00   6.746656e-02
  1.293117e-01    1.582214e+00   6.603533e-02
  1.315222e-01    1.644010e+00   6.674296e-02
  1.337326e-01    1.594877e+00   6.519124e-02
  1.359431e-01    1.603549e+00   6.540649e-02
  1.381535e-01    1.639839e+00   6.703030e-02
  1.403640e-01    1.661313e+00   6.775908e-02
  1.425744e-01    1.536837e+00   6.527531e-02
  1.447849e-01    1.483859e+00   6.415510e-02
  1.469953e-01    1.554355e+00   6.562026e-02
  1.492058e-01    1.546937e+00   6.538742e-02
  1.514163e-01    1.460527e+00   6.342947e-02
  1.536267e-01    1.501870e+00   6.419532e-02
  1.558372e-01    1.660906e+00   6.735967e-02
  1.580476e-01    1.628209e+00   6.653152e-02
  1.602581e-01    1.638032e+00   6.656243e-02
  1.624685e-01    1.678847e+00   6.720209e-02
  1.646790e-01    1.595432e+00   6.532323e-02
  1.668895e-01    1.614799e+00   6.552870e-02
  1.690999e-01    1.704992e+00   6.713166e-02
  1.713104e-01    1.738853e+00   6.758462e-02
  1.735208e-01    1.768189e+00   6.794040e-02
  1.757313e-01    1.806940e+00   6.846561e-02
  1.779417e-01    1.874840e+00   6.951267e-02
  1.801522e-01    1.889285e+00   6.955770e-02
  1.823626e-01    1.867671e+00   6.892844e-02
  1.845731e-01    1.922251e+00   6.970184e-02
  1.867836e-01    1.907373e+00   6.919724e-02
  1.889940e-01    2.015283e+00   7.089532e-02
  1.912045e-01    1.950307e+00   6.951018e-02
  1.934149e-01    1.942037e+00   6.913047e-02
  1.956254e-01    1.991977e+00   6.978279e-02
  1.978358e-01    1.911204e+00   6.811911e-02
  2.000463e-01    1.924979e+00   6.813756e-02
  2.022568e-01    1.984915e+00   6.896313e-02
  2.044672e-01    1.938766e+00   6.792323e-02
  2.066777e-01    1.972224e+00   6.827942e-02
  2.088881e-01    2.070369e+00   6.972883e-02
  2.110986e-01    1.987932e+00   6.809223e-02
  2.133090e-01    1.929405e+00   6.686430e-02
  2.155195e-01    1.963468e+00   6.722820e-02
  2.177300e-01    1.947622e+00   6.643037e-02
  2.199404e-01    1.957893e+00   6.485024e-02
  2.221509e-01    1.943777e+00   6.355502e-02
  2.243613e-01    1.972121e+00   6.320516e-02
  2.265718e-01    2.021598e+00   6.328776e-02
  2.287822e-01    2.111925e+00   6.404593e-02
  2.309927e-01    2.110234e+00   6.343708e-02
  2.332031e-01    2.141811e+00   6.336296e-02
  2.354136e-01    2.102458e+00   6.226933e-02
  2.376241e-01    2.161933e+00   6.265382e-02
  2.398345e-01    2.209613e+00   6.287219e-02
  2.420450e-01    2.164610e+00   6.178391e-02
  2.442554e-01    2.090106e+00   6.029308e-02
  2.464659e-01    2.092468e+00   5.992208e-02
  2.486763e-01    2.180360e+00   6.076557e-02
  2.508868e-01    2.136114e+00   5.976643e-02
  2.530973e-01    2.095190e+00   5.882419e-02
  2.553077e-01    2.060960e+00   5.798782e-02
  2.575182e-01    2.065356e+00   5.770616e-02
  2.597286e-01    2.105165e+00   5.792097e-02
  2.619391e-01    2.044349e+00   5.674960e-02
  2.641495e-01    2.036703e+00   5.632986e-02
  2.663600e-01    2.039577e+00   5.605961e-02
  2.685704e-01    2.066860e+00   5.612740e-02
  2.707809e-01    2.073338e+00   5.591692e-02
  2.729914e-01    2.031915e+00   5.506703e-02
  2.752018e-01    2.019989e+00   5.461942e-02
  2.774123e-01    2.080614e+00   5.514983e-02
  2.796227e-01    2.089656e+00   5.499615e-02
  2.818332e-01    2.013529e+00   5.371579e-02
  2.840436e-01    1.970348e+00   5.287910e-02
  2.862541e-01    2.013675e+00   5.320037e-02
  2.884646e-01    1.952600e+00   5.213876e-02
  2.906750e-01    1.879993e+00   5.091760e-02
  2.928855e-01    1.969172e+00   5.186981e-02
  2.950959e-01    1.988878e+00   5.188924e-02
  2.973064e-01    1.915153e+00   5.068961e-02
  2.995168e-01    1.933337e+00   5.069897e-02
  3.017273e-01    1.931897e+00   5.045668e-02
  3.039377e-01    1.938308e+00   5.031901e-02
  3.061482e-01    1.919077e+00   4.985219e-02
  3.083587e-01    1.866698e+00   4.895433e-02
  3.105691e-01    1.864836e+00   4.872091e-02
  3.127796e-01    1.916028e+00   4.917746e-02
  3.149900e-01    1.926814e+00   4.911025e-02
  3.172005e-01    1.879395e+00   4.830384e-02
  3.194109e-01    1.886091e+00   4.819005e-02
  3.216214e-01    1.878490e+00   4.789661e-02
  3.238319e-01    1.888744e+00   4.783687e-02
  3.260423e-01    1.886077e+00   4.761269e-02
  3.282528e-01    1.912293e+00   4.775158e-02
  3.304632e-01    1.897545e+00   4.738284e-02
  3.326737e-01    1.852887e+00   4.663925e-02
  3.348841e-01    1.807171e+00   4.588170e-02
  3.370946e-01    1.787857e+00   4.546412e-02
  3.393050e-01    1.813006e+00   4.560936e-02
  3.415155e-01    1.838223e+00   4.575278e-02
  3.437260e-01    1.787126e+00   4.494520e-02
  3.459364e-01    1.823291e+00   4.522975e-02
  3.481469e-01    1.837301e+00   4.523746e-02
  3.503573e-01    1.894653e+00   4.577073e-02
  3.525678e-01    1.830935e+00   4.483418e-02
  3.547782e-01    1.772559e+00   4.395422e-02
  3.569887e-01    1.802897e+00   4.417168e-02
  3.591992e-01    1.761520e+00   4.350739e-02
  3.614096e-01    1.816660e+00   4.402987e-02
  3.636201e-01    1.830588e+00   4.404303e-02
  3.658305e-01    1.772685e+00   4.319303e-02
  3.680410e-01    1.831578e+00   4.375365e-02
  3.702514e-01    1.790133e+00   4.311034e-02
  3.724619e-01    1.817131e+00   4.328628e-02
  3.746724e-01    1.816735e+00   4.313717e-02
  3.768828e-01    1.768005e+00   4.241150e-02
  3.790933e-01    1.729872e+00   4.181494e-02
  3.813037e-01    1.775602e+00   4.222541e-02
  3.835142e-01    1.774908e+00   4.207851e-02
  3.857246e-01    1.791290e+00   4.213545e-02
  3.879351e-01    1.798744e+00   4.208635e-02
  3.901455e-01    1.841874e+00   4.245235e-02
  3.923560e-01    1.829773e+00   4.217821e-02
  3.945665e-01    1.794017e+00   4.163162e-02
  3.967769e-01    1.756560e+00   4.106569e-02
  3.989874e-01    1.852572e+00   4.204139e-02
  4.011978e-01    1.807073e+00   4.139422e-02
  4.034083e-01    1.840597e+00   4.164817e-02
  4.056187e-01    1.834273e+00   4.144849e-02
  4.078292e-01    1.817651e+00   4.113539e-02
  4.100397e-01    1.827281e+00   4.111828e-02
  4.122501e-01    1.784590e+00   4.051356e-02
  4.144606e-01    1.772402e+00   4.025523e-02
  4.166710e-01    1.806663e+00   4.052161e-02
  4.188815e-01    1.798041e+00   4.030540e-02
  4.210919e-01    1.783521e+00   4.002466e-02
  4.233024e-01    1.830285e+00   4.042674e-02
  4.255128e-01    1.830172e+00   4.030864e-02
  4.277233e-01    1.823976e+00   4.012474e-02
  4.299338e-01    1.830185e+00   4.007731e-02
  4.321442e-01    1.816284e+00   3.981058e-02
  4.343547e-01    1.812158e+00   3.965288e-02
  4.365651e-01    1.805283e+00   3.946516e-02
  4.387756e-01    1.736818e+00   3.860119e-02
  4.409860e-01    1.716811e+00   3.827188e-02
  4.431965e-01    1.728418e+00   3.829486e-02
  4.454070e-01    1.709279e+00   3.797629e-02
  4.476174e-01    1.697747e+00   3.774404e-02
  4.498279e-01    1.726225e+00   3.795574e-02
  4.520383e-01    1.707764e+00   3.764862e-02
  4.542488e-01    1.751402e+00   3.802380e-02
  4.564592e-01    1.725626e+00   3.764170e-02
  4.586697e-01    1.718311e+00   3.746215e-02
  4.608801e-01    1.704825e+00   3.721490e-02
  4.630906e-01    1.706563e+00   3.713526e-02
  4.653011e-01    1.769683e+00   3.771633e-02
  4.675115e-01    1.754176e+00   3.745184e-02
  4.697220e-01    1.714332e+00   3.692713e-02
  4.719324e-01    1.720893e+00   3.690201e-02
  4.741429e-01    1.720113e+00   3.679859e-02
  4.763533e-01    1.734694e+00   3.685949e-02
  4.785638e-01    1.730808e+00   3.672307e-02
  4.807743e-01    1.702834e+00   3.633247e-02
  4.829847e-01    1.693195e+00   3.613796e-02
  4.851952e-01    1.698361e+00   3.610146e-02
  4.874056e-01    1.743604e+00   3.648692e-02
  4.896161e-01    1.729267e+00   3.624650e-02
  4.918265e-01    1.666779e+00   3.549722e-02
