# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166608",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "wtOSeaUqewbLkwLNzbBWFg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000118.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.435520e+00   6.483232e-01
  3.315685e-03    1.350062e+00   3.822279e-01
  5.526141e-03    1.234487e+00   2.826281e-01
  7.736597e-03    1.412834e+00   2.554264e-01
  9.947054e-03    1.475453e+00   2.301120e-01
  1.215751e-02    1.742038e+00   2.260984e-01
  1.436797e-02    1.501704e+00   1.930936e-01
  1.657842e-02    1.600717e+00   1.855674e-01
  1.878888e-02    1.388781e+00   1.623605e-01
  2.099934e-02    1.387446e+00   1.535359e-01
  2.320979e-02    1.336879e+00   1.433438e-01
  2.542025e-02    1.259824e+00   1.329733e-01
  2.763070e-02    1.478094e+00   1.381470e-01
  2.984116e-02    1.408787e+00   1.297774e-01
  3.205162e-02    1.422282e+00   1.258285e-01
  3.426207e-02    1.424505e+00   1.217886e-01
  3.647253e-02    1.395781e+00   1.168418e-01
  3.868299e-02    1.324166e+00   1.105139e-01
  4.089344e-02    1.342919e+00   1.082444e-01
  4.310390e-02    1.356735e+00   1.059672e-01
  4.531436e-02    1.470573e+00   1.075992e-01
  4.752481e-02    1.512205e+00   1.065429e-01
  4.973527e-02    1.462349e+00   1.024182e-01
  5.194572e-02    1.454478e+00   9.994395e-02
  5.415618e-02    1.437338e+00   9.730121e-02
  5.636664e-02    1.453032e+00   9.589650e-02
  5.857709e-02    1.446847e+00   9.386981e-02
  6.078755e-02    1.562239e+00   9.574829e-02
  6.299801e-02    1.494603e+00   9.199397e-02
  6.520846e-02    1.354327e+00   8.607411e-02
  6.741892e-02    1.309174e+00   8.322398e-02
  6.962938e-02    1.561764e+00   8.944866e-02
  7.183983e-02    1.595236e+00   8.899889e-02
  7.405029e-02    1.439457e+00   8.326849e-02
  7.626074e-02    1.502799e+00   8.383798e-02
  7.847120e-02    1.478786e+00   8.198354e-02
  8.068166e-02    1.474734e+00   8.074118e-02
  8.289211e-02    1.492254e+00   8.012871e-02
  8.510257e-02    1.523157e+00   7.989539e-02
  8.731303e-02    1.509566e+00   7.852191e-02
  8.952348e-02    1.488121e+00   7.699573e-02
  9.173394e-02    1.427515e+00   7.449451e-02
  9.394439e-02    1.458770e+00   7.441194e-02
  9.615485e-02    1.580950e+00   7.656827e-02
  9.836531e-02    1.477806e+00   7.318988e-02
  1.005758e-01    1.561712e+00   7.440805e-02
  1.027862e-01    1.522170e+00   7.266402e-02
  1.049967e-01    1.513805e+00   7.169598e-02
  1.072071e-01    1.566687e+00   7.218082e-02
  1.094176e-01    1.552710e+00   7.112751e-02
  1.116280e-01    1.573904e+00   7.089715e-02
  1.138385e-01    1.581953e+00   7.038338e-02
  1.160490e-01    1.609082e+00   7.030416e-02
  1.182594e-01    1.580299e+00   6.901682e-02
  1.204699e-01    1.540959e+00   6.752370e-02
  1.226803e-01    1.493626e+00   6.587420e-02
  1.248908e-01    1.513463e+00   6.571998e-02
  1.271012e-01    1.569632e+00   6.634255e-02
  1.293117e-01    1.658781e+00   6.761426e-02
  1.315222e-01    1.660408e+00   6.707501e-02
  1.337326e-01    1.588722e+00   6.506532e-02
  1.359431e-01    1.552597e+00   6.435899e-02
  1.381535e-01    1.529762e+00   6.474146e-02
  1.403640e-01    1.508401e+00   6.456544e-02
  1.425744e-01    1.573537e+00   6.605007e-02
  1.447849e-01    1.615337e+00   6.693704e-02
  1.469953e-01    1.564425e+00   6.583248e-02
  1.492058e-01    1.587365e+00   6.623632e-02
  1.514163e-01    1.558134e+00   6.551466e-02
  1.536267e-01    1.628064e+00   6.683793e-02
  1.558372e-01    1.608724e+00   6.629308e-02
  1.580476e-01    1.705154e+00   6.808544e-02
  1.602581e-01    1.675368e+00   6.731674e-02
  1.624685e-01    1.634673e+00   6.631211e-02
  1.646790e-01    1.655955e+00   6.655070e-02
  1.668895e-01    1.709500e+00   6.742282e-02
  1.690999e-01    1.672317e+00   6.648529e-02
  1.713104e-01    1.709532e+00   6.701236e-02
  1.735208e-01    1.792277e+00   6.840160e-02
  1.757313e-01    1.795949e+00   6.825707e-02
  1.779417e-01    1.792503e+00   6.796912e-02
  1.801522e-01    1.910906e+00   6.995458e-02
  1.823626e-01    1.872752e+00   6.902214e-02
  1.845731e-01    1.876201e+00   6.886187e-02
  1.867836e-01    1.941808e+00   6.981907e-02
  1.889940e-01    1.973934e+00   7.016426e-02
  1.912045e-01    2.030735e+00   7.092892e-02
  1.934149e-01    2.090642e+00   7.172668e-02
  1.956254e-01    2.024618e+00   7.035223e-02
  1.978358e-01    1.942578e+00   6.867595e-02
  2.000463e-01    1.941239e+00   6.842474e-02
  2.022568e-01    1.990058e+00   6.905241e-02
  2.044672e-01    1.989821e+00   6.881175e-02
  2.066777e-01    2.019397e+00   6.909119e-02
  2.088881e-01    1.994694e+00   6.844263e-02
  2.110986e-01    1.961040e+00   6.763008e-02
  2.133090e-01    1.995020e+00   6.799175e-02
  2.155195e-01    1.911277e+00   6.632867e-02
  2.177300e-01    1.972748e+00   6.685748e-02
  2.199404e-01    1.970600e+00   6.506035e-02
  2.221509e-01    1.921797e+00   6.319467e-02
  2.243613e-01    1.937696e+00   6.265108e-02
  2.265718e-01    1.963265e+00   6.236801e-02
  2.287822e-01    2.106885e+00   6.396947e-02
  2.309927e-01    2.127552e+00   6.369685e-02
  2.332031e-01    2.169198e+00   6.376678e-02
  2.354136e-01    2.163315e+00   6.316411e-02
  2.376241e-01    2.205086e+00   6.327605e-02
  2.398345e-01    2.138445e+00   6.185140e-02
  2.420450e-01    2.194473e+00   6.220861e-02
  2.442554e-01    2.253870e+00   6.261058e-02
  2.464659e-01    2.124348e+00   6.037686e-02
  2.486763e-01    2.140051e+00   6.020125e-02
