# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166590",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "u9DeIAtzmCGqoauq5CfrLg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000121.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.979246e+00   7.612668e-01
  3.315685e-03    1.549539e+00   4.094932e-01
  5.526141e-03    1.181079e+00   2.764468e-01
  7.736597e-03    1.471965e+00   2.607167e-01
  9.947054e-03    1.384069e+00   2.228720e-01
  1.215751e-02    1.155735e+00   1.841611e-01
  1.436797e-02    1.285922e+00   1.786830e-01
  1.657842e-02    1.229915e+00   1.626605e-01
  1.878888e-02    1.404675e+00   1.632869e-01
  2.099934e-02    1.305926e+00   1.489571e-01
  2.320979e-02    1.475889e+00   1.506120e-01
  2.542025e-02    1.408408e+00   1.405962e-01
  2.763070e-02    1.481378e+00   1.383003e-01
  2.984116e-02    1.455230e+00   1.318992e-01
  3.205162e-02    1.392499e+00   1.245041e-01
  3.426207e-02    1.416013e+00   1.214251e-01
  3.647253e-02    1.438461e+00   1.186148e-01
  3.868299e-02    1.233168e+00   1.066490e-01
  4.089344e-02    1.175864e+00   1.012883e-01
  4.310390e-02    1.450181e+00   1.095557e-01
  4.531436e-02    1.413157e+00   1.054778e-01
  4.752481e-02    1.413650e+00   1.030125e-01
  4.973527e-02    1.448818e+00   1.019433e-01
  5.194572e-02    1.388029e+00   9.763427e-02
  5.415618e-02    1.403259e+00   9.614079e-02
  5.636664e-02    1.305981e+00   9.091460e-02
  5.857709e-02    1.424979e+00   9.315770e-02
  6.078755e-02    1.585291e+00   9.645214e-02
  6.299801e-02    1.483144e+00   9.164064e-02
  6.520846e-02    1.506730e+00   9.078800e-02
  6.741892e-02    1.477107e+00   8.840073e-02
  6.962938e-02    1.411724e+00   8.504353e-02
  7.183983e-02    1.433435e+00   8.436475e-02
  7.405029e-02    1.494996e+00   8.485965e-02
  7.626074e-02    1.518525e+00   8.427551e-02
  7.847120e-02    1.460829e+00   8.148425e-02
  8.068166e-02    1.524089e+00   8.208115e-02
  8.289211e-02    1.424088e+00   7.827719e-02
  8.510257e-02    1.418266e+00   7.709535e-02
  8.731303e-02    1.477586e+00   7.768571e-02
  8.952348e-02    1.383912e+00   7.425092e-02
  9.173394e-02    1.358608e+00   7.267432e-02
  9.394439e-02    1.415119e+00   7.329018e-02
  9.615485e-02    1.518732e+00   7.504647e-02
  9.836531e-02    1.556941e+00   7.512397e-02
  1.005758e-01    1.450262e+00   7.170390e-02
  1.027862e-01    1.448956e+00   7.089496e-02
  1.049967e-01    1.526992e+00   7.200760e-02
  1.072071e-01    1.474220e+00   7.001834e-02
  1.094176e-01    1.550063e+00   7.106686e-02
  1.116280e-01    1.494663e+00   6.908937e-02
  1.138385e-01    1.586940e+00   7.049422e-02
  1.160490e-01    1.575677e+00   6.957059e-02
  1.182594e-01    1.531823e+00   6.795004e-02
  1.204699e-01    1.578334e+00   6.833765e-02
  1.226803e-01    1.562649e+00   6.737910e-02
  1.248908e-01    1.572598e+00   6.699159e-02
  1.271012e-01    1.601688e+00   6.701659e-02
  1.293117e-01    1.569270e+00   6.576464e-02
  1.315222e-01    1.646924e+00   6.680210e-02
  1.337326e-01    1.546109e+00   6.418680e-02
  1.359431e-01    1.505159e+00   6.336814e-02
  1.381535e-01    1.488974e+00   6.387255e-02
  1.403640e-01    1.425598e+00   6.276827e-02
  1.425744e-01    1.477245e+00   6.399722e-02
  1.447849e-01    1.515395e+00   6.483325e-02
  1.469953e-01    1.465687e+00   6.372113e-02
  1.492058e-01    1.522858e+00   6.487652e-02
  1.514163e-01    1.640371e+00   6.722134e-02
  1.536267e-01    1.625511e+00   6.678554e-02
  1.558372e-01    1.562104e+00   6.532545e-02
  1.580476e-01    1.683545e+00   6.765264e-02
  1.602581e-01    1.697451e+00   6.775893e-02
  1.624685e-01    1.587058e+00   6.533920e-02
  1.646790e-01    1.616580e+00   6.575473e-02
  1.668895e-01    1.737163e+00   6.796616e-02
  1.690999e-01    1.641612e+00   6.587211e-02
  1.713104e-01    1.726137e+00   6.733704e-02
  1.735208e-01    1.778234e+00   6.813312e-02
  1.757313e-01    1.759519e+00   6.756122e-02
  1.779417e-01    1.806418e+00   6.823244e-02
  1.801522e-01    1.839536e+00   6.863578e-02
  1.823626e-01    1.810546e+00   6.786612e-02
  1.845731e-01    1.886725e+00   6.905472e-02
  1.867836e-01    1.997348e+00   7.081053e-02
  1.889940e-01    2.025275e+00   7.107086e-02
  1.912045e-01    1.975755e+00   6.996220e-02
  1.934149e-01    2.070643e+00   7.138279e-02
  1.956254e-01    1.990781e+00   6.976184e-02
  1.978358e-01    1.946712e+00   6.874898e-02
  2.000463e-01    1.906985e+00   6.781837e-02
  2.022568e-01    1.905101e+00   6.756238e-02
  2.044672e-01    1.951418e+00   6.814449e-02
  2.066777e-01    1.911089e+00   6.721283e-02
  2.088881e-01    1.868497e+00   6.624222e-02
  2.110986e-01    1.797645e+00   6.475131e-02
  2.133090e-01    1.881202e+00   6.602375e-02
  2.155195e-01    1.869895e+00   6.560670e-02
  2.177300e-01    1.848942e+00   6.472557e-02
  2.199404e-01    1.879449e+00   6.353783e-02
  2.221509e-01    1.904688e+00   6.291274e-02
  2.243613e-01    1.981070e+00   6.334839e-02
  2.265718e-01    2.032532e+00   6.345870e-02
  2.287822e-01    2.001922e+00   6.235566e-02
  2.309927e-01    2.014076e+00   6.197491e-02
  2.332031e-01    2.101245e+00   6.276003e-02
  2.354136e-01    2.111462e+00   6.240255e-02
  2.376241e-01    2.100599e+00   6.175870e-02
  2.398345e-01    2.110937e+00   6.145229e-02
  2.420450e-01    2.131951e+00   6.131604e-02
  2.442554e-01    2.115007e+00   6.065116e-02
  2.464659e-01    2.093583e+00   5.993808e-02
  2.486763e-01    2.096522e+00   5.958586e-02
  2.508868e-01    2.067845e+00   5.880363e-02
  2.530973e-01    2.072691e+00   5.850751e-02
  2.553077e-01    2.053386e+00   5.788115e-02
  2.575182e-01    2.101666e+00   5.821120e-02
  2.597286e-01    2.064867e+00   5.736395e-02
  2.619391e-01    1.956750e+00   5.552044e-02
  2.641495e-01    1.973200e+00   5.544475e-02
  2.663600e-01    2.032581e+00   5.596339e-02
  2.685704e-01    2.063259e+00   5.607848e-02
  2.707809e-01    2.056558e+00   5.569018e-02
  2.729914e-01    1.987241e+00   5.445831e-02
  2.752018e-01    2.017080e+00   5.458008e-02
  2.774123e-01    1.969696e+00   5.365967e-02
  2.796227e-01    2.005080e+00   5.387171e-02
  2.818332e-01    1.942858e+00   5.276471e-02
  2.840436e-01    1.909993e+00   5.206293e-02
  2.862541e-01    1.922316e+00   5.197952e-02
  2.884646e-01    1.948493e+00   5.208390e-02
  2.906750e-01    1.901017e+00   5.120152e-02
  2.928855e-01    1.913858e+00   5.113611e-02
  2.950959e-01    1.943424e+00   5.129286e-02
  2.973064e-01    1.907552e+00   5.058891e-02
  2.995168e-01    1.915500e+00   5.046456e-02
  3.017273e-01    1.956063e+00   5.077126e-02
  3.039377e-01    1.951395e+00   5.048862e-02
  3.061482e-01    1.877019e+00   4.930289e-02
  3.083587e-01    1.848436e+00   4.871430e-02
  3.105691e-01    1.842601e+00   4.842957e-02
  3.127796e-01    1.902819e+00   4.900767e-02
  3.149900e-01    1.884429e+00   4.856709e-02
  3.172005e-01    1.868876e+00   4.816846e-02
  3.194109e-01    1.869170e+00   4.797341e-02
  3.216214e-01    1.819700e+00   4.714115e-02
  3.238319e-01    1.842127e+00   4.724286e-02
  3.260423e-01    1.829200e+00   4.688928e-02
  3.282528e-01    1.843450e+00   4.688417e-02
  3.304632e-01    1.776480e+00   4.584641e-02
  3.326737e-01    1.767200e+00   4.554805e-02
  3.348841e-01    1.801437e+00   4.580884e-02
  3.370946e-01    1.813669e+00   4.579115e-02
  3.393050e-01    1.783184e+00   4.523271e-02
  3.415155e-01    1.810492e+00   4.540636e-02
  3.437260e-01    1.811369e+00   4.524902e-02
  3.459364e-01    1.785398e+00   4.475728e-02
  3.481469e-01    1.760536e+00   4.428234e-02
  3.503573e-01    1.709648e+00   4.347869e-02
  3.525678e-01    1.756703e+00   4.391589e-02
  3.547782e-01    1.750868e+00   4.368443e-02
  3.569887e-01    1.766436e+00   4.372276e-02
  3.591992e-01    1.776389e+00   4.369062e-02
  3.614096e-01    1.715459e+00   4.278594e-02
  3.636201e-01    1.729945e+00   4.281519e-02
  3.658305e-01    1.701238e+00   4.231366e-02
  3.680410e-01    1.744263e+00   4.269800e-02
  3.702514e-01    1.774519e+00   4.292190e-02
  3.724619e-01    1.744711e+00   4.241496e-02
  3.746724e-01    1.704356e+00   4.178168e-02
  3.768828e-01    1.734565e+00   4.200850e-02
  3.790933e-01    1.759067e+00   4.216632e-02
  3.813037e-01    1.762364e+00   4.206772e-02
  3.835142e-01    1.766757e+00   4.198178e-02
  3.857246e-01    1.736557e+00   4.148673e-02
  3.879351e-01    1.722253e+00   4.118179e-02
  3.901455e-01    1.745041e+00   4.132136e-02
  3.923560e-01    1.734590e+00   4.106652e-02
  3.945665e-01    1.725928e+00   4.083393e-02
  3.967769e-01    1.728654e+00   4.073819e-02
  3.989874e-01    1.760578e+00   4.098427e-02
  4.011978e-01    1.703254e+00   4.018756e-02
  4.034083e-01    1.733526e+00   4.041863e-02
  4.056187e-01    1.766973e+00   4.068101e-02
  4.078292e-01    1.733021e+00   4.016635e-02
  4.100397e-01    1.743110e+00   4.016009e-02
  4.122501e-01    1.727739e+00   3.986303e-02
  4.144606e-01    1.702369e+00   3.945193e-02
  4.166710e-01    1.774717e+00   4.016175e-02
  4.188815e-01    1.742598e+00   3.967911e-02
  4.210919e-01    1.750534e+00   3.965279e-02
  4.233024e-01    1.793756e+00   4.002128e-02
  4.255128e-01    1.821722e+00   4.021548e-02
  4.277233e-01    1.827450e+00   4.016293e-02
  4.299338e-01    1.777068e+00   3.949147e-02
  4.321442e-01    1.811697e+00   3.976027e-02
  4.343547e-01    1.746241e+00   3.892504e-02
  4.365651e-01    1.707426e+00   3.838065e-02
  4.387756e-01    1.719525e+00   3.840852e-02
  4.409860e-01    1.737749e+00   3.850456e-02
  4.431965e-01    1.728736e+00   3.829837e-02
  4.454070e-01    1.719993e+00   3.809512e-02
  4.476174e-01    1.702089e+00   3.779228e-02
  4.498279e-01    1.707294e+00   3.774704e-02
  4.520383e-01    1.739528e+00   3.799714e-02
  4.542488e-01    1.664288e+00   3.706611e-02
  4.564592e-01    1.668417e+00   3.701247e-02
  4.586697e-01    1.740223e+00   3.770024e-02
  4.608801e-01    1.689587e+00   3.704822e-02
  4.630906e-01    1.655623e+00   3.657683e-02
  4.653011e-01    1.685113e+00   3.680412e-02
  4.675115e-01    1.681897e+00   3.667212e-02
  4.697220e-01    1.710001e+00   3.688045e-02
  4.719324e-01    1.687405e+00   3.654120e-02
  4.741429e-01    1.682609e+00   3.639521e-02
  4.763533e-01    1.668099e+00   3.614504e-02
  4.785638e-01    1.736944e+00   3.678810e-02
  4.807743e-01    1.754833e+00   3.688303e-02
  4.829847e-01    1.697619e+00   3.618515e-02
  4.851952e-01    1.659224e+00   3.568308e-02
  4.874056e-01    1.674938e+00   3.576125e-02
  4.896161e-01    1.631974e+00   3.521209e-02
  4.918265e-01    1.625009e+00   3.504960e-02
  4.940370e-01    1.627163e+00   3.498623e-02
  4.962475e-01    1.662177e+00   3.527334e-02
  4.984579e-01    1.591739e+00   3.443279e-02
  5.006684e-01    1.623395e+00   3.468869e-02
  5.028788e-01    1.650141e+00   3.488854e-02
  5.050893e-01    1.634065e+00   3.463375e-02
  5.072997e-01    1.653828e+00   3.475840e-02
  5.095102e-01    1.654598e+00   3.468322e-02
  5.117206e-01    1.647458e+00   3.452601e-02
  5.139311e-01    1.676816e+00   3.474985e-02
  5.161416e-01    1.637664e+00   3.426062e-02
  5.183520e-01    1.644964e+00   3.425528e-02
  5.205625e-01    1.642830e+00   3.415287e-02
  5.227729e-01    1.648777e+00   3.413483e-02
  5.249834e-01    1.629014e+00   3.385087e-02
  5.271938e-01    1.640216e+00   3.388779e-02
  5.294043e-01    1.707437e+00   3.449544e-02
  5.316148e-01    1.753462e+00   3.487722e-02
  5.338252e-01    1.719375e+00   3.445763e-02
  5.360357e-01    1.701850e+00   3.420352e-02
  5.382461e-01    1.682326e+00   3.392989e-02
  5.404566e-01    1.712349e+00   3.415339e-02
  5.426670e-01    1.740509e+00   3.435550e-02
  5.448775e-01    1.733506e+00   3.420971e-02
  5.470879e-01    1.771633e+00   3.450675e-02
  5.492984e-01    1.762787e+00   3.434397e-02
  5.515089e-01    1.734913e+00   3.399578e-02
  5.537193e-01    1.730702e+00   3.387969e-02
  5.559298e-01    1.738971e+00   3.388604e-02
  5.581402e-01    1.758103e+00   3.399748e-02
  5.603507e-01    1.779854e+00   3.413270e-02
  5.625611e-01    1.808474e+00   3.433136e-02
  5.647716e-01    1.793322e+00   3.411303e-02
  5.669821e-01    1.789717e+00   3.400524e-02
  5.691925e-01    1.738512e+00   3.344333e-02
  5.714030e-01    1.706974e+00   3.306793e-02
  5.736134e-01    1.687787e+00   3.281163e-02
  5.758239e-01    1.653291e+00   3.240528e-02
  5.780343e-01    1.635933e+00   3.216651e-02
  5.802448e-01    1.652726e+00   3.226351e-02
  5.824552e-01    1.624205e+00   3.191682e-02
  5.846657e-01    1.622903e+00   3.183750e-02
  5.868762e-01    1.651806e+00   3.205289e-02
  5.890866e-01    1.581634e+00   3.129962e-02
  5.912971e-01    1.538743e+00   3.080836e-02
  5.935075e-01    1.571736e+00   3.107254e-02
  5.957180e-01    1.595856e+00   3.124583e-02
  5.979284e-01    1.595236e+00   3.117598e-02
  6.001389e-01    1.605083e+00   3.120836e-02
  6.023494e-01    1.665424e+00   3.172503e-02
  6.045598e-01    1.630014e+00   3.132206e-02
  6.067703e-01    1.619662e+00   3.115965e-02
  6.089807e-01    1.627523e+00   3.117237e-02
  6.111912e-01    1.673819e+00   3.154950e-02
  6.134016e-01    1.651302e+00   3.127408e-02
  6.156121e-01    1.625370e+00   3.096588e-02
  6.178226e-01    1.631031e+00   3.095831e-02
  6.200330e-01    1.662264e+00   3.119169e-02
  6.222435e-01    1.655467e+00   3.106620e-02
  6.244539e-01    1.683298e+00   3.126488e-02
  6.266644e-01    1.682506e+00   3.119658e-02
  6.288748e-01    1.639675e+00   3.073698e-02
  6.310853e-01    1.710915e+00   3.133664e-02
  6.332957e-01    1.699062e+00   3.116763e-02
  6.355062e-01    1.667147e+00   3.081354e-02
  6.377167e-01    1.675162e+00   3.082824e-02
  6.399271e-01    1.713646e+00   3.112060e-02
  6.421376e-01    1.706135e+00   3.099305e-02
  6.443480e-01    1.704465e+00   3.091897e-02
  6.465585e-01    1.667149e+00   3.052071e-02
  6.487689e-01    1.644592e+00   3.025628e-02
  6.509794e-01    1.645551e+00   3.020803e-02
  6.531899e-01    1.568685e+00   2.943861e-02
  6.554003e-01    1.561641e+00   2.931719e-02
  6.576108e-01    1.582742e+00   2.945964e-02
  6.598212e-01    1.574484e+00   2.932809e-02
  6.620317e-01    1.596085e+00   2.947386e-02
  6.642421e-01    1.571332e+00   2.919032e-02
  6.664526e-01    1.581568e+00   2.923128e-02
  6.686630e-01    1.580986e+00   2.917187e-02
  6.708735e-01    1.609250e+00   2.937748e-02
  6.730840e-01    1.572041e+00   2.898293e-02
  6.752944e-01    1.555337e+00   2.877612e-02
  6.775049e-01    1.581654e+00   2.896585e-02
  6.797153e-01    1.564199e+00   2.875341e-02
  6.819258e-01    1.565669e+00   2.871505e-02
  6.841362e-01    1.576641e+00   2.876365e-02
  6.863467e-01    1.573375e+00   2.868239e-02
  6.885572e-01    1.592326e+00   2.880291e-02
  6.907676e-01    1.557017e+00   2.843073e-02
  6.929781e-01    1.593299e+00   2.870896e-02
  6.951885e-01    1.577526e+00   2.851590e-02
  6.973990e-01    1.600038e+00   2.866787e-02
  6.996094e-01    1.566722e+00   2.831794e-02
