# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166594",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "oL5S2KtkJ3mud+zeKSc/nQ==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000122.dat
#        q_A^-1              I           sigma 
  1.105228e-03    2.561647e+00   8.660573e-01
  3.315685e-03    1.286009e+00   3.730504e-01
  5.526141e-03    1.424984e+00   3.036526e-01
  7.736597e-03    1.431423e+00   2.571012e-01
  9.947054e-03    1.283499e+00   2.146221e-01
  1.215751e-02    1.193599e+00   1.871534e-01
  1.436797e-02    1.240008e+00   1.754640e-01
  1.657842e-02    1.494183e+00   1.792860e-01
  1.878888e-02    1.585206e+00   1.734628e-01
  2.099934e-02    1.493950e+00   1.593199e-01
  2.320979e-02    1.495459e+00   1.516073e-01
  2.542025e-02    1.594885e+00   1.496146e-01
  2.763070e-02    1.445045e+00   1.365938e-01
  2.984116e-02    1.447471e+00   1.315472e-01
  3.205162e-02    1.610082e+00   1.338783e-01
  3.426207e-02    1.445115e+00   1.226665e-01
  3.647253e-02    1.377616e+00   1.160790e-01
  3.868299e-02    1.348423e+00   1.115215e-01
  4.089344e-02    1.342536e+00   1.082290e-01
  4.310390e-02    1.288396e+00   1.032639e-01
  4.531436e-02    1.354060e+00   1.032487e-01
  4.752481e-02    1.388052e+00   1.020756e-01
  4.973527e-02    1.435831e+00   1.014854e-01
  5.194572e-02    1.285537e+00   9.396046e-02
  5.415618e-02    1.387703e+00   9.560641e-02
  5.636664e-02    1.484470e+00   9.692834e-02
  5.857709e-02    1.524745e+00   9.636365e-02
  6.078755e-02    1.426482e+00   9.149355e-02
  6.299801e-02    1.388016e+00   8.865304e-02
  6.520846e-02    1.377420e+00   8.680485e-02
  6.741892e-02    1.423270e+00   8.677477e-02
  6.962938e-02    1.391000e+00   8.441701e-02
  7.183983e-02    1.409883e+00   8.366880e-02
  7.405029e-02    1.493457e+00   8.481597e-02
  7.626074e-02    1.492826e+00   8.355932e-02
  7.847120e-02    1.374379e+00   7.903643e-02
  8.068166e-02    1.410248e+00   7.895615e-02
  8.289211e-02    1.501388e+00   8.037356e-02
  8.510257e-02    1.554329e+00   8.070878e-02
