# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166594",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "QjLubN1qxy+ouFCRxRZ9xg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000124.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.046796e+00   5.536280e-01
  3.315685e-03    1.475307e+00   3.995642e-01
  5.526141e-03    1.265917e+00   2.862034e-01
  7.736597e-03    1.100524e+00   2.254343e-01
  9.947054e-03    1.206077e+00   2.080482e-01
  1.215751e-02    1.416435e+00   2.038764e-01
  1.436797e-02    1.413176e+00   1.873156e-01
  1.657842e-02    1.224788e+00   1.623211e-01
  1.878888e-02    1.340574e+00   1.595177e-01
  2.099934e-02    1.466020e+00   1.578236e-01
  2.320979e-02    1.480650e+00   1.508547e-01
  2.542025e-02    1.539775e+00   1.470070e-01
  2.763070e-02    1.522088e+00   1.401878e-01
  2.984116e-02    1.402703e+00   1.294969e-01
  3.205162e-02    1.373984e+00   1.236736e-01
  3.426207e-02    1.421318e+00   1.216523e-01
  3.647253e-02    1.552978e+00   1.232459e-01
  3.868299e-02    1.447880e+00   1.155612e-01
  4.089344e-02    1.495824e+00   1.142407e-01
  4.310390e-02    1.572008e+00   1.140647e-01
  4.531436e-02    1.587320e+00   1.117888e-01
  4.752481e-02    1.422185e+00   1.033230e-01
  4.973527e-02    1.272640e+00   9.554423e-02
  5.194572e-02    1.363441e+00   9.676561e-02
  5.415618e-02    1.435905e+00   9.725270e-02
  5.636664e-02    1.358197e+00   9.271428e-02
  5.857709e-02    1.462784e+00   9.438536e-02
  6.078755e-02    1.445920e+00   9.211482e-02
  6.299801e-02    1.438004e+00   9.023532e-02
  6.520846e-02    1.424455e+00   8.827447e-02
  6.741892e-02    1.469724e+00   8.817951e-02
  6.962938e-02    1.536223e+00   8.871425e-02
  7.183983e-02    1.522158e+00   8.693647e-02
  7.405029e-02    1.427429e+00   8.291985e-02
  7.626074e-02    1.361781e+00   7.980759e-02
  7.847120e-02    1.329048e+00   7.772205e-02
  8.068166e-02    1.488206e+00   8.110915e-02
  8.289211e-02    1.538385e+00   8.135781e-02
  8.510257e-02    1.514632e+00   7.967150e-02
  8.731303e-02    1.487427e+00   7.794396e-02
  8.952348e-02    1.518982e+00   7.779001e-02
  9.173394e-02    1.414459e+00   7.415306e-02
  9.394439e-02    1.424451e+00   7.353143e-02
  9.615485e-02    1.502520e+00   7.464485e-02
  9.836531e-02    1.517554e+00   7.416765e-02
  1.005758e-01    1.511779e+00   7.320885e-02
  1.027862e-01    1.553475e+00   7.340742e-02
  1.049967e-01    1.582953e+00   7.331518e-02
  1.072071e-01    1.507852e+00   7.081255e-02
  1.094176e-01    1.406087e+00   6.768592e-02
  1.116280e-01    1.567488e+00   7.075249e-02
  1.138385e-01    1.581468e+00   7.037259e-02
  1.160490e-01    1.541899e+00   6.882083e-02
  1.182594e-01    1.512791e+00   6.752659e-02
  1.204699e-01    1.460982e+00   6.574807e-02
  1.226803e-01    1.580220e+00   6.775684e-02
