# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166594",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "w8pvfMd73Qu6gSSU6d2q/w==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000129.dat
#        q_A^-1              I           sigma 
  1.105228e-03    7.952948e-01   4.825597e-01
  3.315685e-03    1.520237e+00   4.056030e-01
  5.526141e-03    1.644753e+00   3.262289e-01
  7.736597e-03    1.781429e+00   2.868167e-01
  9.947054e-03    1.431738e+00   2.266774e-01
  1.215751e-02    1.351038e+00   1.991143e-01
  1.436797e-02    1.396897e+00   1.862336e-01
  1.657842e-02    1.508916e+00   1.801677e-01
  1.878888e-02    1.129270e+00   1.464072e-01
  2.099934e-02    1.197534e+00   1.426415e-01
  2.320979e-02    1.187549e+00   1.351010e-01
  2.542025e-02    1.426013e+00   1.414722e-01
  2.763070e-02    1.575244e+00   1.426147e-01
  2.984116e-02    1.563747e+00   1.367287e-01
  3.205162e-02    1.648245e+00   1.354556e-01
  3.426207e-02    1.384777e+00   1.200784e-01
  3.647253e-02    1.475424e+00   1.201291e-01
  3.868299e-02    1.325077e+00   1.105519e-01
  4.089344e-02    1.357989e+00   1.088501e-01
  4.310390e-02    1.501118e+00   1.114632e-01
  4.531436e-02    1.396673e+00   1.048608e-01
  4.752481e-02    1.328759e+00   9.987164e-02
  4.973527e-02    1.452473e+00   1.020718e-01
  5.194572e-02    1.446206e+00   9.965935e-02
  5.415618e-02    1.423553e+00   9.683350e-02
  5.636664e-02    1.468686e+00   9.641167e-02
  5.857709e-02    1.540268e+00   9.685291e-02
  6.078755e-02    1.482329e+00   9.326736e-02
  6.299801e-02    1.471988e+00   9.129532e-02
  6.520846e-02    1.498729e+00   9.054662e-02
  6.741892e-02    1.414857e+00   8.651793e-02
  6.962938e-02    1.442365e+00   8.596151e-02
  7.183983e-02    1.419769e+00   8.396162e-02
  7.405029e-02    1.418606e+00   8.266319e-02
  7.626074e-02    1.499782e+00   8.375377e-02
  7.847120e-02    1.533605e+00   8.348927e-02
  8.068166e-02    1.544553e+00   8.263038e-02
  8.289211e-02    1.534197e+00   8.124699e-02
  8.510257e-02    1.519691e+00   7.980445e-02
