# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166600",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "wE20g2yeFbVUPawYs83hbg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000130.dat
#        q_A^-1              I           sigma 
  1.105228e-03    2.621976e+00   8.761960e-01
  3.315685e-03    2.162594e+00   4.837633e-01
  5.526141e-03    1.621311e+00   3.238958e-01
  7.736597e-03    1.281339e+00   2.432497e-01
  9.947054e-03    1.539943e+00   2.350872e-01
  1.215751e-02    1.536848e+00   2.123655e-01
  1.436797e-02    1.514172e+00   1.938936e-01
  1.657842e-02    1.368479e+00   1.715787e-01
  1.878888e-02    1.326799e+00   1.586961e-01
  2.099934e-02    1.448920e+00   1.569005e-01
  2.320979e-02    1.658045e+00   1.596361e-01
  2.542025e-02    1.379485e+00   1.391452e-01
  2.763070e-02    1.515482e+00   1.398832e-01
  2.984116e-02    1.623965e+00   1.393365e-01
  3.205162e-02    1.534993e+00   1.307192e-01
  3.426207e-02    1.442388e+00   1.225507e-01
  3.647253e-02    1.452275e+00   1.191830e-01
  3.868299e-02    1.444143e+00   1.154119e-01
  4.089344e-02    1.439609e+00   1.120735e-01
  4.310390e-02    1.421559e+00   1.084692e-01
  4.531436e-02    1.455177e+00   1.070345e-01
  4.752481e-02    1.526398e+00   1.070416e-01
  4.973527e-02    1.459045e+00   1.023025e-01
  5.194572e-02    1.478866e+00   1.007784e-01
  5.415618e-02    1.595356e+00   1.025103e-01
  5.636664e-02    1.426183e+00   9.500640e-02
  5.857709e-02    1.461287e+00   9.433705e-02
  6.078755e-02    1.521415e+00   9.448897e-02
  6.299801e-02    1.448889e+00   9.057620e-02
  6.520846e-02    1.502463e+00   9.065934e-02
  6.741892e-02    1.389528e+00   8.574001e-02
  6.962938e-02    1.497616e+00   8.759243e-02
  7.183983e-02    1.560594e+00   8.802722e-02
  7.405029e-02    1.536688e+00   8.603478e-02
  7.626074e-02    1.548775e+00   8.511075e-02
  7.847120e-02    1.464678e+00   8.159154e-02
  8.068166e-02    1.450073e+00   8.006326e-02
  8.289211e-02    1.446896e+00   7.890152e-02
  8.510257e-02    1.469785e+00   7.848313e-02
  8.731303e-02    1.432061e+00   7.647960e-02
  8.952348e-02    1.439318e+00   7.572267e-02
  9.173394e-02    1.481655e+00   7.589399e-02
  9.394439e-02    1.510377e+00   7.571677e-02
  9.615485e-02    1.472480e+00   7.389490e-02
  9.836531e-02    1.525422e+00   7.435965e-02
  1.005758e-01    1.563806e+00   7.445791e-02
  1.027862e-01    1.551165e+00   7.335283e-02
  1.049967e-01    1.511878e+00   7.165036e-02
  1.072071e-01    1.515796e+00   7.099883e-02
  1.094176e-01    1.531425e+00   7.063830e-02
  1.116280e-01    1.573772e+00   7.089418e-02
  1.138385e-01    1.606845e+00   7.093495e-02
  1.160490e-01    1.573608e+00   6.952490e-02
  1.182594e-01    1.576132e+00   6.892578e-02
  1.204699e-01    1.598446e+00   6.877167e-02
  1.226803e-01    1.590051e+00   6.796729e-02
  1.248908e-01    1.507989e+00   6.560104e-02
  1.271012e-01    1.669022e+00   6.841072e-02
  1.293117e-01    1.724511e+00   6.894087e-02
  1.315222e-01    1.660086e+00   6.706850e-02
  1.337326e-01    1.616568e+00   6.563306e-02
  1.359431e-01    1.606598e+00   6.546866e-02
  1.381535e-01    1.575976e+00   6.571211e-02
  1.403640e-01    1.606694e+00   6.663591e-02
  1.425744e-01    1.645957e+00   6.755292e-02
  1.447849e-01    1.621803e+00   6.707089e-02
  1.469953e-01    1.583776e+00   6.623840e-02
  1.492058e-01    1.603326e+00   6.656850e-02
  1.514163e-01    1.604001e+00   6.647196e-02
  1.536267e-01    1.589383e+00   6.603916e-02
  1.558372e-01    1.659385e+00   6.732883e-02
  1.580476e-01    1.665680e+00   6.729273e-02
  1.602581e-01    1.660839e+00   6.702421e-02
  1.624685e-01    1.660994e+00   6.684384e-02
  1.646790e-01    1.679976e+00   6.703167e-02
  1.668895e-01    1.665980e+00   6.655906e-02
  1.690999e-01    1.734650e+00   6.771302e-02
  1.713104e-01    1.713392e+00   6.708799e-02
  1.735208e-01    1.724460e+00   6.709502e-02
  1.757313e-01    1.827554e+00   6.885502e-02
  1.779417e-01    1.867431e+00   6.937520e-02
  1.801522e-01    1.872766e+00   6.925293e-02
  1.823626e-01    1.899731e+00   6.951752e-02
  1.845731e-01    2.002404e+00   7.114020e-02
  1.867836e-01    1.947685e+00   6.992469e-02
  1.889940e-01    1.887357e+00   6.860826e-02
  1.912045e-01    2.078699e+00   7.176168e-02
  1.934149e-01    2.036652e+00   7.079449e-02
  1.956254e-01    1.948485e+00   6.901678e-02
  1.978358e-01    1.903976e+00   6.799019e-02
  2.000463e-01    1.876504e+00   6.727417e-02
  2.022568e-01    1.996204e+00   6.915894e-02
  2.044672e-01    2.025673e+00   6.942891e-02
  2.066777e-01    2.041948e+00   6.947587e-02
  2.088881e-01    2.013361e+00   6.876214e-02
  2.110986e-01    2.004958e+00   6.838318e-02
  2.133090e-01    2.003779e+00   6.814083e-02
  2.155195e-01    2.085109e+00   6.927936e-02
  2.177300e-01    2.093347e+00   6.887078e-02
  2.199404e-01    2.004501e+00   6.561761e-02
  2.221509e-01    1.983730e+00   6.420486e-02
  2.243613e-01    1.966090e+00   6.310845e-02
  2.265718e-01    2.017161e+00   6.321827e-02
  2.287822e-01    2.074180e+00   6.347105e-02
  2.309927e-01    2.128733e+00   6.371453e-02
  2.332031e-01    2.166193e+00   6.372259e-02
  2.354136e-01    2.122458e+00   6.256483e-02
  2.376241e-01    2.147480e+00   6.244406e-02
  2.398345e-01    2.192690e+00   6.263096e-02
