# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166614",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "8iYG88ic9/StEaCZSvnZqw==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000132.dat
#        q_A^-1              I           sigma 
  1.105228e-03    7.182983e-01   4.586056e-01
  3.315685e-03    1.376265e+00   3.859192e-01
  5.526141e-03    1.364913e+00   2.971835e-01
  7.736597e-03    1.582990e+00   2.703705e-01
  9.947054e-03    1.396046e+00   2.238342e-01
  1.215751e-02    1.403488e+00   2.029425e-01
  1.436797e-02    1.395693e+00   1.861533e-01
  1.657842e-02    1.417358e+00   1.746161e-01
  1.878888e-02    1.396397e+00   1.628051e-01
  2.099934e-02    1.580820e+00   1.638865e-01
  2.320979e-02    1.585188e+00   1.560894e-01
  2.542025e-02    1.363832e+00   1.383534e-01
  2.763070e-02    1.452951e+00   1.369670e-01
  2.984116e-02    1.495545e+00   1.337138e-01
  3.205162e-02    1.395594e+00   1.246424e-01
  3.426207e-02    1.397861e+00   1.206443e-01
  3.647253e-02    1.386629e+00   1.164582e-01
  3.868299e-02    1.257618e+00   1.077011e-01
  4.089344e-02    1.488369e+00   1.139557e-01
  4.310390e-02    1.624209e+00   1.159431e-01
  4.531436e-02    1.415853e+00   1.055783e-01
  4.752481e-02    1.381725e+00   1.018427e-01
  4.973527e-02    1.452118e+00   1.020593e-01
  5.194572e-02    1.519274e+00   1.021459e-01
  5.415618e-02    1.535591e+00   1.005719e-01
  5.636664e-02    1.516788e+00   9.797779e-02
  5.857709e-02    1.354587e+00   9.082764e-02
  6.078755e-02    1.405833e+00   9.082893e-02
  6.299801e-02    1.438400e+00   9.024773e-02
  6.520846e-02    1.462348e+00   8.944090e-02
  6.741892e-02    1.516150e+00   8.956140e-02
  6.962938e-02    1.509301e+00   8.793350e-02
  7.183983e-02    1.458212e+00   8.509076e-02
  7.405029e-02    1.438060e+00   8.322806e-02
  7.626074e-02    1.496226e+00   8.365442e-02
  7.847120e-02    1.588518e+00   8.497088e-02
  8.068166e-02    1.418872e+00   7.919721e-02
  8.289211e-02    1.444708e+00   7.884184e-02
  8.510257e-02    1.466708e+00   7.840092e-02
  8.731303e-02    1.527617e+00   7.898995e-02
  8.952348e-02    1.587250e+00   7.951889e-02
  9.173394e-02    1.404652e+00   7.389554e-02
  9.394439e-02    1.498369e+00   7.541516e-02
  9.615485e-02    1.448950e+00   7.330211e-02
  9.836531e-02    1.487241e+00   7.342315e-02
  1.005758e-01    1.587267e+00   7.501437e-02
  1.027862e-01    1.573963e+00   7.388990e-02
  1.049967e-01    1.549393e+00   7.253385e-02
  1.072071e-01    1.517880e+00   7.104762e-02
  1.094176e-01    1.505471e+00   7.003718e-02
  1.116280e-01    1.506919e+00   6.937207e-02
