# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166618",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "dL1Jqdy2DzrBOXxcco9c6A==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000133.dat
#        q_A^-1              I           sigma 
  1.105228e-03    7.129164e-01   4.568843e-01
  3.315685e-03    1.264345e+00   3.698948e-01
  5.526141e-03    1.097744e+00   2.665156e-01
  7.736597e-03    1.306303e+00   2.456078e-01
  9.947054e-03    1.504150e+00   2.323390e-01
  1.215751e-02    1.314735e+00   1.964209e-01
  1.436797e-02    1.406919e+00   1.869005e-01
  1.657842e-02    1.225633e+00   1.623770e-01
  1.878888e-02    1.478511e+00   1.675235e-01
  2.099934e-02    1.348492e+00   1.513653e-01
  2.320979e-02    1.330274e+00   1.429893e-01
  2.542025e-02    1.415673e+00   1.409584e-01
  2.763070e-02    1.549819e+00   1.414591e-01
  2.984116e-02    1.457742e+00   1.320130e-01
  3.205162e-02    1.325503e+00   1.214721e-01
  3.426207e-02    1.353951e+00   1.187344e-01
  3.647253e-02    1.477466e+00   1.202122e-01
  3.868299e-02    1.344348e+00   1.113529e-01
  4.089344e-02    1.483444e+00   1.137670e-01
  4.310390e-02    1.501180e+00   1.114654e-01
  4.531436e-02    1.531027e+00   1.097886e-01
  4.752481e-02    1.426083e+00   1.034645e-01
  4.973527e-02    1.367246e+00   9.903190e-02
  5.194572e-02    1.452531e+00   9.987701e-02
  5.415618e-02    1.474685e+00   9.855720e-02
  5.636664e-02    1.473545e+00   9.657103e-02
  5.857709e-02    1.436654e+00   9.353855e-02
  6.078755e-02    1.501086e+00   9.385559e-02
  6.299801e-02    1.533543e+00   9.318466e-02
  6.520846e-02    1.506509e+00   9.078134e-02
  6.741892e-02    1.596955e+00   9.191708e-02
  6.962938e-02    1.557126e+00   8.931578e-02
  7.183983e-02    1.468187e+00   8.538133e-02
  7.405029e-02    1.500267e+00   8.500909e-02
  7.626074e-02    1.526293e+00   8.449080e-02
  7.847120e-02    1.424090e+00   8.045310e-02
  8.068166e-02    1.410460e+00   7.896211e-02
  8.289211e-02    1.432203e+00   7.849988e-02
  8.510257e-02    1.529659e+00   8.006573e-02
  8.731303e-02    1.465501e+00   7.736737e-02
  8.952348e-02    1.417043e+00   7.513443e-02
  9.173394e-02    1.398316e+00   7.372870e-02
  9.394439e-02    1.469475e+00   7.468448e-02
  9.615485e-02    1.482532e+00   7.414668e-02
  9.836531e-02    1.429823e+00   7.199188e-02
  1.005758e-01    1.630756e+00   7.603504e-02
  1.027862e-01    1.658289e+00   7.584345e-02
  1.049967e-01    1.458952e+00   7.038506e-02
  1.072071e-01    1.524725e+00   7.120762e-02
  1.094176e-01    1.554402e+00   7.116624e-02
  1.116280e-01    1.485377e+00   6.887445e-02
  1.138385e-01    1.559833e+00   6.988958e-02
  1.160490e-01    1.532931e+00   6.862041e-02
  1.182594e-01    1.559473e+00   6.856054e-02
  1.204699e-01    1.599668e+00   6.879795e-02
  1.226803e-01    1.564578e+00   6.742066e-02
  1.248908e-01    1.553305e+00   6.657939e-02
  1.271012e-01    1.601982e+00   6.702271e-02
  1.293117e-01    1.628021e+00   6.698442e-02
  1.315222e-01    1.641364e+00   6.668922e-02
  1.337326e-01    1.583000e+00   6.494805e-02
  1.359431e-01    1.533145e+00   6.395455e-02
