# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166598",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "2nXs0vhXk3WA9LVVPbJGmA==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000134.dat
#        q_A^-1              I           sigma 
  1.105228e-03    2.123711e+00   7.885599e-01
  3.315685e-03    1.622773e+00   4.190582e-01
  5.526141e-03    1.465350e+00   3.079235e-01
  7.736597e-03    1.389316e+00   2.532916e-01
  9.947054e-03    1.803894e+00   2.544380e-01
  1.215751e-02    1.490362e+00   2.091291e-01
  1.436797e-02    1.389694e+00   1.857528e-01
  1.657842e-02    1.494486e+00   1.793042e-01
  1.878888e-02    1.407398e+00   1.634451e-01
  2.099934e-02    1.233473e+00   1.447661e-01
  2.320979e-02    1.247690e+00   1.384797e-01
  2.542025e-02    1.380124e+00   1.391773e-01
  2.763070e-02    1.431777e+00   1.359653e-01
  2.984116e-02    1.466714e+00   1.324187e-01
  3.205162e-02    1.423029e+00   1.258616e-01
  3.426207e-02    1.315172e+00   1.170216e-01
  3.647253e-02    1.463276e+00   1.196335e-01
  3.868299e-02    1.485287e+00   1.170444e-01
  4.089344e-02    1.560087e+00   1.166689e-01
  4.310390e-02    1.491728e+00   1.111140e-01
  4.531436e-02    1.491752e+00   1.083713e-01
  4.752481e-02    1.346493e+00   1.005359e-01
  4.973527e-02    1.484024e+00   1.031745e-01
  5.194572e-02    1.432274e+00   9.917817e-02
  5.415618e-02    1.414360e+00   9.652031e-02
  5.636664e-02    1.351831e+00   9.249672e-02
  5.857709e-02    1.411206e+00   9.270642e-02
  6.078755e-02    1.563265e+00   9.577974e-02
  6.299801e-02    1.493343e+00   9.195520e-02
  6.520846e-02    1.430103e+00   8.844931e-02
  6.741892e-02    1.438103e+00   8.722575e-02
  6.962938e-02    1.506347e+00   8.784737e-02
  7.183983e-02    1.450158e+00   8.485544e-02
  7.405029e-02    1.431632e+00   8.304185e-02
  7.626074e-02    1.421982e+00   8.155254e-02
  7.847120e-02    1.488582e+00   8.225464e-02
  8.068166e-02    1.529826e+00   8.223549e-02
  8.289211e-02    1.441635e+00   7.875795e-02
  8.510257e-02    1.470459e+00   7.850110e-02
  8.731303e-02    1.540853e+00   7.933144e-02
  8.952348e-02    1.426719e+00   7.539053e-02
  9.173394e-02    1.501551e+00   7.640184e-02
  9.394439e-02    1.501872e+00   7.550327e-02
  9.615485e-02    1.539801e+00   7.556523e-02
  9.836531e-02    1.551352e+00   7.498900e-02
  1.005758e-01    1.591987e+00   7.512580e-02
  1.027862e-01    1.561018e+00   7.358545e-02
  1.049967e-01    1.507871e+00   7.155535e-02
  1.072071e-01    1.494846e+00   7.050648e-02
  1.094176e-01    1.477366e+00   6.938034e-02
  1.116280e-01    1.484005e+00   6.884262e-02
  1.138385e-01    1.419397e+00   6.666922e-02
  1.160490e-01    1.526740e+00   6.848170e-02
  1.182594e-01    1.587352e+00   6.917068e-02
  1.204699e-01    1.513709e+00   6.692401e-02
  1.226803e-01    1.463874e+00   6.521481e-02
  1.248908e-01    1.538762e+00   6.626700e-02
  1.271012e-01    1.544161e+00   6.580205e-02
  1.293117e-01    1.654836e+00   6.753382e-02
  1.315222e-01    1.550405e+00   6.481504e-02
  1.337326e-01    1.613700e+00   6.557479e-02
  1.359431e-01    1.673738e+00   6.682263e-02
  1.381535e-01    1.701630e+00   6.828152e-02
  1.403640e-01    1.656986e+00   6.767078e-02
  1.425744e-01    1.592625e+00   6.644951e-02
  1.447849e-01    1.614592e+00   6.692158e-02
  1.469953e-01    1.621243e+00   6.701732e-02
  1.492058e-01    1.546146e+00   6.537069e-02
  1.514163e-01    1.588088e+00   6.614142e-02
  1.536267e-01    1.610855e+00   6.648375e-02
  1.558372e-01    1.625718e+00   6.664233e-02
  1.580476e-01    1.622181e+00   6.640824e-02
  1.602581e-01    1.623502e+00   6.626655e-02
  1.624685e-01    1.658648e+00   6.679661e-02
  1.646790e-01    1.670580e+00   6.684393e-02
  1.668895e-01    1.740688e+00   6.803508e-02
  1.690999e-01    1.722741e+00   6.748018e-02
  1.713104e-01    1.802456e+00   6.880954e-02
  1.735208e-01    1.814276e+00   6.882012e-02
  1.757313e-01    1.841961e+00   6.912589e-02
  1.779417e-01    1.849909e+00   6.904895e-02
  1.801522e-01    1.812681e+00   6.813294e-02
  1.823626e-01    1.862803e+00   6.883856e-02
  1.845731e-01    1.867971e+00   6.871068e-02
  1.867836e-01    2.000182e+00   7.086075e-02
  1.889940e-01    1.998700e+00   7.060304e-02
  1.912045e-01    1.971178e+00   6.988111e-02
  1.934149e-01    1.989329e+00   6.996715e-02
