# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166590",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "yUB7uC5UT7XXLT4qng2ZUw==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000136.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.800589e+00   7.260963e-01
  3.315685e-03    1.649915e+00   4.225482e-01
  5.526141e-03    1.426314e+00   3.037944e-01
  7.736597e-03    1.712145e+00   2.811839e-01
  9.947054e-03    1.777944e+00   2.526013e-01
  1.215751e-02    1.611582e+00   2.174677e-01
  1.436797e-02    1.775863e+00   2.099813e-01
  1.657842e-02    1.484744e+00   1.787188e-01
  1.878888e-02    1.313592e+00   1.579042e-01
  2.099934e-02    1.497631e+00   1.595161e-01
  2.320979e-02    1.336300e+00   1.433128e-01
  2.542025e-02    1.469884e+00   1.436319e-01
  2.763070e-02    1.463814e+00   1.374780e-01
  2.984116e-02    1.422489e+00   1.304071e-01
  3.205162e-02    1.379169e+00   1.239067e-01
  3.426207e-02    1.599081e+00   1.290358e-01
  3.647253e-02    1.566583e+00   1.237846e-01
  3.868299e-02    1.482854e+00   1.169485e-01
  4.089344e-02    1.427038e+00   1.115831e-01
  4.310390e-02    1.422759e+00   1.085149e-01
  4.531436e-02    1.392929e+00   1.047202e-01
  4.752481e-02    1.418198e+00   1.031781e-01
  4.973527e-02    1.372429e+00   9.921943e-02
  5.194572e-02    1.236885e+00   9.216535e-02
  5.415618e-02    1.346094e+00   9.416214e-02
  5.636664e-02    1.385865e+00   9.365386e-02
  5.857709e-02    1.462046e+00   9.436155e-02
  6.078755e-02    1.487706e+00   9.343636e-02
  6.299801e-02    1.437812e+00   9.022927e-02
  6.520846e-02    1.520643e+00   9.120619e-02
  6.741892e-02    1.509336e+00   8.935994e-02
  6.962938e-02    1.501447e+00   8.770437e-02
  7.183983e-02    1.509131e+00   8.656368e-02
  7.405029e-02    1.489514e+00   8.470393e-02
  7.626074e-02    1.523106e+00   8.440253e-02
  7.847120e-02    1.635250e+00   8.621167e-02
  8.068166e-02    1.562625e+00   8.311240e-02
  8.289211e-02    1.457448e+00   7.918870e-02
  8.510257e-02    1.488204e+00   7.897335e-02
