# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166594",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "WtvG7x0CqXy0Vyd/6A4hoA==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000141.dat
#        q_A^-1              I           sigma 
  1.105228e-03    2.939672e+00   9.277616e-01
  3.315685e-03    1.788193e+00   4.398986e-01
  5.526141e-03    1.163215e+00   2.743482e-01
  7.736597e-03    1.264741e+00   2.416690e-01
  9.947054e-03    1.537042e+00   2.348656e-01
  1.215751e-02    1.725426e+00   2.250178e-01
  1.436797e-02    1.718791e+00   2.065795e-01
  1.657842e-02    1.420079e+00   1.747836e-01
  1.878888e-02    1.306577e+00   1.574820e-01
  2.099934e-02    1.346794e+00   1.512699e-01
  2.320979e-02    1.309502e+00   1.418685e-01
  2.542025e-02    1.277905e+00   1.339241e-01
  2.763070e-02    1.425170e+00   1.356512e-01
  2.984116e-02    1.426073e+00   1.305712e-01
  3.205162e-02    1.452963e+00   1.271784e-01
  3.426207e-02    1.429920e+00   1.220199e-01
  3.647253e-02    1.236429e+00   1.099700e-01
  3.868299e-02    1.415998e+00   1.142818e-01
  4.089344e-02    1.533325e+00   1.156639e-01
  4.310390e-02    1.493492e+00   1.111797e-01
  4.531436e-02    1.449015e+00   1.068076e-01
  4.752481e-02    1.508373e+00   1.064078e-01
  4.973527e-02    1.391254e+00   9.989759e-02
  5.194572e-02    1.448567e+00   9.974066e-02
  5.415618e-02    1.416336e+00   9.658772e-02
  5.636664e-02    1.421678e+00   9.485620e-02
  5.857709e-02    1.382378e+00   9.175462e-02
  6.078755e-02    1.333563e+00   8.846350e-02
  6.299801e-02    1.265158e+00   8.463868e-02
  6.520846e-02    1.418007e+00   8.807442e-02
  6.741892e-02    1.532454e+00   9.004168e-02
  6.962938e-02    1.578815e+00   8.993567e-02
  7.183983e-02    1.494518e+00   8.614354e-02
  7.405029e-02    1.443849e+00   8.339538e-02
  7.626074e-02    1.415329e+00   8.136152e-02
  7.847120e-02    1.460338e+00   8.147057e-02
  8.068166e-02    1.405150e+00   7.881331e-02
  8.289211e-02    1.462706e+00   7.933144e-02
  8.510257e-02    1.534769e+00   8.019935e-02
  8.731303e-02    1.554855e+00   7.969107e-02
  8.952348e-02    1.598437e+00   7.979861e-02
  9.173394e-02    1.616055e+00   7.926144e-02
  9.394439e-02    1.544321e+00   7.656286e-02
  9.615485e-02    1.591599e+00   7.682569e-02
  9.836531e-02    1.548183e+00   7.491238e-02
  1.005758e-01    1.469263e+00   7.217207e-02
  1.027862e-01    1.590099e+00   7.426769e-02
  1.049967e-01    1.586641e+00   7.340055e-02
  1.072071e-01    1.543041e+00   7.163405e-02
  1.094176e-01    1.551700e+00   7.110436e-02
  1.116280e-01    1.482240e+00   6.880166e-02
  1.138385e-01    1.550484e+00   6.967981e-02
  1.160490e-01    1.588037e+00   6.984292e-02
  1.182594e-01    1.557388e+00   6.851471e-02
  1.204699e-01    1.522329e+00   6.711427e-02
  1.226803e-01    1.565857e+00   6.744821e-02
  1.248908e-01    1.683443e+00   6.931236e-02
  1.271012e-01    1.619176e+00   6.738146e-02
  1.293117e-01    1.518592e+00   6.469405e-02
  1.315222e-01    1.581474e+00   6.546123e-02
  1.337326e-01    1.710996e+00   6.752273e-02
  1.359431e-01    1.720834e+00   6.775625e-02
  1.381535e-01    1.601992e+00   6.625228e-02
  1.403640e-01    1.636880e+00   6.725896e-02
  1.425744e-01    1.569726e+00   6.597005e-02
  1.447849e-01    1.556582e+00   6.570840e-02
  1.469953e-01    1.602399e+00   6.662668e-02
  1.492058e-01    1.627721e+00   6.707302e-02
  1.514163e-01    1.606987e+00   6.653379e-02
  1.536267e-01    1.669957e+00   6.769241e-02
  1.558372e-01    1.597452e+00   6.606045e-02
  1.580476e-01    1.581801e+00   6.557649e-02
  1.602581e-01    1.553889e+00   6.483030e-02
  1.624685e-01    1.693999e+00   6.750466e-02
  1.646790e-01    1.726225e+00   6.794808e-02
  1.668895e-01    1.648871e+00   6.621644e-02
  1.690999e-01    1.686745e+00   6.677146e-02
  1.713104e-01    1.774532e+00   6.827447e-02
  1.735208e-01    1.814435e+00   6.882314e-02
  1.757313e-01    1.809386e+00   6.851193e-02
  1.779417e-01    1.817194e+00   6.843565e-02
  1.801522e-01    1.876552e+00   6.932291e-02
  1.823626e-01    1.833387e+00   6.829287e-02
  1.845731e-01    1.856611e+00   6.850142e-02
  1.867836e-01    1.984853e+00   7.058872e-02
  1.889940e-01    1.980546e+00   7.028167e-02
  1.912045e-01    1.977831e+00   6.999894e-02
  1.934149e-01    1.958051e+00   6.941491e-02
  1.956254e-01    2.048169e+00   7.076020e-02
  1.978358e-01    2.001554e+00   6.971064e-02
  2.000463e-01    1.993076e+00   6.933230e-02
  2.022568e-01    1.982622e+00   6.892329e-02
  2.044672e-01    1.942468e+00   6.798802e-02
  2.066777e-01    1.997317e+00   6.871243e-02
  2.088881e-01    1.971697e+00   6.804693e-02
  2.110986e-01    1.963262e+00   6.766838e-02
  2.133090e-01    2.056938e+00   6.903879e-02
  2.155195e-01    1.900948e+00   6.614921e-02
  2.177300e-01    1.955527e+00   6.656501e-02
  2.199404e-01    1.993992e+00   6.544538e-02
  2.221509e-01    1.913072e+00   6.305104e-02
  2.243613e-01    2.002945e+00   6.369718e-02
  2.265718e-01    2.027645e+00   6.338236e-02
  2.287822e-01    2.034888e+00   6.286698e-02
  2.309927e-01    2.059348e+00   6.266756e-02
  2.332031e-01    2.151576e+00   6.350722e-02
  2.354136e-01    2.112166e+00   6.241294e-02
  2.376241e-01    2.124411e+00   6.210776e-02
  2.398345e-01    2.088429e+00   6.112378e-02
  2.420450e-01    2.136772e+00   6.138534e-02
  2.442554e-01    2.093676e+00   6.034453e-02
  2.464659e-01    2.115131e+00   6.024573e-02
  2.486763e-01    2.100868e+00   5.964759e-02
  2.508868e-01    2.096064e+00   5.920350e-02
  2.530973e-01    2.128895e+00   5.929545e-02
  2.553077e-01    2.078208e+00   5.822996e-02
  2.575182e-01    2.085548e+00   5.798756e-02
  2.597286e-01    2.052577e+00   5.719295e-02
  2.619391e-01    2.000771e+00   5.614150e-02
  2.641495e-01    2.045258e+00   5.644803e-02
  2.663600e-01    2.129889e+00   5.728731e-02
  2.685704e-01    2.124839e+00   5.690921e-02
  2.707809e-01    2.077432e+00   5.597209e-02
  2.729914e-01    2.013267e+00   5.481376e-02
  2.752018e-01    1.972291e+00   5.397071e-02
  2.774123e-01    2.020110e+00   5.434203e-02
  2.796227e-01    2.043662e+00   5.438754e-02
  2.818332e-01    2.034248e+00   5.399144e-02
  2.840436e-01    2.035403e+00   5.374496e-02
  2.862541e-01    2.016419e+00   5.323661e-02
  2.884646e-01    1.997303e+00   5.273220e-02
  2.906750e-01    1.953481e+00   5.190325e-02
  2.928855e-01    1.922399e+00   5.125008e-02
  2.950959e-01    1.964742e+00   5.157343e-02
  2.973064e-01    1.978404e+00   5.151986e-02
  2.995168e-01    1.901700e+00   5.028246e-02
  3.017273e-01    1.918919e+00   5.028691e-02
  3.039377e-01    1.918808e+00   5.006526e-02
  3.061482e-01    1.870518e+00   4.921744e-02
  3.083587e-01    1.864856e+00   4.893015e-02
  3.105691e-01    1.910868e+00   4.931857e-02
  3.127796e-01    1.860250e+00   4.845640e-02
  3.149900e-01    1.928447e+00   4.913102e-02
  3.172005e-01    1.881614e+00   4.833236e-02
  3.194109e-01    1.912121e+00   4.852143e-02
  3.216214e-01    1.915705e+00   4.836873e-02
  3.238319e-01    1.889608e+00   4.784783e-02
  3.260423e-01    1.878864e+00   4.752157e-02
  3.282528e-01    1.826727e+00   4.667103e-02
  3.304632e-01    1.841161e+00   4.667355e-02
  3.326737e-01    1.791360e+00   4.585837e-02
  3.348841e-01    1.821928e+00   4.606862e-02
  3.370946e-01    1.842592e+00   4.615483e-02
  3.393050e-01    1.878671e+00   4.642797e-02
  3.415155e-01    1.872740e+00   4.618034e-02
  3.437260e-01    1.812899e+00   4.526815e-02
  3.459364e-01    1.820152e+00   4.519079e-02
  3.481469e-01    1.851745e+00   4.541492e-02
  3.503573e-01    1.869722e+00   4.546861e-02
  3.525678e-01    1.822892e+00   4.473560e-02
  3.547782e-01    1.809453e+00   4.440927e-02
  3.569887e-01    1.818221e+00   4.435901e-02
  3.591992e-01    1.898285e+00   4.516477e-02
  3.614096e-01    1.841295e+00   4.432743e-02
  3.636201e-01    1.807683e+00   4.376663e-02
  3.658305e-01    1.783298e+00   4.332213e-02
  3.680410e-01    1.774883e+00   4.307116e-02
  3.702514e-01    1.747559e+00   4.259460e-02
  3.724619e-01    1.815658e+00   4.326873e-02
  3.746724e-01    1.825308e+00   4.323883e-02
  3.768828e-01    1.840466e+00   4.327189e-02
  3.790933e-01    1.833440e+00   4.304847e-02
  3.813037e-01    1.786028e+00   4.234921e-02
  3.835142e-01    1.789715e+00   4.225367e-02
  3.857246e-01    1.762348e+00   4.179366e-02
  3.879351e-01    1.787476e+00   4.195434e-02
  3.901455e-01    1.802886e+00   4.200064e-02
  3.923560e-01    1.787513e+00   4.168829e-02
  3.945665e-01    1.740401e+00   4.100478e-02
  3.967769e-01    1.787951e+00   4.143101e-02
  3.989874e-01    1.768796e+00   4.107980e-02
  4.011978e-01    1.810646e+00   4.143511e-02
  4.034083e-01    1.826222e+00   4.148524e-02
  4.056187e-01    1.734402e+00   4.030433e-02
  4.078292e-01    1.751592e+00   4.038098e-02
  4.100397e-01    1.806854e+00   4.088780e-02
  4.122501e-01    1.853766e+00   4.129129e-02
  4.144606e-01    1.819816e+00   4.079015e-02
  4.166710e-01    1.808020e+00   4.053681e-02
  4.188815e-01    1.813205e+00   4.047500e-02
  4.210919e-01    1.799910e+00   4.020814e-02
  4.233024e-01    1.839852e+00   4.053225e-02
  4.255128e-01    1.797830e+00   3.995091e-02
  4.277233e-01    1.756200e+00   3.937217e-02
  4.299338e-01    1.814863e+00   3.990921e-02
  4.321442e-01    1.789878e+00   3.952013e-02
  4.343547e-01    1.786769e+00   3.937414e-02
  4.365651e-01    1.788792e+00   3.928450e-02
  4.387756e-01    1.789752e+00   3.918500e-02
  4.409860e-01    1.777122e+00   3.893832e-02
  4.431965e-01    1.742115e+00   3.844628e-02
  4.454070e-01    1.792249e+00   3.888707e-02
  4.476174e-01    1.734091e+00   3.814591e-02
  4.498279e-01    1.748792e+00   3.820302e-02
  4.520383e-01    1.718660e+00   3.776856e-02
  4.542488e-01    1.683829e+00   3.728306e-02
  4.564592e-01    1.733031e+00   3.772238e-02
  4.586697e-01    1.731416e+00   3.760472e-02
  4.608801e-01    1.712199e+00   3.729530e-02
  4.630906e-01    1.720178e+00   3.728310e-02
  4.653011e-01    1.744394e+00   3.744589e-02
  4.675115e-01    1.747467e+00   3.738014e-02
  4.697220e-01    1.744464e+00   3.725024e-02
  4.719324e-01    1.711612e+00   3.680237e-02
  4.741429e-01    1.743298e+00   3.704576e-02
  4.763533e-01    1.686354e+00   3.634230e-02
  4.785638e-01    1.723036e+00   3.664050e-02
  4.807743e-01    1.741313e+00   3.674068e-02
