# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166592",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "oAy+h16i6IRnGw9nDELpIw==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000143.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.079875e+00   5.623072e-01
  3.315685e-03    1.312557e+00   3.768813e-01
  5.526141e-03    1.902154e+00   3.508286e-01
  7.736597e-03    1.304074e+00   2.453981e-01
  9.947054e-03    1.414339e+00   2.252959e-01
  1.215751e-02    1.275578e+00   1.934738e-01
  1.436797e-02    1.423991e+00   1.880310e-01
  1.657842e-02    1.378147e+00   1.721838e-01
  1.878888e-02    1.479334e+00   1.675701e-01
  2.099934e-02    1.606481e+00   1.652113e-01
  2.320979e-02    1.470736e+00   1.503489e-01
  2.542025e-02    1.464852e+00   1.433858e-01
  2.763070e-02    1.425305e+00   1.356577e-01
  2.984116e-02    1.392460e+00   1.290232e-01
  3.205162e-02    1.381305e+00   1.240027e-01
  3.426207e-02    1.544232e+00   1.268034e-01
  3.647253e-02    1.512237e+00   1.216185e-01
  3.868299e-02    1.430736e+00   1.148750e-01
  4.089344e-02    1.337163e+00   1.080122e-01
  4.310390e-02    1.334380e+00   1.050906e-01
  4.531436e-02    1.455654e+00   1.070520e-01
  4.752481e-02    1.404690e+00   1.026855e-01
  4.973527e-02    1.349948e+00   9.840345e-02
  5.194572e-02    1.374184e+00   9.714611e-02
  5.415618e-02    1.423883e+00   9.684470e-02
  5.636664e-02    1.419061e+00   9.476887e-02
  5.857709e-02    1.443006e+00   9.374512e-02
  6.078755e-02    1.447857e+00   9.217648e-02
  6.299801e-02    1.471593e+00   9.128311e-02
  6.520846e-02    1.309937e+00   8.465174e-02
  6.741892e-02    1.424839e+00   8.682256e-02
  6.962938e-02    1.466835e+00   8.668762e-02
  7.183983e-02    1.515122e+00   8.673529e-02
  7.405029e-02    1.492086e+00   8.477705e-02
  7.626074e-02    1.406270e+00   8.110071e-02
  7.847120e-02    1.372309e+00   7.897688e-02
  8.068166e-02    1.469431e+00   8.059587e-02
  8.289211e-02    1.541398e+00   8.143744e-02
  8.510257e-02    1.453362e+00   7.804345e-02
  8.731303e-02    1.484307e+00   7.786217e-02
  8.952348e-02    1.383150e+00   7.423048e-02
  9.173394e-02    1.431133e+00   7.458882e-02
  9.394439e-02    1.496162e+00   7.535960e-02
  9.615485e-02    1.402048e+00   7.210597e-02
  9.836531e-02    1.467801e+00   7.294171e-02
  1.005758e-01    1.482813e+00   7.250410e-02
  1.027862e-01    1.589839e+00   7.426161e-02
  1.049967e-01    1.579846e+00   7.324322e-02
  1.072071e-01    1.524404e+00   7.120015e-02
  1.094176e-01    1.487154e+00   6.960978e-02
  1.116280e-01    1.462039e+00   6.833123e-02
  1.138385e-01    1.469608e+00   6.783815e-02
  1.160490e-01    1.581696e+00   6.970331e-02
  1.182594e-01    1.626226e+00   7.001255e-02
  1.204699e-01    1.535491e+00   6.740379e-02
