# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166608",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "04Hlom3MrGt/rTsfheXh1w==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000145.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.417644e+00   6.442739e-01
  3.315685e-03    1.621200e+00   4.188550e-01
  5.526141e-03    1.095931e+00   2.662955e-01
  7.736597e-03    1.656978e+00   2.766168e-01
  9.947054e-03    1.585323e+00   2.385259e-01
  1.215751e-02    1.526772e+00   2.116683e-01
  1.436797e-02    1.429573e+00   1.883992e-01
  1.657842e-02    1.485522e+00   1.787656e-01
  1.878888e-02    1.541259e+00   1.710414e-01
  2.099934e-02    1.306494e+00   1.489895e-01
  2.320979e-02    1.330727e+00   1.430136e-01
  2.542025e-02    1.453822e+00   1.428450e-01
  2.763070e-02    1.342917e+00   1.316785e-01
  2.984116e-02    1.266703e+00   1.230591e-01
  3.205162e-02    1.445509e+00   1.268518e-01
  3.426207e-02    1.447906e+00   1.227849e-01
  3.647253e-02    1.273137e+00   1.115905e-01
  3.868299e-02    1.166448e+00   1.037238e-01
  4.089344e-02    1.413792e+00   1.110641e-01
  4.310390e-02    1.409545e+00   1.080098e-01
  4.531436e-02    1.497768e+00   1.085895e-01
  4.752481e-02    1.609238e+00   1.099080e-01
  4.973527e-02    1.580444e+00   1.064735e-01
  5.194572e-02    1.435777e+00   9.929936e-02
  5.415618e-02    1.476382e+00   9.861390e-02
  5.636664e-02    1.435508e+00   9.531650e-02
  5.857709e-02    1.511073e+00   9.593063e-02
  6.078755e-02    1.537037e+00   9.497285e-02
  6.299801e-02    1.408226e+00   8.929614e-02
  6.520846e-02    1.414300e+00   8.795925e-02
  6.741892e-02    1.508327e+00   8.933005e-02
  6.962938e-02    1.477262e+00   8.699518e-02
  7.183983e-02    1.570661e+00   8.831069e-02
  7.405029e-02    1.506535e+00   8.518653e-02
  7.626074e-02    1.457073e+00   8.255266e-02
  7.847120e-02    1.423353e+00   8.043227e-02
  8.068166e-02    1.406777e+00   7.885896e-02
  8.289211e-02    1.453227e+00   7.907395e-02
  8.510257e-02    1.428174e+00   7.736419e-02
  8.731303e-02    1.441303e+00   7.672594e-02
  8.952348e-02    1.536144e+00   7.822824e-02
  9.173394e-02    1.530457e+00   7.713374e-02
  9.394439e-02    1.530439e+00   7.621796e-02
  9.615485e-02    1.575739e+00   7.644195e-02
  9.836531e-02    1.521334e+00   7.425997e-02
  1.005758e-01    1.536857e+00   7.381355e-02
  1.027862e-01    1.551291e+00   7.335583e-02
  1.049967e-01    1.546221e+00   7.245956e-02
  1.072071e-01    1.526643e+00   7.125240e-02
  1.094176e-01    1.586987e+00   7.190830e-02
  1.116280e-01    1.620102e+00   7.193014e-02
  1.138385e-01    1.543710e+00   6.952745e-02
  1.160490e-01    1.619838e+00   7.053874e-02
  1.182594e-01    1.580890e+00   6.902973e-02
  1.204699e-01    1.561393e+00   6.796993e-02
  1.226803e-01    1.528917e+00   6.664788e-02
  1.248908e-01    1.572284e+00   6.698489e-02
  1.271012e-01    1.615601e+00   6.730703e-02
  1.293117e-01    1.571594e+00   6.581336e-02
  1.315222e-01    1.624707e+00   6.634997e-02
  1.337326e-01    1.588802e+00   6.506697e-02
  1.359431e-01    1.547607e+00   6.425547e-02
  1.381535e-01    1.545432e+00   6.507220e-02
  1.403640e-01    1.546399e+00   6.537361e-02
  1.425744e-01    1.582549e+00   6.623896e-02
  1.447849e-01    1.552357e+00   6.561917e-02
  1.469953e-01    1.544883e+00   6.542001e-02
  1.492058e-01    1.526784e+00   6.496008e-02
  1.514163e-01    1.579673e+00   6.596594e-02
  1.536267e-01    1.653288e+00   6.735371e-02
  1.558372e-01    1.614328e+00   6.640848e-02
  1.580476e-01    1.613856e+00   6.623762e-02
  1.602581e-01    1.597849e+00   6.574093e-02
  1.624685e-01    1.626060e+00   6.613715e-02
  1.646790e-01    1.717685e+00   6.777978e-02
  1.668895e-01    1.735551e+00   6.793461e-02
  1.690999e-01    1.760554e+00   6.821675e-02
  1.713104e-01    1.781667e+00   6.841160e-02
  1.735208e-01    1.743421e+00   6.746291e-02
  1.757313e-01    1.675494e+00   6.592832e-02
  1.779417e-01    1.737027e+00   6.690907e-02
  1.801522e-01    1.815508e+00   6.818607e-02
  1.823626e-01    1.857398e+00   6.873861e-02
  1.845731e-01    1.864709e+00   6.865066e-02
  1.867836e-01    1.933074e+00   6.966189e-02
  1.889940e-01    1.941107e+00   6.957839e-02
  1.912045e-01    1.942491e+00   6.937075e-02
  1.934149e-01    1.918552e+00   6.871124e-02
  1.956254e-01    1.811131e+00   6.653974e-02
  1.978358e-01    1.909119e+00   6.808190e-02
  2.000463e-01    2.004399e+00   6.952897e-02
  2.022568e-01    2.025804e+00   6.966981e-02
  2.044672e-01    2.026982e+00   6.945132e-02
  2.066777e-01    2.027024e+00   6.922153e-02
  2.088881e-01    1.992591e+00   6.840654e-02
  2.110986e-01    1.964682e+00   6.769285e-02
  2.133090e-01    1.944187e+00   6.711995e-02
