# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166612",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "mYF8mGUnSW8F5DqoJzIJgw==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000147.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.314181e+00   6.203183e-01
  3.315685e-03    1.771062e+00   4.377865e-01
  5.526141e-03    1.748982e+00   3.364069e-01
  7.736597e-03    1.154467e+00   2.308932e-01
  9.947054e-03    1.189714e+00   2.066321e-01
  1.215751e-02    1.421554e+00   2.042445e-01
  1.436797e-02    1.532852e+00   1.950859e-01
  1.657842e-02    1.452680e+00   1.767785e-01
  1.878888e-02    1.237771e+00   1.532794e-01
  2.099934e-02    1.406273e+00   1.545742e-01
  2.320979e-02    1.490470e+00   1.513542e-01
  2.542025e-02    1.179307e+00   1.286539e-01
  2.763070e-02    1.296038e+00   1.293597e-01
  2.984116e-02    1.478148e+00   1.329338e-01
  3.205162e-02    1.345105e+00   1.223670e-01
  3.426207e-02    1.479305e+00   1.241091e-01
  3.647253e-02    1.501883e+00   1.212014e-01
  3.868299e-02    1.407128e+00   1.139233e-01
  4.089344e-02    1.492222e+00   1.141031e-01
  4.310390e-02    1.481015e+00   1.107143e-01
  4.531436e-02    1.510590e+00   1.090534e-01
  4.752481e-02    1.567695e+00   1.084800e-01
  4.973527e-02    1.615376e+00   1.076437e-01
  5.194572e-02    1.457842e+00   1.000595e-01
  5.415618e-02    1.492707e+00   9.915760e-02
  5.636664e-02    1.556895e+00   9.926471e-02
  5.857709e-02    1.355829e+00   9.086929e-02
  6.078755e-02    1.394142e+00   9.045045e-02
  6.299801e-02    1.368474e+00   8.802676e-02
  6.520846e-02    1.412049e+00   8.788919e-02
  6.741892e-02    1.504160e+00   8.920658e-02
  6.962938e-02    1.450675e+00   8.620877e-02
  7.183983e-02    1.451535e+00   8.489576e-02
  7.405029e-02    1.430887e+00   8.302022e-02
  7.626074e-02    1.473668e+00   8.302142e-02
  7.847120e-02    1.454337e+00   8.130299e-02
  8.068166e-02    1.537639e+00   8.244522e-02
  8.289211e-02    1.547685e+00   8.160334e-02
  8.510257e-02    1.536130e+00   8.023492e-02
  8.731303e-02    1.499323e+00   7.825505e-02
  8.952348e-02    1.554252e+00   7.868795e-02
  9.173394e-02    1.524965e+00   7.699524e-02
  9.394439e-02    1.497659e+00   7.539729e-02
  9.615485e-02    1.583855e+00   7.663857e-02
  9.836531e-02    1.495592e+00   7.362901e-02
  1.005758e-01    1.542235e+00   7.394260e-02
  1.027862e-01    1.522000e+00   7.265996e-02
  1.049967e-01    1.528766e+00   7.204942e-02
  1.072071e-01    1.526807e+00   7.125621e-02
  1.094176e-01    1.526708e+00   7.052943e-02
  1.116280e-01    1.565608e+00   7.071004e-02
  1.138385e-01    1.629969e+00   7.144354e-02
  1.160490e-01    1.595639e+00   7.000989e-02
  1.182594e-01    1.562161e+00   6.861961e-02
  1.204699e-01    1.538437e+00   6.746840e-02
  1.226803e-01    1.614066e+00   6.847864e-02
  1.248908e-01    1.624767e+00   6.809372e-02
  1.271012e-01    1.646330e+00   6.794409e-02
  1.293117e-01    1.686051e+00   6.816778e-02
  1.315222e-01    1.603802e+00   6.592175e-02
  1.337326e-01    1.531415e+00   6.388105e-02
  1.359431e-01    1.579011e+00   6.490413e-02
  1.381535e-01    1.604427e+00   6.630260e-02
  1.403640e-01    1.609313e+00   6.669020e-02
  1.425744e-01    1.540050e+00   6.534349e-02
  1.447849e-01    1.629908e+00   6.723826e-02
  1.469953e-01    1.614096e+00   6.686945e-02
  1.492058e-01    1.487278e+00   6.411415e-02
  1.514163e-01    1.611622e+00   6.662967e-02
  1.536267e-01    1.641614e+00   6.711550e-02
  1.558372e-01    1.600678e+00   6.612712e-02
  1.580476e-01    1.629142e+00   6.655056e-02
  1.602581e-01    1.698089e+00   6.777166e-02
  1.624685e-01    1.708842e+00   6.779978e-02
  1.646790e-01    1.692017e+00   6.727146e-02
  1.668895e-01    1.754554e+00   6.830551e-02
  1.690999e-01    1.707946e+00   6.718980e-02
  1.713104e-01    1.711073e+00   6.704258e-02
  1.735208e-01    1.764829e+00   6.787582e-02
  1.757313e-01    1.807736e+00   6.848069e-02
  1.779417e-01    1.831640e+00   6.870713e-02
  1.801522e-01    1.873645e+00   6.926919e-02
  1.823626e-01    1.864402e+00   6.886809e-02
  1.845731e-01    1.946944e+00   7.014811e-02
  1.867836e-01    1.966511e+00   7.026178e-02
  1.889940e-01    2.014586e+00   7.088309e-02
  1.912045e-01    1.924678e+00   6.905195e-02
  1.934149e-01    1.934810e+00   6.900175e-02
  1.956254e-01    1.937173e+00   6.881614e-02
  1.978358e-01    1.946627e+00   6.874746e-02
  2.000463e-01    2.009647e+00   6.961992e-02
  2.022568e-01    1.987446e+00   6.900709e-02
  2.044672e-01    1.983612e+00   6.870431e-02
  2.066777e-01    2.005535e+00   6.885362e-02
  2.088881e-01    2.059717e+00   6.954923e-02
  2.110986e-01    2.045120e+00   6.906469e-02
  2.133090e-01    2.041673e+00   6.878214e-02
  2.155195e-01    1.972450e+00   6.738180e-02
  2.177300e-01    2.003698e+00   6.737991e-02
  2.199404e-01    1.951281e+00   6.474067e-02
  2.221509e-01    1.930811e+00   6.334270e-02
  2.243613e-01    1.896298e+00   6.197821e-02
  2.265718e-01    1.990101e+00   6.279282e-02
  2.287822e-01    1.994367e+00   6.223787e-02
  2.309927e-01    2.115758e+00   6.352007e-02
  2.332031e-01    2.176928e+00   6.388028e-02
  2.354136e-01    2.194906e+00   6.362366e-02
