# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166624",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "uAQnqv4A1xQuAtrmFo3Eqg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000153.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.737888e+00   7.133422e-01
  3.315685e-03    1.437436e+00   3.944025e-01
  5.526141e-03    1.386140e+00   2.994854e-01
  7.736597e-03    1.167619e+00   2.322046e-01
  9.947054e-03    1.084402e+00   1.972748e-01
  1.215751e-02    1.346704e+00   1.987946e-01
  1.436797e-02    1.645915e+00   2.021527e-01
  1.657842e-02    1.195473e+00   1.603667e-01
  1.878888e-02    1.222975e+00   1.523605e-01
  2.099934e-02    1.367689e+00   1.524389e-01
  2.320979e-02    1.480944e+00   1.508697e-01
  2.542025e-02    1.658157e+00   1.525536e-01
  2.763070e-02    1.492415e+00   1.388146e-01
  2.984116e-02    1.403263e+00   1.295227e-01
  3.205162e-02    1.600688e+00   1.334872e-01
  3.426207e-02    1.690161e+00   1.326597e-01
  3.647253e-02    1.423462e+00   1.179948e-01
  3.868299e-02    1.427916e+00   1.147617e-01
  4.089344e-02    1.384445e+00   1.099053e-01
  4.310390e-02    1.340542e+00   1.053329e-01
  4.531436e-02    1.475558e+00   1.077814e-01
  4.752481e-02    1.429607e+00   1.035923e-01
  4.973527e-02    1.309112e+00   9.690365e-02
  5.194572e-02    1.454803e+00   9.995510e-02
  5.415618e-02    1.493929e+00   9.919818e-02
  5.636664e-02    1.474757e+00   9.661075e-02
  5.857709e-02    1.455363e+00   9.414563e-02
  6.078755e-02    1.514609e+00   9.427742e-02
  6.299801e-02    1.360777e+00   8.777885e-02
  6.520846e-02    1.466437e+00   8.956584e-02
  6.741892e-02    1.406144e+00   8.625114e-02
  6.962938e-02    1.451854e+00   8.624376e-02
  7.183983e-02    1.483228e+00   8.581755e-02
  7.405029e-02    1.548708e+00   8.637061e-02
  7.626074e-02    1.614210e+00   8.689012e-02
  7.847120e-02    1.630494e+00   8.608619e-02
  8.068166e-02    1.595826e+00   8.399069e-02
  8.289211e-02    1.467233e+00   7.945410e-02
  8.510257e-02    1.437929e+00   7.762796e-02
  8.731303e-02    1.514289e+00   7.864464e-02
