# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166638",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "VSI0Nvdghovv9newhbPqZQ==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000154.dat
#        q_A^-1              I           sigma 
  1.105228e-03    5.343030e-01   3.955312e-01
  3.315685e-03    1.887869e+00   4.519926e-01
  5.526141e-03    1.669592e+00   3.286831e-01
  7.736597e-03    1.545311e+00   2.671334e-01
  9.947054e-03    1.654466e+00   2.436719e-01
  1.215751e-02    1.638813e+00   2.192973e-01
  1.436797e-02    1.516432e+00   1.940382e-01
  1.657842e-02    1.571650e+00   1.838748e-01
  1.878888e-02    1.492147e+00   1.682943e-01
  2.099934e-02    1.538082e+00   1.616560e-01
  2.320979e-02    1.580639e+00   1.558652e-01
  2.542025e-02    1.480193e+00   1.441348e-01
  2.763070e-02    1.398854e+00   1.343929e-01
  2.984116e-02    1.505145e+00   1.341423e-01
  3.205162e-02    1.381091e+00   1.239930e-01
  3.426207e-02    1.521331e+00   1.258597e-01
  3.647253e-02    1.332794e+00   1.141751e-01
  3.868299e-02    1.276925e+00   1.085246e-01
  4.089344e-02    1.547155e+00   1.161843e-01
  4.310390e-02    1.461580e+00   1.099854e-01
  4.531436e-02    1.365412e+00   1.036806e-01
  4.752481e-02    1.396035e+00   1.023687e-01
  4.973527e-02    1.339253e+00   9.801288e-02
  5.194572e-02    1.301094e+00   9.452731e-02
  5.415618e-02    1.461403e+00   9.811234e-02
  5.636664e-02    1.449763e+00   9.578856e-02
  5.857709e-02    1.455653e+00   9.415501e-02
  6.078755e-02    1.445280e+00   9.209441e-02
  6.299801e-02    1.480755e+00   9.156681e-02
  6.520846e-02    1.521897e+00   9.124381e-02
  6.741892e-02    1.405906e+00   8.624382e-02
  6.962938e-02    1.481739e+00   8.712688e-02
  7.183983e-02    1.519591e+00   8.686312e-02
  7.405029e-02    1.542443e+00   8.619575e-02
  7.626074e-02    1.469629e+00   8.290758e-02
  7.847120e-02    1.541526e+00   8.370461e-02
  8.068166e-02    1.565517e+00   8.318925e-02
  8.289211e-02    1.536775e+00   8.131521e-02
  8.510257e-02    1.546533e+00   8.050613e-02
  8.731303e-02    1.551203e+00   7.959744e-02
  8.952348e-02    1.542866e+00   7.839920e-02
  9.173394e-02    1.653268e+00   8.016883e-02
  9.394439e-02    1.553465e+00   7.678919e-02
  9.615485e-02    1.506642e+00   7.474716e-02
  9.836531e-02    1.481916e+00   7.329161e-02
  1.005758e-01    1.492769e+00   7.274710e-02
  1.027862e-01    1.562695e+00   7.362492e-02
  1.049967e-01    1.641657e+00   7.466226e-02
  1.072071e-01    1.576123e+00   7.239790e-02
  1.094176e-01    1.503474e+00   6.999069e-02
  1.116280e-01    1.614190e+00   7.179876e-02
  1.138385e-01    1.616267e+00   7.114263e-02
  1.160490e-01    1.520565e+00   6.834309e-02
  1.182594e-01    1.539943e+00   6.812988e-02
  1.204699e-01    1.487621e+00   6.634478e-02
  1.226803e-01    1.543787e+00   6.697120e-02
  1.248908e-01    1.574360e+00   6.702913e-02
  1.271012e-01    1.574904e+00   6.645387e-02
  1.293117e-01    1.675694e+00   6.795808e-02
  1.315222e-01    1.568083e+00   6.518352e-02
  1.337326e-01    1.596230e+00   6.521887e-02
  1.359431e-01    1.604030e+00   6.541632e-02
  1.381535e-01    1.546854e+00   6.510212e-02
  1.403640e-01    1.571177e+00   6.589527e-02
  1.425744e-01    1.611159e+00   6.683503e-02
  1.447849e-01    1.624619e+00   6.712909e-02
  1.469953e-01    1.622094e+00   6.703487e-02
  1.492058e-01    1.658432e+00   6.770281e-02
  1.514163e-01    1.625481e+00   6.691556e-02
  1.536267e-01    1.636064e+00   6.700196e-02
  1.558372e-01    1.575031e+00   6.559522e-02
  1.580476e-01    1.642279e+00   6.681836e-02
  1.602581e-01    1.670301e+00   6.721487e-02
  1.624685e-01    1.692288e+00   6.747059e-02
  1.646790e-01    1.730608e+00   6.803428e-02
  1.668895e-01    1.703263e+00   6.729972e-02
  1.690999e-01    1.743118e+00   6.787810e-02
  1.713104e-01    1.747414e+00   6.775078e-02
  1.735208e-01    1.801048e+00   6.856877e-02
  1.757313e-01    1.825545e+00   6.881718e-02
  1.779417e-01    1.923386e+00   7.040688e-02
  1.801522e-01    1.926988e+00   7.024833e-02
  1.823626e-01    1.948983e+00   7.041292e-02
  1.845731e-01    1.972685e+00   7.061029e-02
  1.867836e-01    1.919109e+00   6.940983e-02
  1.889940e-01    1.884221e+00   6.855126e-02
  1.912045e-01    1.980832e+00   7.005202e-02
