# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166620",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "PMBiWTwt8Mh3El6lr1OQEQ==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000155.dat
#        q_A^-1              I           sigma 
  1.105228e-03    2.365113e+00   8.321717e-01
  3.315685e-03    1.431810e+00   3.936299e-01
  5.526141e-03    1.513045e+00   3.128946e-01
  7.736597e-03    1.755719e+00   2.847396e-01
  9.947054e-03    1.533258e+00   2.345764e-01
  1.215751e-02    1.232084e+00   1.901467e-01
  1.436797e-02    1.229620e+00   1.747275e-01
  1.657842e-02    1.405995e+00   1.739147e-01
  1.878888e-02    1.480450e+00   1.676333e-01
  2.099934e-02    1.667362e+00   1.683127e-01
  2.320979e-02    1.397388e+00   1.465519e-01
  2.542025e-02    1.407920e+00   1.405719e-01
  2.763070e-02    1.510762e+00   1.396652e-01
  2.984116e-02    1.687666e+00   1.420430e-01
  3.205162e-02    1.481839e+00   1.284360e-01
  3.426207e-02    1.421819e+00   1.216738e-01
  3.647253e-02    1.437591e+00   1.185789e-01
  3.868299e-02    1.516446e+00   1.182658e-01
  4.089344e-02    1.530084e+00   1.155416e-01
  4.310390e-02    1.581436e+00   1.144062e-01
  4.531436e-02    1.539394e+00   1.100882e-01
  4.752481e-02    1.389579e+00   1.021317e-01
  4.973527e-02    1.362072e+00   9.884435e-02
  5.194572e-02    1.466810e+00   1.003667e-01
  5.415618e-02    1.455279e+00   9.790657e-02
  5.636664e-02    1.434252e+00   9.527478e-02
  5.857709e-02    1.274986e+00   8.811854e-02
  6.078755e-02    1.316578e+00   8.789831e-02
  6.299801e-02    1.362870e+00   8.784633e-02
  6.520846e-02    1.362022e+00   8.631827e-02
  6.741892e-02    1.374955e+00   8.528921e-02
  6.962938e-02    1.410804e+00   8.501580e-02
  7.183983e-02    1.368564e+00   8.243368e-02
  7.405029e-02    1.571277e+00   8.699766e-02
  7.626074e-02    1.628250e+00   8.726719e-02
  7.847120e-02    1.498585e+00   8.253054e-02
  8.068166e-02    1.510026e+00   8.170158e-02
  8.289211e-02    1.523535e+00   8.096417e-02
  8.510257e-02    1.561755e+00   8.090138e-02
  8.731303e-02    1.603611e+00   8.093087e-02
  8.952348e-02    1.572980e+00   7.916063e-02
  9.173394e-02    1.585700e+00   7.851350e-02
  9.394439e-02    1.636454e+00   7.881361e-02
  9.615485e-02    1.518483e+00   7.504033e-02
  9.836531e-02    1.547087e+00   7.488585e-02
  1.005758e-01    1.525985e+00   7.355200e-02
  1.027862e-01    1.461252e+00   7.119516e-02
  1.049967e-01    1.535037e+00   7.219703e-02
  1.072071e-01    1.506247e+00   7.077485e-02
  1.094176e-01    1.471997e+00   6.925416e-02
  1.116280e-01    1.526133e+00   6.981292e-02
  1.138385e-01    1.575822e+00   7.024684e-02
  1.160490e-01    1.612987e+00   7.038942e-02
  1.182594e-01    1.510412e+00   6.747347e-02
  1.204699e-01    1.484861e+00   6.628321e-02
  1.226803e-01    1.519476e+00   6.644177e-02
  1.248908e-01    1.620534e+00   6.800495e-02
  1.271012e-01    1.658705e+00   6.819897e-02
  1.293117e-01    1.657430e+00   6.758674e-02
  1.315222e-01    1.534449e+00   6.448065e-02
