# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166594",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "WF0e5Trts9zxbcT5QL9ocA==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000157.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.603023e+00   6.851045e-01
  3.315685e-03    1.162959e+00   3.547543e-01
  5.526141e-03    1.499361e+00   3.114764e-01
  7.736597e-03    1.296664e+00   2.446999e-01
  9.947054e-03    1.357492e+00   2.207218e-01
  1.215751e-02    1.586313e+00   2.157561e-01
  1.436797e-02    1.411645e+00   1.872141e-01
  1.657842e-02    1.519801e+00   1.808164e-01
  1.878888e-02    1.551829e+00   1.716269e-01
  2.099934e-02    1.591920e+00   1.644609e-01
  2.320979e-02    1.502684e+00   1.519731e-01
  2.542025e-02    1.457966e+00   1.430484e-01
  2.763070e-02    1.455816e+00   1.371019e-01
  2.984116e-02    1.424349e+00   1.304923e-01
  3.205162e-02    1.463939e+00   1.276579e-01
  3.426207e-02    1.397701e+00   1.206374e-01
  3.647253e-02    1.227358e+00   1.095659e-01
  3.868299e-02    1.396543e+00   1.134940e-01
  4.089344e-02    1.447371e+00   1.123752e-01
  4.310390e-02    1.377997e+00   1.067943e-01
  4.531436e-02    1.442670e+00   1.065735e-01
  4.752481e-02    1.461034e+00   1.047247e-01
  4.973527e-02    1.522322e+00   1.044973e-01
  5.194572e-02    1.541477e+00   1.028896e-01
  5.415618e-02    1.515868e+00   9.992392e-02
  5.636664e-02    1.477580e+00   9.670317e-02
  5.857709e-02    1.575570e+00   9.795655e-02
  6.078755e-02    1.409139e+00   9.093568e-02
  6.299801e-02    1.453267e+00   9.071291e-02
  6.520846e-02    1.484341e+00   9.011094e-02
  6.741892e-02    1.530403e+00   8.998140e-02
  6.962938e-02    1.402091e+00   8.475289e-02
  7.183983e-02    1.415383e+00   8.383184e-02
  7.405029e-02    1.576309e+00   8.713686e-02
  7.626074e-02    1.548742e+00   8.510987e-02
  7.847120e-02    1.527962e+00   8.333556e-02
  8.068166e-02    1.391987e+00   7.844330e-02
  8.289211e-02    1.430256e+00   7.844649e-02
  8.510257e-02    1.567978e+00   8.106238e-02
