# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166634",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "KtNmPosK/xq6ZzqFzz3tYg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000160.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.444329e+00   6.503094e-01
  3.315685e-03    1.349423e+00   3.821374e-01
  5.526141e-03    1.557879e+00   3.174965e-01
  7.736597e-03    1.733403e+00   2.829241e-01
  9.947054e-03    1.348144e+00   2.199605e-01
  1.215751e-02    1.392620e+00   2.021552e-01
  1.436797e-02    1.590767e+00   1.987372e-01
  1.657842e-02    1.530034e+00   1.814241e-01
  1.878888e-02    1.616722e+00   1.751787e-01
  2.099934e-02    1.510515e+00   1.602007e-01
  2.320979e-02    1.428754e+00   1.481875e-01
  2.542025e-02    1.463266e+00   1.433082e-01
  2.763070e-02    1.361673e+00   1.325948e-01
  2.984116e-02    1.614913e+00   1.389476e-01
  3.205162e-02    1.503094e+00   1.293539e-01
  3.426207e-02    1.412339e+00   1.212675e-01
  3.647253e-02    1.442206e+00   1.187691e-01
  3.868299e-02    1.428539e+00   1.147868e-01
  4.089344e-02    1.418140e+00   1.112347e-01
  4.310390e-02    1.415396e+00   1.082338e-01
  4.531436e-02    1.249630e+00   9.918740e-02
  4.752481e-02    1.370462e+00   1.014267e-01
  4.973527e-02    1.328228e+00   9.760860e-02
  5.194572e-02    1.360977e+00   9.667814e-02
  5.415618e-02    1.414749e+00   9.653359e-02
  5.636664e-02    1.508370e+00   9.770551e-02
  5.857709e-02    1.484892e+00   9.509595e-02
  6.078755e-02    1.460494e+00   9.257786e-02
  6.299801e-02    1.431316e+00   9.002524e-02
  6.520846e-02    1.336340e+00   8.550061e-02
  6.741892e-02    1.435445e+00   8.714511e-02
  6.962938e-02    1.591474e+00   9.029551e-02
  7.183983e-02    1.558641e+00   8.797216e-02
  7.405029e-02    1.435127e+00   8.314315e-02
  7.626074e-02    1.435431e+00   8.193728e-02
  7.847120e-02    1.469222e+00   8.171798e-02
  8.068166e-02    1.471563e+00   8.065433e-02
  8.289211e-02    1.479520e+00   7.978608e-02
  8.510257e-02    1.503481e+00   7.937768e-02
  8.731303e-02    1.484055e+00   7.785558e-02
  8.952348e-02    1.432560e+00   7.554471e-02
  9.173394e-02    1.417398e+00   7.423005e-02
  9.394439e-02    1.493425e+00   7.529063e-02
  9.615485e-02    1.497659e+00   7.452402e-02
  9.836531e-02    1.584638e+00   7.578921e-02
  1.005758e-01    1.587063e+00   7.500955e-02
  1.027862e-01    1.494002e+00   7.198855e-02
  1.049967e-01    1.535775e+00   7.221439e-02
  1.072071e-01    1.462997e+00   6.975133e-02
  1.094176e-01    1.496773e+00   6.983456e-02
  1.116280e-01    1.550282e+00   7.036311e-02
  1.138385e-01    1.547176e+00   6.960546e-02
  1.160490e-01    1.472250e+00   6.724852e-02
  1.182594e-01    1.541705e+00   6.816886e-02
  1.204699e-01    1.651530e+00   6.990428e-02
  1.226803e-01    1.626223e+00   6.873605e-02
  1.248908e-01    1.542807e+00   6.635405e-02
  1.271012e-01    1.436329e+00   6.346295e-02
  1.293117e-01    1.543009e+00   6.521206e-02
  1.315222e-01    1.567086e+00   6.516279e-02
  1.337326e-01    1.639419e+00   6.609530e-02
  1.359431e-01    1.705940e+00   6.746241e-02
  1.381535e-01    1.545893e+00   6.508189e-02
  1.403640e-01    1.645644e+00   6.743878e-02
  1.425744e-01    1.623788e+00   6.709646e-02
  1.447849e-01    1.616489e+00   6.696090e-02
  1.469953e-01    1.671008e+00   6.803809e-02
  1.492058e-01    1.628644e+00   6.709203e-02
  1.514163e-01    1.647988e+00   6.737723e-02
  1.536267e-01    1.621739e+00   6.670799e-02
  1.558372e-01    1.588283e+00   6.587057e-02
  1.580476e-01    1.578478e+00   6.550759e-02
  1.602581e-01    1.587666e+00   6.553110e-02
  1.624685e-01    1.647587e+00   6.657351e-02
  1.646790e-01    1.639164e+00   6.621245e-02
  1.668895e-01    1.742571e+00   6.807184e-02
  1.690999e-01    1.835583e+00   6.965517e-02
  1.713104e-01    1.785446e+00   6.848412e-02
  1.735208e-01    1.658203e+00   6.579345e-02
  1.757313e-01    1.788496e+00   6.811527e-02
  1.779417e-01    1.891248e+00   6.981618e-02
  1.801522e-01    1.876051e+00   6.931366e-02
  1.823626e-01    1.936022e+00   7.017837e-02
  1.845731e-01    1.910560e+00   6.948958e-02
  1.867836e-01    1.996264e+00   7.079130e-02
  1.889940e-01    2.000333e+00   7.063188e-02
  1.912045e-01    2.019526e+00   7.073292e-02
  1.934149e-01    2.019838e+00   7.050164e-02
  1.956254e-01    1.957835e+00   6.918217e-02
  1.978358e-01    2.025224e+00   7.012160e-02
  2.000463e-01    2.043580e+00   7.020525e-02
  2.022568e-01    1.910628e+00   6.766035e-02
  2.044672e-01    1.928442e+00   6.774212e-02
  2.066777e-01    1.979770e+00   6.840993e-02
  2.088881e-01    2.067946e+00   6.968803e-02
  2.110986e-01    2.013055e+00   6.852111e-02
  2.133090e-01    2.032562e+00   6.862850e-02
  2.155195e-01    2.006390e+00   6.795904e-02
  2.177300e-01    2.016204e+00   6.758985e-02
  2.199404e-01    1.898554e+00   6.385998e-02
  2.221509e-01    1.936325e+00   6.343306e-02
  2.243613e-01    2.045141e+00   6.436464e-02
  2.265718e-01    2.097085e+00   6.445853e-02
  2.287822e-01    2.050159e+00   6.310242e-02
  2.309927e-01    2.134792e+00   6.380515e-02
  2.332031e-01    2.114356e+00   6.295553e-02
  2.354136e-01    2.119113e+00   6.251549e-02
  2.376241e-01    2.128143e+00   6.216229e-02
  2.398345e-01    2.152205e+00   6.205006e-02
  2.420450e-01    2.140191e+00   6.143443e-02
  2.442554e-01    2.203469e+00   6.190655e-02
  2.464659e-01    2.213112e+00   6.162535e-02
  2.486763e-01    2.155004e+00   6.041120e-02
  2.508868e-01    2.131974e+00   5.970851e-02
  2.530973e-01    2.125062e+00   5.924203e-02
  2.553077e-01    2.116620e+00   5.876564e-02
  2.575182e-01    2.104273e+00   5.824728e-02
  2.597286e-01    2.152015e+00   5.856194e-02
  2.619391e-01    2.109975e+00   5.765328e-02
  2.641495e-01    2.065202e+00   5.672260e-02
  2.663600e-01    2.049564e+00   5.619669e-02
  2.685704e-01    2.093966e+00   5.649425e-02
  2.707809e-01    2.054165e+00   5.565777e-02
  2.729914e-01    2.062558e+00   5.548070e-02
  2.752018e-01    2.023700e+00   5.466958e-02
  2.774123e-01    2.005828e+00   5.414960e-02
  2.796227e-01    2.063553e+00   5.465159e-02
  2.818332e-01    1.946121e+00   5.280901e-02
  2.840436e-01    1.948592e+00   5.258635e-02
  2.862541e-01    1.949349e+00   5.234374e-02
  2.884646e-01    1.913690e+00   5.161663e-02
  2.906750e-01    1.936845e+00   5.168178e-02
  2.928855e-01    1.894706e+00   5.087960e-02
  2.950959e-01    1.991707e+00   5.192613e-02
  2.973064e-01    2.044460e+00   5.237287e-02
  2.995168e-01    1.987932e+00   5.140985e-02
  3.017273e-01    1.920350e+00   5.030569e-02
  3.039377e-01    1.902033e+00   4.984592e-02
  3.061482e-01    1.929240e+00   4.998403e-02
  3.083587e-01    1.897294e+00   4.935390e-02
  3.105691e-01    1.876480e+00   4.887279e-02
  3.127796e-01    1.866729e+00   4.854070e-02
  3.149900e-01    1.890876e+00   4.865009e-02
  3.172005e-01    1.909799e+00   4.869299e-02
  3.194109e-01    1.897623e+00   4.833715e-02
  3.216214e-01    1.846664e+00   4.748916e-02
  3.238319e-01    1.851561e+00   4.736366e-02
  3.260423e-01    1.821177e+00   4.678635e-02
  3.282528e-01    1.874078e+00   4.727203e-02
  3.304632e-01    1.914856e+00   4.759847e-02
  3.326737e-01    1.879632e+00   4.697466e-02
  3.348841e-01    1.888216e+00   4.689921e-02
  3.370946e-01    1.854580e+00   4.630474e-02
  3.393050e-01    1.823001e+00   4.573492e-02
  3.415155e-01    1.852277e+00   4.592733e-02
  3.437260e-01    1.888714e+00   4.620498e-02
  3.459364e-01    1.910848e+00   4.630302e-02
  3.481469e-01    1.850412e+00   4.539859e-02
  3.503573e-01    1.849157e+00   4.521787e-02
  3.525678e-01    1.814385e+00   4.463107e-02
  3.547782e-01    1.902506e+00   4.553686e-02
  3.569887e-01    1.863088e+00   4.490300e-02
  3.591992e-01    1.846735e+00   4.454730e-02
  3.614096e-01    1.807228e+00   4.391544e-02
  3.636201e-01    1.815706e+00   4.386364e-02
  3.658305e-01    1.789597e+00   4.339859e-02
  3.680410e-01    1.814947e+00   4.355455e-02
  3.702514e-01    1.776593e+00   4.294698e-02
  3.724619e-01    1.789385e+00   4.295455e-02
  3.746724e-01    1.770198e+00   4.258108e-02
  3.768828e-01    1.794479e+00   4.272786e-02
  3.790933e-01    1.822996e+00   4.292568e-02
  3.813037e-01    1.776581e+00   4.223707e-02
  3.835142e-01    1.787223e+00   4.222423e-02
  3.857246e-01    1.856897e+00   4.290011e-02
  3.879351e-01    1.828346e+00   4.243127e-02
  3.901455e-01    1.794158e+00   4.189885e-02
  3.923560e-01    1.822359e+00   4.209266e-02
  3.945665e-01    1.818558e+00   4.191539e-02
  3.967769e-01    1.801261e+00   4.158495e-02
  3.989874e-01    1.773146e+00   4.113030e-02
  4.011978e-01    1.784420e+00   4.113394e-02
  4.034083e-01    1.848888e+00   4.174187e-02
  4.056187e-01    1.835313e+00   4.146023e-02
  4.078292e-01    1.797375e+00   4.090532e-02
  4.100397e-01    1.768901e+00   4.045612e-02
  4.122501e-01    1.759277e+00   4.022519e-02
  4.144606e-01    1.817659e+00   4.076595e-02
  4.166710e-01    1.776229e+00   4.017887e-02
  4.188815e-01    1.800717e+00   4.033535e-02
  4.210919e-01    1.804411e+00   4.025840e-02
  4.233024e-01    1.776413e+00   3.982735e-02
  4.255128e-01    1.824365e+00   4.024463e-02
  4.277233e-01    1.854420e+00   4.045821e-02
  4.299338e-01    1.829387e+00   4.006859e-02
  4.321442e-01    1.821662e+00   3.986948e-02
