# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166642",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "VfhNfPjDXjzy1HxUTd9qMA==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000161.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.467499e+00   6.555048e-01
  3.315685e-03    9.684352e-01   3.237284e-01
  5.526141e-03    1.125749e+00   2.698938e-01
  7.736597e-03    1.370928e+00   2.516098e-01
  9.947054e-03    1.587295e+00   2.386741e-01
  1.215751e-02    1.555725e+00   2.136658e-01
  1.436797e-02    1.390676e+00   1.858184e-01
  1.657842e-02    1.446007e+00   1.763720e-01
  1.878888e-02    1.481774e+00   1.677083e-01
  2.099934e-02    1.475801e+00   1.583492e-01
  2.320979e-02    1.362209e+00   1.446954e-01
  2.542025e-02    1.191854e+00   1.293365e-01
  2.763070e-02    1.343647e+00   1.317143e-01
  2.984116e-02    1.604132e+00   1.384830e-01
  3.205162e-02    1.620108e+00   1.342945e-01
  3.426207e-02    1.394251e+00   1.204884e-01
  3.647253e-02    1.246546e+00   1.104190e-01
  3.868299e-02    1.179752e+00   1.043136e-01
  4.089344e-02    1.380913e+00   1.097650e-01
  4.310390e-02    1.386534e+00   1.071246e-01
  4.531436e-02    1.452605e+00   1.069398e-01
  4.752481e-02    1.517791e+00   1.067395e-01
  4.973527e-02    1.444977e+00   1.018081e-01
  5.194572e-02    1.353391e+00   9.640832e-02
  5.415618e-02    1.410664e+00   9.639411e-02
  5.636664e-02    1.385602e+00   9.364495e-02
  5.857709e-02    1.533753e+00   9.664785e-02
  6.078755e-02    1.424702e+00   9.143645e-02
  6.299801e-02    1.455747e+00   9.079028e-02
  6.520846e-02    1.485997e+00   9.016121e-02
  6.741892e-02    1.482413e+00   8.855937e-02
  6.962938e-02    1.571899e+00   8.973846e-02
  7.183983e-02    1.517674e+00   8.680832e-02
  7.405029e-02    1.433614e+00   8.309929e-02
  7.626074e-02    1.445691e+00   8.222957e-02
  7.847120e-02    1.441601e+00   8.094621e-02
  8.068166e-02    1.497523e+00   8.136263e-02
  8.289211e-02    1.401121e+00   7.764339e-02
  8.510257e-02    1.443554e+00   7.777965e-02
