# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166608",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "owPs/YB/P90QcGq7Tedh7w==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000164.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.176988e+00   5.870473e-01
  3.315685e-03    1.601840e+00   4.163465e-01
  5.526141e-03    1.239698e+00   2.832240e-01
  7.736597e-03    1.182518e+00   2.336814e-01
  9.947054e-03    1.389970e+00   2.233465e-01
  1.215751e-02    1.240296e+00   1.907793e-01
  1.436797e-02    1.172858e+00   1.706469e-01
  1.657842e-02    1.443501e+00   1.762191e-01
  1.878888e-02    1.401024e+00   1.630746e-01
  2.099934e-02    1.381302e+00   1.531956e-01
  2.320979e-02    1.375622e+00   1.454060e-01
  2.542025e-02    1.474714e+00   1.438677e-01
  2.763070e-02    1.646307e+00   1.457960e-01
  2.984116e-02    1.606161e+00   1.385706e-01
  3.205162e-02    1.602434e+00   1.335599e-01
  3.426207e-02    1.609241e+00   1.294450e-01
  3.647253e-02    1.467772e+00   1.198171e-01
  3.868299e-02    1.301909e+00   1.095812e-01
  4.089344e-02    1.303263e+00   1.066342e-01
  4.310390e-02    1.264875e+00   1.023170e-01
  4.531436e-02    1.547864e+00   1.103906e-01
  4.752481e-02    1.417256e+00   1.031438e-01
  4.973527e-02    1.407271e+00   1.004710e-01
  5.194572e-02    1.503287e+00   1.016071e-01
  5.415618e-02    1.631731e+00   1.036724e-01
  5.636664e-02    1.521770e+00   9.813859e-02
  5.857709e-02    1.394067e+00   9.214173e-02
  6.078755e-02    1.372133e+00   8.973367e-02
  6.299801e-02    1.562384e+00   9.405681e-02
  6.520846e-02    1.510314e+00   9.089594e-02
  6.741892e-02    1.435409e+00   8.714402e-02
  6.962938e-02    1.636502e+00   9.156395e-02
  7.183983e-02    1.646796e+00   9.042574e-02
  7.405029e-02    1.396076e+00   8.200416e-02
  7.626074e-02    1.349358e+00   7.944269e-02
  7.847120e-02    1.494428e+00   8.241599e-02
  8.068166e-02    1.562349e+00   8.310504e-02
  8.289211e-02    1.383669e+00   7.715834e-02
  8.510257e-02    1.461169e+00   7.825273e-02
  8.731303e-02    1.530134e+00   7.905503e-02
  8.952348e-02    1.438594e+00   7.570361e-02
  9.173394e-02    1.453219e+00   7.516219e-02
