# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166642",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "0wWv+/XM8+RNe1YbAV4ciw==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000166.dat
#        q_A^-1              I           sigma 
  1.105228e-03    7.432259e-01   4.664954e-01
  3.315685e-03    1.195408e+00   3.596693e-01
  5.526141e-03    1.397613e+00   3.007223e-01
  7.736597e-03    1.701344e+00   2.802956e-01
  9.947054e-03    1.417712e+00   2.255644e-01
  1.215751e-02    1.392134e+00   2.021199e-01
  1.436797e-02    1.546296e+00   1.959396e-01
  1.657842e-02    1.263051e+00   1.648371e-01
  1.878888e-02    1.337226e+00   1.593184e-01
  2.099934e-02    1.408555e+00   1.546995e-01
  2.320979e-02    1.602326e+00   1.569308e-01
  2.542025e-02    1.536519e+00   1.468515e-01
  2.763070e-02    1.394934e+00   1.342045e-01
  2.984116e-02    1.376340e+00   1.282742e-01
  3.205162e-02    1.355355e+00   1.228323e-01
  3.426207e-02    1.279667e+00   1.154312e-01
  3.647253e-02    1.301374e+00   1.128212e-01
  3.868299e-02    1.423783e+00   1.145955e-01
  4.089344e-02    1.459020e+00   1.128266e-01
  4.310390e-02    1.516145e+00   1.120197e-01
  4.531436e-02    1.520886e+00   1.094244e-01
  4.752481e-02    1.527535e+00   1.070815e-01
  4.973527e-02    1.432568e+00   1.013700e-01
  5.194572e-02    1.254805e+00   9.283058e-02
  5.415618e-02    1.292556e+00   9.227059e-02
  5.636664e-02    1.545063e+00   9.888681e-02
  5.857709e-02    1.436426e+00   9.353115e-02
  6.078755e-02    1.479717e+00   9.318513e-02
  6.299801e-02    1.487701e+00   9.178131e-02
  6.520846e-02    1.451611e+00   8.911194e-02
  6.741892e-02    1.402400e+00   8.613623e-02
  6.962938e-02    1.394838e+00   8.453338e-02
  7.183983e-02    1.450813e+00   8.487461e-02
  7.405029e-02    1.407588e+00   8.234154e-02
  7.626074e-02    1.436335e+00   8.196306e-02
  7.847120e-02    1.524948e+00   8.325330e-02
  8.068166e-02    1.443470e+00   7.988075e-02
  8.289211e-02    1.424255e+00   7.828179e-02
  8.510257e-02    1.433889e+00   7.751881e-02
  8.731303e-02    1.554822e+00   7.969024e-02
  8.952348e-02    1.472864e+00   7.660002e-02
  9.173394e-02    1.509349e+00   7.660001e-02
  9.394439e-02    1.489327e+00   7.518727e-02
  9.615485e-02    1.499632e+00   7.457310e-02
  9.836531e-02    1.503354e+00   7.381982e-02
  1.005758e-01    1.463084e+00   7.202014e-02
  1.027862e-01    1.486511e+00   7.180787e-02
  1.049967e-01    1.455211e+00   7.029475e-02
  1.072071e-01    1.453932e+00   6.953489e-02
  1.094176e-01    1.414495e+00   6.788799e-02
  1.116280e-01    1.518672e+00   6.964207e-02
  1.138385e-01    1.451105e+00   6.740976e-02
  1.160490e-01    1.420493e+00   6.605590e-02
  1.182594e-01    1.580506e+00   6.902132e-02
  1.204699e-01    1.621224e+00   6.925994e-02
  1.226803e-01    1.581962e+00   6.779420e-02
  1.248908e-01    1.589011e+00   6.734029e-02
  1.271012e-01    1.602784e+00   6.703950e-02
  1.293117e-01    1.657153e+00   6.758108e-02
  1.315222e-01    1.601770e+00   6.587995e-02
  1.337326e-01    1.567994e+00   6.463948e-02
  1.359431e-01    1.601211e+00   6.535880e-02
  1.381535e-01    1.669687e+00   6.763759e-02
  1.403640e-01    1.571752e+00   6.590734e-02
  1.425744e-01    1.528932e+00   6.510720e-02
  1.447849e-01    1.549549e+00   6.555977e-02
  1.469953e-01    1.570165e+00   6.595314e-02
  1.492058e-01    1.579810e+00   6.607852e-02
  1.514163e-01    1.560282e+00   6.555982e-02
  1.536267e-01    1.509643e+00   6.436125e-02
  1.558372e-01    1.577199e+00   6.564032e-02
  1.580476e-01    1.628002e+00   6.652731e-02
  1.602581e-01    1.602077e+00   6.582783e-02
  1.624685e-01    1.578194e+00   6.515647e-02
  1.646790e-01    1.595273e+00   6.531996e-02
  1.668895e-01    1.653957e+00   6.631847e-02
  1.690999e-01    1.788440e+00   6.875485e-02
  1.713104e-01    1.795487e+00   6.867641e-02
  1.735208e-01    1.869495e+00   6.985956e-02
  1.757313e-01    1.896289e+00   7.013793e-02
  1.779417e-01    1.805310e+00   6.821153e-02
