# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166618",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "M7qt9hMsqp1jBMzPBrNhlQ==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000167.dat
#        q_A^-1              I           sigma 
  1.105228e-03    2.287084e+00   8.183293e-01
  3.315685e-03    1.762551e+00   4.367333e-01
  5.526141e-03    1.737663e+00   3.353165e-01
  7.736597e-03    1.314708e+00   2.463967e-01
  9.947054e-03    1.236615e+00   2.106657e-01
  1.215751e-02    1.596479e+00   2.164463e-01
  1.436797e-02    1.521628e+00   1.943704e-01
  1.657842e-02    1.407959e+00   1.740361e-01
  1.878888e-02    1.339571e+00   1.594580e-01
  2.099934e-02    1.351877e+00   1.515552e-01
  2.320979e-02    1.249766e+00   1.385949e-01
  2.542025e-02    1.520951e+00   1.461057e-01
  2.763070e-02    1.352102e+00   1.321281e-01
  2.984116e-02    1.243178e+00   1.219111e-01
  3.205162e-02    1.259381e+00   1.184035e-01
  3.426207e-02    1.401394e+00   1.207967e-01
  3.647253e-02    1.430954e+00   1.183049e-01
  3.868299e-02    1.444771e+00   1.154370e-01
  4.089344e-02    1.469193e+00   1.132192e-01
  4.310390e-02    1.377185e+00   1.067628e-01
  4.531436e-02    1.406102e+00   1.052141e-01
  4.752481e-02    1.496884e+00   1.060018e-01
  4.973527e-02    1.443855e+00   1.017686e-01
  5.194572e-02    1.405546e+00   9.824838e-02
  5.415618e-02    1.407632e+00   9.629048e-02
  5.636664e-02    1.461412e+00   9.617265e-02
  5.857709e-02    1.513168e+00   9.599711e-02
  6.078755e-02    1.584274e+00   9.642120e-02
  6.299801e-02    1.536255e+00   9.326701e-02
  6.520846e-02    1.474029e+00   8.979741e-02
  6.741892e-02    1.589713e+00   9.170843e-02
  6.962938e-02    1.548191e+00   8.905917e-02
  7.183983e-02    1.513478e+00   8.668824e-02
  7.405029e-02    1.432669e+00   8.307192e-02
  7.626074e-02    1.390948e+00   8.065769e-02
  7.847120e-02    1.429529e+00   8.060658e-02
  8.068166e-02    1.425410e+00   7.937948e-02
  8.289211e-02    1.458248e+00   7.921043e-02
  8.510257e-02    1.404574e+00   7.672233e-02
