# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166594",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "xJRi7AH8P/tkzug3ombjzQ==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000169.dat
#        q_A^-1              I           sigma 
  1.105228e-03    7.201000e-01   4.591804e-01
  3.315685e-03    1.527429e+00   4.065612e-01
  5.526141e-03    1.708790e+00   3.325190e-01
  7.736597e-03    1.485348e+00   2.618993e-01
  9.947054e-03    1.314413e+00   2.171914e-01
  1.215751e-02    1.294088e+00   1.948725e-01
  1.436797e-02    1.398718e+00   1.863549e-01
  1.657842e-02    1.286331e+00   1.663492e-01
  1.878888e-02    1.475261e+00   1.673393e-01
  2.099934e-02    1.424641e+00   1.555804e-01
  2.320979e-02    1.388251e+00   1.460720e-01
  2.542025e-02    1.415002e+00   1.409249e-01
  2.763070e-02    1.425572e+00   1.356703e-01
  2.984116e-02    1.516010e+00   1.346256e-01
  3.205162e-02    1.596783e+00   1.333243e-01
  3.426207e-02    1.419219e+00   1.215625e-01
  3.647253e-02    1.248229e+00   1.104935e-01
  3.868299e-02    1.336712e+00   1.110362e-01
  4.089344e-02    1.486022e+00   1.138658e-01
  4.310390e-02    1.504057e+00   1.115722e-01
  4.531436e-02    1.377593e+00   1.041421e-01
  4.752481e-02    1.334768e+00   1.000972e-01
  4.973527e-02    1.516267e+00   1.042893e-01
  5.194572e-02    1.635497e+00   1.059809e-01
  5.415618e-02    1.596746e+00   1.025550e-01
  5.636664e-02    1.482589e+00   9.686695e-02
  5.857709e-02    1.406685e+00   9.255782e-02
  6.078755e-02    1.355740e+00   8.919603e-02
  6.299801e-02    1.409791e+00   8.934574e-02
  6.520846e-02    1.436486e+00   8.864646e-02
  6.741892e-02    1.326527e+00   8.377372e-02
  6.962938e-02    1.397192e+00   8.460468e-02
  7.183983e-02    1.424238e+00   8.409369e-02
  7.405029e-02    1.403082e+00   8.220964e-02
  7.626074e-02    1.530748e+00   8.461399e-02
  7.847120e-02    1.544058e+00   8.377334e-02
  8.068166e-02    1.453544e+00   8.015902e-02
  8.289211e-02    1.442860e+00   7.879139e-02
  8.510257e-02    1.521416e+00   7.984971e-02
