# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166590",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "6aGAsQ2KRD3qdmzGFGbQ2w==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000170.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.349126e+00   6.285115e-01
  3.315685e-03    1.528766e+00   4.067391e-01
  5.526141e-03    1.622958e+00   3.240602e-01
  7.736597e-03    1.709687e+00   2.809820e-01
  9.947054e-03    1.583333e+00   2.383761e-01
  1.215751e-02    1.316381e+00   1.965438e-01
  1.436797e-02    1.412631e+00   1.872794e-01
  1.657842e-02    1.530159e+00   1.814315e-01
  1.878888e-02    1.512255e+00   1.694244e-01
  2.099934e-02    1.374274e+00   1.528054e-01
  2.320979e-02    1.528896e+00   1.532928e-01
  2.542025e-02    1.338703e+00   1.370729e-01
  2.763070e-02    1.418309e+00   1.353243e-01
  2.984116e-02    1.293632e+00   1.243603e-01
  3.205162e-02    1.463188e+00   1.276251e-01
  3.426207e-02    1.472745e+00   1.238336e-01
  3.647253e-02    1.456969e+00   1.193754e-01
  3.868299e-02    1.488612e+00   1.171754e-01
  4.089344e-02    1.338149e+00   1.080520e-01
  4.310390e-02    1.445549e+00   1.093806e-01
  4.531436e-02    1.440163e+00   1.064809e-01
  4.752481e-02    1.463478e+00   1.048123e-01
  4.973527e-02    1.452212e+00   1.020626e-01
  5.194572e-02    1.447523e+00   9.970473e-02
  5.415618e-02    1.409326e+00   9.634838e-02
  5.636664e-02    1.378503e+00   9.340478e-02
  5.857709e-02    1.432473e+00   9.340234e-02
  6.078755e-02    1.351091e+00   8.904295e-02
  6.299801e-02    1.405350e+00   8.920491e-02
  6.520846e-02    1.411086e+00   8.785926e-02
  6.741892e-02    1.377229e+00   8.535971e-02
  6.962938e-02    1.391336e+00   8.442718e-02
  7.183983e-02    1.416293e+00   8.385878e-02
  7.405029e-02    1.387951e+00   8.176516e-02
  7.626074e-02    1.393978e+00   8.074551e-02
  7.847120e-02    1.396710e+00   7.967591e-02
  8.068166e-02    1.534469e+00   8.236019e-02
  8.289211e-02    1.459244e+00   7.923750e-02
  8.510257e-02    1.430390e+00   7.742418e-02
