# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166604",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "d1CGuAvnPXKhAMkHHBEaLQ==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000171.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.263870e+00   6.083285e-01
  3.315685e-03    1.414716e+00   3.912731e-01
  5.526141e-03    1.859169e+00   3.468419e-01
  7.736597e-03    1.487571e+00   2.620952e-01
  9.947054e-03    1.566577e+00   2.371114e-01
  1.215751e-02    1.396551e+00   2.024403e-01
  1.436797e-02    1.357883e+00   1.836145e-01
  1.657842e-02    1.232878e+00   1.628563e-01
  1.878888e-02    1.262474e+00   1.548013e-01
  2.099934e-02    1.303992e+00   1.488468e-01
  2.320979e-02    1.247486e+00   1.384684e-01
  2.542025e-02    1.431119e+00   1.417253e-01
  2.763070e-02    1.277524e+00   1.284325e-01
  2.984116e-02    1.279220e+00   1.236656e-01
  3.205162e-02    1.504288e+00   1.294052e-01
  3.426207e-02    1.585045e+00   1.284682e-01
  3.647253e-02    1.437309e+00   1.185673e-01
  3.868299e-02    1.271631e+00   1.082994e-01
  4.089344e-02    1.276225e+00   1.055223e-01
  4.310390e-02    1.219998e+00   1.004855e-01
  4.531436e-02    1.277381e+00   1.002827e-01
  4.752481e-02    1.504428e+00   1.062685e-01
  4.973527e-02    1.496095e+00   1.035932e-01
  5.194572e-02    1.451637e+00   9.984630e-02
  5.415618e-02    1.529518e+00   1.003728e-01
  5.636664e-02    1.508813e+00   9.771988e-02
  5.857709e-02    1.403320e+00   9.244701e-02
  6.078755e-02    1.358284e+00   8.927968e-02
  6.299801e-02    1.459694e+00   9.091326e-02
  6.520846e-02    1.533452e+00   9.158953e-02
  6.741892e-02    1.418308e+00   8.662339e-02
  6.962938e-02    1.571091e+00   8.971537e-02
  7.183983e-02    1.604772e+00   8.926450e-02
  7.405029e-02    1.508105e+00   8.523086e-02
  7.626074e-02    1.665159e+00   8.825071e-02
  7.847120e-02    1.534464e+00   8.351268e-02
  8.068166e-02    1.493474e+00   8.125256e-02
  8.289211e-02    1.490608e+00   8.008450e-02
  8.510257e-02    1.434112e+00   7.752484e-02
  8.731303e-02    1.536744e+00   7.922558e-02
  8.952348e-02    1.516250e+00   7.772004e-02
  9.173394e-02    1.508851e+00   7.658733e-02
  9.394439e-02    1.450360e+00   7.419716e-02
  9.615485e-02    1.542479e+00   7.563090e-02
  9.836531e-02    1.567312e+00   7.537375e-02
  1.005758e-01    1.413806e+00   7.079691e-02
  1.027862e-01    1.505455e+00   7.226395e-02
  1.049967e-01    1.490293e+00   7.113706e-02
  1.072071e-01    1.476307e+00   7.006790e-02
  1.094176e-01    1.416106e+00   6.792668e-02
