# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166610",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "k7pQ/vgJUA9ol3IAkRl9pg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000172.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.543814e+00   6.723331e-01
  3.315685e-03    1.668208e+00   4.248841e-01
  5.526141e-03    2.081181e+00   3.669671e-01
  7.736597e-03    1.564015e+00   2.687452e-01
  9.947054e-03    1.549337e+00   2.358031e-01
  1.215751e-02    1.607479e+00   2.171907e-01
  1.436797e-02    1.181273e+00   1.712580e-01
  1.657842e-02    1.220146e+00   1.620132e-01
  1.878888e-02    1.440632e+00   1.653637e-01
  2.099934e-02    1.271067e+00   1.469556e-01
  2.320979e-02    1.498810e+00   1.517770e-01
  2.542025e-02    1.553424e+00   1.476572e-01
  2.763070e-02    1.264586e+00   1.277805e-01
  2.984116e-02    1.438576e+00   1.311423e-01
  3.205162e-02    1.573722e+00   1.323580e-01
  3.426207e-02    1.448190e+00   1.227970e-01
  3.647253e-02    1.411084e+00   1.174806e-01
  3.868299e-02    1.386444e+00   1.130828e-01
  4.089344e-02    1.250541e+00   1.044551e-01
  4.310390e-02    1.320598e+00   1.045464e-01
  4.531436e-02    1.500085e+00   1.086735e-01
  4.752481e-02    1.438383e+00   1.039097e-01
  4.973527e-02    1.386996e+00   9.974458e-02
  5.194572e-02    1.456185e+00   1.000026e-01
  5.415618e-02    1.418855e+00   9.667358e-02
  5.636664e-02    1.314356e+00   9.120564e-02
  5.857709e-02    1.347043e+00   9.057436e-02
  6.078755e-02    1.354143e+00   8.914348e-02
  6.299801e-02    1.408349e+00   8.930001e-02
  6.520846e-02    1.420640e+00   8.815619e-02
  6.741892e-02    1.443817e+00   8.739889e-02
  6.962938e-02    1.440190e+00   8.589664e-02
  7.183983e-02    1.505469e+00   8.645856e-02
  7.405029e-02    1.410085e+00   8.241455e-02
  7.626074e-02    1.454600e+00   8.248257e-02
  7.847120e-02    1.459404e+00   8.144449e-02
  8.068166e-02    1.451607e+00   8.010560e-02
  8.289211e-02    1.494187e+00   8.018056e-02
  8.510257e-02    1.457349e+00   7.815039e-02
