# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166616",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "gWN+WTan2DZxCChY40pBsw==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000173.dat
#        q_A^-1              I           sigma 
  1.105228e-03    2.000045e+00   7.652561e-01
  3.315685e-03    1.520414e+00   4.056265e-01
  5.526141e-03    1.400181e+00   3.009984e-01
  7.736597e-03    1.463024e+00   2.599238e-01
  9.947054e-03    1.457577e+00   2.287138e-01
  1.215751e-02    1.338031e+00   1.981535e-01
  1.436797e-02    1.282421e+00   1.784396e-01
  1.657842e-02    1.339718e+00   1.697661e-01
  1.878888e-02    1.419503e+00   1.641465e-01
  2.099934e-02    1.322938e+00   1.499242e-01
  2.320979e-02    1.453462e+00   1.494633e-01
  2.542025e-02    1.529219e+00   1.465023e-01
  2.763070e-02    1.482221e+00   1.383397e-01
  2.984116e-02    1.227444e+00   1.211371e-01
  3.205162e-02    1.353310e+00   1.227397e-01
  3.426207e-02    1.408999e+00   1.211240e-01
  3.647253e-02    1.452968e+00   1.192114e-01
  3.868299e-02    1.330153e+00   1.107635e-01
  4.089344e-02    1.325332e+00   1.075333e-01
  4.310390e-02    1.408047e+00   1.079525e-01
  4.531436e-02    1.440125e+00   1.064795e-01
  4.752481e-02    1.468469e+00   1.049908e-01
  4.973527e-02    1.579052e+00   1.064265e-01
  5.194572e-02    1.411049e+00   9.844054e-02
  5.415618e-02    1.501332e+00   9.944365e-02
  5.636664e-02    1.488497e+00   9.705979e-02
  5.857709e-02    1.430612e+00   9.334164e-02
  6.078755e-02    1.588558e+00   9.655147e-02
  6.299801e-02    1.579106e+00   9.455886e-02
  6.520846e-02    1.512545e+00   9.096300e-02
  6.741892e-02    1.506807e+00   8.928503e-02
  6.962938e-02    1.417568e+00   8.521936e-02
  7.183983e-02    1.384162e+00   8.290211e-02
  7.405029e-02    1.377951e+00   8.147007e-02
  7.626074e-02    1.494350e+00   8.360197e-02
  7.847120e-02    1.477064e+00   8.193579e-02
  8.068166e-02    1.448584e+00   8.002213e-02
  8.289211e-02    1.432498e+00   7.850796e-02
  8.510257e-02    1.394227e+00   7.643919e-02
