# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166594",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "qLzomEW5P4HGIvc6I1ItLQ==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000180.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.052113e+00   5.550323e-01
  3.315685e-03    1.797702e+00   4.410667e-01
  5.526141e-03    1.512974e+00   3.128872e-01
  7.736597e-03    1.520733e+00   2.650005e-01
  9.947054e-03    1.420766e+00   2.258072e-01
  1.215751e-02    1.061083e+00   1.764588e-01
  1.436797e-02    1.404058e+00   1.867103e-01
  1.657842e-02    1.350731e+00   1.704625e-01
  1.878888e-02    1.282870e+00   1.560468e-01
  2.099934e-02    1.324397e+00   1.500069e-01
  2.320979e-02    1.148165e+00   1.328419e-01
  2.542025e-02    1.278617e+00   1.339614e-01
  2.763070e-02    1.357494e+00   1.323912e-01
  2.984116e-02    1.482950e+00   1.331496e-01
  3.205162e-02    1.535317e+00   1.307330e-01
  3.426207e-02    1.550631e+00   1.270659e-01
  3.647253e-02    1.462734e+00   1.196114e-01
  3.868299e-02    1.570000e+00   1.203360e-01
  4.089344e-02    1.492698e+00   1.141213e-01
  4.310390e-02    1.422401e+00   1.085013e-01
  4.531436e-02    1.389224e+00   1.045808e-01
  4.752481e-02    1.379299e+00   1.017532e-01
  4.973527e-02    1.291641e+00   9.625487e-02
  5.194572e-02    1.331451e+00   9.562369e-02
  5.415618e-02    1.407210e+00   9.627602e-02
  5.636664e-02    1.407090e+00   9.436829e-02
  5.857709e-02    1.391069e+00   9.204259e-02
  6.078755e-02    1.292410e+00   8.708784e-02
  6.299801e-02    1.362361e+00   8.782991e-02
  6.520846e-02    1.321011e+00   8.500881e-02
  6.741892e-02    1.272448e+00   8.204834e-02
  6.962938e-02    1.448350e+00   8.613963e-02
  7.183983e-02    1.475916e+00   8.560576e-02
  7.405029e-02    1.448130e+00   8.351895e-02
  7.626074e-02    1.532469e+00   8.466155e-02
  7.847120e-02    1.565272e+00   8.434686e-02
  8.068166e-02    1.466576e+00   8.051757e-02
  8.289211e-02    1.429831e+00   7.843484e-02
  8.510257e-02    1.403006e+00   7.667947e-02
  8.731303e-02    1.385674e+00   7.523073e-02
  8.952348e-02    1.334736e+00   7.291978e-02
  9.173394e-02    1.392789e+00   7.358283e-02
  9.394439e-02    1.486766e+00   7.512261e-02
  9.615485e-02    1.499735e+00   7.457562e-02
  9.836531e-02    1.513500e+00   7.406851e-02
  1.005758e-01    1.494052e+00   7.277836e-02
  1.027862e-01    1.538329e+00   7.304868e-02
  1.049967e-01    1.526851e+00   7.200428e-02
  1.072071e-01    1.524400e+00   7.120005e-02
  1.094176e-01    1.552312e+00   7.111837e-02
  1.116280e-01    1.495294e+00   6.910399e-02
  1.138385e-01    1.421915e+00   6.672829e-02
  1.160490e-01    1.504071e+00   6.797139e-02
  1.182594e-01    1.514520e+00   6.756516e-02
  1.204699e-01    1.498010e+00   6.657605e-02
  1.226803e-01    1.512513e+00   6.628939e-02
  1.248908e-01    1.481944e+00   6.503206e-02
  1.271012e-01    1.516353e+00   6.520689e-02
  1.293117e-01    1.527823e+00   6.489038e-02
  1.315222e-01    1.555873e+00   6.492925e-02
  1.337326e-01    1.633725e+00   6.598043e-02
  1.359431e-01    1.596991e+00   6.527261e-02
  1.381535e-01    1.535499e+00   6.486276e-02
  1.403640e-01    1.543838e+00   6.531945e-02
  1.425744e-01    1.629653e+00   6.721753e-02
  1.447849e-01    1.542368e+00   6.540772e-02
  1.469953e-01    1.534738e+00   6.520486e-02
  1.492058e-01    1.584093e+00   6.616803e-02
  1.514163e-01    1.512995e+00   6.455871e-02
  1.536267e-01    1.551758e+00   6.525284e-02
  1.558372e-01    1.576414e+00   6.562398e-02
  1.580476e-01    1.574166e+00   6.541806e-02
  1.602581e-01    1.554368e+00   6.484028e-02
  1.624685e-01    1.574580e+00   6.508180e-02
  1.646790e-01    1.659522e+00   6.662234e-02
  1.668895e-01    1.691727e+00   6.707143e-02
  1.690999e-01    1.747943e+00   6.797198e-02
  1.713104e-01    1.646561e+00   6.576661e-02
  1.735208e-01    1.671055e+00   6.604792e-02
  1.757313e-01    1.726435e+00   6.692301e-02
  1.779417e-01    1.894591e+00   6.987788e-02
  1.801522e-01    1.755646e+00   6.705251e-02
  1.823626e-01    1.800667e+00   6.768072e-02
  1.845731e-01    1.794190e+00   6.734006e-02
  1.867836e-01    1.836173e+00   6.789342e-02
  1.889940e-01    1.980420e+00   7.027942e-02
  1.912045e-01    1.943115e+00   6.938189e-02
  1.934149e-01    1.949246e+00   6.925868e-02
  1.956254e-01    1.945571e+00   6.896516e-02
  1.978358e-01    1.903372e+00   6.797937e-02
  2.000463e-01    2.035804e+00   7.007152e-02
  2.022568e-01    2.088681e+00   7.074277e-02
  2.044672e-01    2.057074e+00   6.996495e-02
  2.066777e-01    2.056815e+00   6.972834e-02
  2.088881e-01    1.921260e+00   6.717099e-02
  2.110986e-01    1.967333e+00   6.773848e-02
  2.133090e-01    1.947506e+00   6.717721e-02
  2.155195e-01    1.966537e+00   6.728072e-02
  2.177300e-01    1.925692e+00   6.605531e-02
  2.199404e-01    1.966901e+00   6.499925e-02
  2.221509e-01    1.933411e+00   6.338533e-02
  2.243613e-01    1.945259e+00   6.277323e-02
  2.265718e-01    2.038077e+00   6.354517e-02
  2.287822e-01    2.085982e+00   6.365135e-02
  2.309927e-01    2.117589e+00   6.354753e-02
  2.332031e-01    2.071521e+00   6.231458e-02
  2.354136e-01    2.060922e+00   6.165117e-02
  2.376241e-01    2.127904e+00   6.215880e-02
  2.398345e-01    2.047472e+00   6.052148e-02
  2.420450e-01    2.073857e+00   6.047486e-02
  2.442554e-01    2.084074e+00   6.020600e-02
  2.464659e-01    2.037828e+00   5.913458e-02
  2.486763e-01    2.065914e+00   5.914930e-02
  2.508868e-01    2.062445e+00   5.872679e-02
  2.530973e-01    2.121167e+00   5.918774e-02
  2.553077e-01    2.069385e+00   5.810620e-02
  2.575182e-01    2.097217e+00   5.814956e-02
  2.597286e-01    2.024016e+00   5.679364e-02
  2.619391e-01    2.060184e+00   5.696896e-02
  2.641495e-01    2.008338e+00   5.593624e-02
  2.663600e-01    1.959653e+00   5.495025e-02
  2.685704e-01    2.002957e+00   5.525291e-02
  2.707809e-01    2.031371e+00   5.534810e-02
  2.729914e-01    2.019415e+00   5.489739e-02
  2.752018e-01    1.984909e+00   5.414307e-02
  2.774123e-01    1.987670e+00   5.390395e-02
  2.796227e-01    1.985341e+00   5.360589e-02
  2.818332e-01    1.942282e+00   5.275688e-02
  2.840436e-01    1.898310e+00   5.190346e-02
  2.862541e-01    1.928682e+00   5.206552e-02
  2.884646e-01    1.960632e+00   5.224587e-02
  2.906750e-01    1.955750e+00   5.193338e-02
  2.928855e-01    2.001586e+00   5.229497e-02
  2.950959e-01    1.998091e+00   5.200930e-02
  2.973064e-01    1.884252e+00   5.027898e-02
  2.995168e-01    1.959058e+00   5.103512e-02
  3.017273e-01    1.953323e+00   5.073570e-02
  3.039377e-01    1.905808e+00   4.989540e-02
  3.061482e-01    1.865795e+00   4.915524e-02
  3.083587e-01    1.908007e+00   4.949303e-02
  3.105691e-01    1.870409e+00   4.879366e-02
  3.127796e-01    1.848195e+00   4.829914e-02
  3.149900e-01    1.891150e+00   4.865360e-02
  3.172005e-01    1.914160e+00   4.874856e-02
  3.194109e-01    1.806376e+00   4.716071e-02
  3.216214e-01    1.833575e+00   4.732053e-02
  3.238319e-01    1.851551e+00   4.736354e-02
  3.260423e-01    1.886892e+00   4.762296e-02
  3.282528e-01    1.868027e+00   4.719568e-02
  3.304632e-01    1.853818e+00   4.683371e-02
  3.326737e-01    1.771258e+00   4.560032e-02
  3.348841e-01    1.850902e+00   4.643349e-02
  3.370946e-01    1.806406e+00   4.569939e-02
  3.393050e-01    1.823664e+00   4.574323e-02
  3.415155e-01    1.813191e+00   4.544019e-02
  3.437260e-01    1.801660e+00   4.512758e-02
  3.459364e-01    1.844544e+00   4.549259e-02
  3.481469e-01    1.777967e+00   4.450103e-02
  3.503573e-01    1.740307e+00   4.386679e-02
  3.525678e-01    1.795663e+00   4.440020e-02
  3.547782e-01    1.800133e+00   4.429476e-02
  3.569887e-01    1.796250e+00   4.409019e-02
  3.591992e-01    1.796003e+00   4.393116e-02
  3.614096e-01    1.772803e+00   4.349516e-02
  3.636201e-01    1.814724e+00   4.385176e-02
  3.658305e-01    1.830713e+00   4.389430e-02
  3.680410e-01    1.807149e+00   4.346088e-02
  3.702514e-01    1.790687e+00   4.311701e-02
  3.724619e-01    1.696407e+00   4.182368e-02
  3.746724e-01    1.778494e+00   4.268074e-02
  3.768828e-01    1.731773e+00   4.197469e-02
  3.790933e-01    1.797095e+00   4.261965e-02
  3.813037e-01    1.789928e+00   4.239543e-02
  3.835142e-01    1.739728e+00   4.165941e-02
  3.857246e-01    1.747391e+00   4.161594e-02
  3.879351e-01    1.752140e+00   4.153757e-02
  3.901455e-01    1.757034e+00   4.146313e-02
  3.923560e-01    1.727129e+00   4.097809e-02
  3.945665e-01    1.764564e+00   4.128845e-02
  3.967769e-01    1.739153e+00   4.086173e-02
  3.989874e-01    1.756931e+00   4.094179e-02
  4.011978e-01    1.774648e+00   4.102117e-02
  4.034083e-01    1.780085e+00   4.095783e-02
  4.056187e-01    1.852690e+00   4.165604e-02
  4.078292e-01    1.796033e+00   4.089005e-02
  4.100397e-01    1.774984e+00   4.052561e-02
  4.122501e-01    1.781176e+00   4.047478e-02
  4.144606e-01    1.797108e+00   4.053484e-02
  4.166710e-01    1.783212e+00   4.025776e-02
  4.188815e-01    1.791817e+00   4.023556e-02
  4.210919e-01    1.783988e+00   4.002991e-02
  4.233024e-01    1.788454e+00   3.996209e-02
  4.255128e-01    1.730825e+00   3.919936e-02
  4.277233e-01    1.697493e+00   3.870850e-02
  4.299338e-01    1.813533e+00   3.989455e-02
  4.321442e-01    1.814193e+00   3.978767e-02
  4.343547e-01    1.798297e+00   3.950095e-02
  4.365651e-01    1.763668e+00   3.900764e-02
  4.387756e-01    1.710301e+00   3.830538e-02
  4.409860e-01    1.686131e+00   3.792837e-02
  4.431965e-01    1.705555e+00   3.804073e-02
  4.454070e-01    1.713761e+00   3.802605e-02
  4.476174e-01    1.708914e+00   3.786797e-02
  4.498279e-01    1.734358e+00   3.804503e-02
  4.520383e-01    1.748111e+00   3.809078e-02
  4.542488e-01    1.691321e+00   3.736593e-02
  4.564592e-01    1.673709e+00   3.707114e-02
  4.586697e-01    1.719102e+00   3.747075e-02
  4.608801e-01    1.693341e+00   3.708936e-02
  4.630906e-01    1.684207e+00   3.689123e-02
  4.653011e-01    1.707256e+00   3.704512e-02
  4.675115e-01    1.730589e+00   3.719919e-02
  4.697220e-01    1.690500e+00   3.666957e-02
  4.719324e-01    1.663211e+00   3.627829e-02
  4.741429e-01    1.649564e+00   3.603605e-02
  4.763533e-01    1.718873e+00   3.669102e-02
  4.785638e-01    1.660883e+00   3.597362e-02
  4.807743e-01    1.692578e+00   3.622288e-02
  4.829847e-01    1.717861e+00   3.640022e-02
  4.851952e-01    1.673136e+00   3.583239e-02
  4.874056e-01    1.604450e+00   3.500068e-02
  4.896161e-01    1.671181e+00   3.563253e-02
  4.918265e-01    1.667273e+00   3.550247e-02
  4.940370e-01    1.674451e+00   3.549097e-02
  4.962475e-01    1.651234e+00   3.515703e-02
  4.984579e-01    1.655694e+00   3.511770e-02
  5.006684e-01    1.705748e+00   3.555767e-02
  5.028788e-01    1.685881e+00   3.526434e-02
  5.050893e-01    1.655489e+00   3.486006e-02
  5.072997e-01    1.629939e+00   3.450645e-02
  5.095102e-01    1.688141e+00   3.503301e-02
  5.117206e-01    1.657415e+00   3.463021e-02
  5.139311e-01    1.679439e+00   3.477701e-02
  5.161416e-01    1.642022e+00   3.430619e-02
  5.183520e-01    1.635876e+00   3.416052e-02
  5.205625e-01    1.666448e+00   3.439749e-02
  5.227729e-01    1.662851e+00   3.428020e-02
  5.249834e-01    1.651208e+00   3.408070e-02
  5.271938e-01    1.669053e+00   3.418439e-02
  5.294043e-01    1.718630e+00   3.460832e-02
  5.316148e-01    1.707804e+00   3.442014e-02
  5.338252e-01    1.731759e+00   3.458149e-02
  5.360357e-01    1.738060e+00   3.456547e-02
  5.382461e-01    1.751902e+00   3.462439e-02
  5.404566e-01    1.715843e+00   3.418824e-02
  5.426670e-01    1.684122e+00   3.379441e-02
  5.448775e-01    1.726133e+00   3.413688e-02
  5.470879e-01    1.721910e+00   3.401908e-02
  5.492984e-01    1.725057e+00   3.397441e-02
  5.515089e-01    1.746819e+00   3.411224e-02
  5.537193e-01    1.748619e+00   3.405460e-02
  5.559298e-01    1.763051e+00   3.411984e-02
  5.581402e-01    1.795019e+00   3.435257e-02
  5.603507e-01    1.771535e+00   3.405285e-02
  5.625611e-01    1.779426e+00   3.405453e-02
  5.647716e-01    1.757764e+00   3.377314e-02
  5.669821e-01    1.766768e+00   3.378651e-02
  5.691925e-01    1.751146e+00   3.356463e-02
  5.714030e-01    1.699093e+00   3.299151e-02
  5.736134e-01    1.705357e+00   3.298197e-02
  5.758239e-01    1.699586e+00   3.285584e-02
  5.780343e-01    1.683098e+00   3.262692e-02
  5.802448e-01    1.673031e+00   3.246110e-02
  5.824552e-01    1.641373e+00   3.208505e-02
  5.846657e-01    1.618049e+00   3.178986e-02
  5.868762e-01    1.611997e+00   3.166429e-02
  5.890866e-01    1.655896e+00   3.202597e-02
  5.912971e-01    1.629755e+00   3.170638e-02
  5.935075e-01    1.620446e+00   3.155037e-02
