# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166590",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "9phVZlOWXpIgAhWVX5Phsg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000184.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.395857e+00   6.393041e-01
  3.315685e-03    1.367240e+00   3.846518e-01
  5.526141e-03    1.489543e+00   3.104550e-01
  7.736597e-03    1.413611e+00   2.554966e-01
  9.947054e-03    1.468032e+00   2.295326e-01
  1.215751e-02    1.297500e+00   1.951292e-01
  1.436797e-02    1.473462e+00   1.912693e-01
  1.657842e-02    1.648539e+00   1.883190e-01
  1.878888e-02    1.533310e+00   1.705998e-01
  2.099934e-02    1.259242e+00   1.462705e-01
  2.320979e-02    1.312513e+00   1.420315e-01
  2.542025e-02    1.371038e+00   1.387184e-01
  2.763070e-02    1.658272e+00   1.463249e-01
  2.984116e-02    1.594366e+00   1.380609e-01
  3.205162e-02    1.287706e+00   1.197277e-01
  3.426207e-02    1.383060e+00   1.200039e-01
  3.647253e-02    1.480241e+00   1.203250e-01
  3.868299e-02    1.543257e+00   1.193067e-01
  4.089344e-02    1.386808e+00   1.099990e-01
  4.310390e-02    1.445333e+00   1.093724e-01
  4.531436e-02    1.445291e+00   1.066703e-01
  4.752481e-02    1.385499e+00   1.019817e-01
  4.973527e-02    1.361784e+00   9.883389e-02
  5.194572e-02    1.504873e+00   1.016606e-01
  5.415618e-02    1.492035e+00   9.913528e-02
  5.636664e-02    1.328487e+00   9.169462e-02
  5.857709e-02    1.320556e+00   8.967943e-02
  6.078755e-02    1.426457e+00   9.149276e-02
  6.299801e-02    1.436817e+00   9.019804e-02
  6.520846e-02    1.457400e+00   8.928946e-02
  6.741892e-02    1.450042e+00   8.758710e-02
  6.962938e-02    1.496406e+00   8.755704e-02
  7.183983e-02    1.485860e+00   8.589365e-02
  7.405029e-02    1.450208e+00   8.357885e-02
  7.626074e-02    1.486286e+00   8.337609e-02
  7.847120e-02    1.443543e+00   8.100072e-02
  8.068166e-02    1.423154e+00   7.931659e-02
  8.289211e-02    1.514798e+00   8.073170e-02
  8.510257e-02    1.477852e+00   7.869821e-02
  8.731303e-02    1.442804e+00   7.676592e-02
  8.952348e-02    1.452919e+00   7.607962e-02
  9.173394e-02    1.551104e+00   7.765228e-02
  9.394439e-02    1.567748e+00   7.714139e-02
  9.615485e-02    1.472117e+00   7.388578e-02
  9.836531e-02    1.466516e+00   7.290979e-02
  1.005758e-01    1.510272e+00   7.317235e-02
  1.027862e-01    1.511801e+00   7.241613e-02
  1.049967e-01    1.425021e+00   6.956177e-02
  1.072071e-01    1.542807e+00   7.162861e-02
  1.094176e-01    1.507632e+00   7.008743e-02
  1.116280e-01    1.453723e+00   6.813660e-02
  1.138385e-01    1.527794e+00   6.916808e-02
  1.160490e-01    1.531214e+00   6.858198e-02
  1.182594e-01    1.481333e+00   6.682082e-02
  1.204699e-01    1.521107e+00   6.708733e-02
  1.226803e-01    1.459899e+00   6.512622e-02
  1.248908e-01    1.425890e+00   6.379028e-02
  1.271012e-01    1.589338e+00   6.675769e-02
  1.293117e-01    1.668316e+00   6.780830e-02
  1.315222e-01    1.652617e+00   6.691744e-02
  1.337326e-01    1.563335e+00   6.454338e-02
  1.359431e-01    1.520656e+00   6.369353e-02
  1.381535e-01    1.582661e+00   6.585131e-02
  1.403640e-01    1.557282e+00   6.560326e-02
  1.425744e-01    1.571140e+00   6.599975e-02
  1.447849e-01    1.582541e+00   6.625406e-02
  1.469953e-01    1.517142e+00   6.482998e-02
  1.492058e-01    1.473716e+00   6.382119e-02
  1.514163e-01    1.465661e+00   6.354085e-02
  1.536267e-01    1.506481e+00   6.429381e-02
  1.558372e-01    1.590580e+00   6.591817e-02
  1.580476e-01    1.645547e+00   6.688481e-02
  1.602581e-01    1.698969e+00   6.778923e-02
  1.624685e-01    1.655837e+00   6.673998e-02
