# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166590",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "CulTReuGjhnLC+7QH8wDew==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000186.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.635420e+00   6.919928e-01
  3.315685e-03    1.216482e+00   3.628259e-01
  5.526141e-03    1.133919e+00   2.708714e-01
  7.736597e-03    1.319632e+00   2.468577e-01
  9.947054e-03    1.639871e+00   2.425948e-01
  1.215751e-02    1.583553e+00   2.155683e-01
  1.436797e-02    1.443558e+00   1.893184e-01
  1.657842e-02    1.365400e+00   1.713856e-01
  1.878888e-02    1.463346e+00   1.666622e-01
  2.099934e-02    1.340214e+00   1.509000e-01
  2.320979e-02    1.395708e+00   1.464638e-01
  2.542025e-02    1.297924e+00   1.349690e-01
  2.763070e-02    1.485943e+00   1.385133e-01
  2.984116e-02    1.503095e+00   1.340509e-01
  3.205162e-02    1.393733e+00   1.245593e-01
  3.426207e-02    1.447259e+00   1.227575e-01
  3.647253e-02    1.364292e+00   1.155163e-01
  3.868299e-02    1.327107e+00   1.106365e-01
  4.089344e-02    1.253592e+00   1.045824e-01
  4.310390e-02    1.385686e+00   1.070918e-01
  4.531436e-02    1.501066e+00   1.087090e-01
  4.752481e-02    1.520098e+00   1.068205e-01
  4.973527e-02    1.440581e+00   1.016531e-01
  5.194572e-02    1.553424e+00   1.032875e-01
  5.415618e-02    1.589682e+00   1.023278e-01
  5.636664e-02    1.487950e+00   9.704194e-02
  5.857709e-02    1.343934e+00   9.046978e-02
  6.078755e-02    1.427646e+00   9.153088e-02
  6.299801e-02    1.433631e+00   9.009800e-02
  6.520846e-02    1.511102e+00   9.091963e-02
  6.741892e-02    1.473548e+00   8.829416e-02
  6.962938e-02    1.482324e+00   8.714409e-02
  7.183983e-02    1.384580e+00   8.291464e-02
  7.405029e-02    1.337177e+00   8.025566e-02
  7.626074e-02    1.423403e+00   8.159325e-02
  7.847120e-02    1.568182e+00   8.442520e-02
  8.068166e-02    1.560268e+00   8.304967e-02
  8.289211e-02    1.496528e+00   8.024336e-02
  8.510257e-02    1.443896e+00   7.778886e-02
  8.731303e-02    1.347226e+00   7.417969e-02
  8.952348e-02    1.461834e+00   7.631266e-02
  9.173394e-02    1.480155e+00   7.585554e-02
  9.394439e-02    1.602413e+00   7.798956e-02
  9.615485e-02    1.443247e+00   7.315772e-02
  9.836531e-02    1.453876e+00   7.259490e-02
  1.005758e-01    1.511115e+00   7.319277e-02
  1.027862e-01    1.519924e+00   7.261040e-02
  1.049967e-01    1.470867e+00   7.067189e-02
  1.072071e-01    1.482777e+00   7.022126e-02
  1.094176e-01    1.554672e+00   7.117243e-02
  1.116280e-01    1.562201e+00   7.063309e-02
  1.138385e-01    1.536681e+00   6.936896e-02
  1.160490e-01    1.528260e+00   6.851579e-02
  1.182594e-01    1.509237e+00   6.744722e-02
  1.204699e-01    1.547950e+00   6.767668e-02
  1.226803e-01    1.529942e+00   6.667021e-02
  1.248908e-01    1.613920e+00   6.786604e-02
  1.271012e-01    1.593365e+00   6.684224e-02
  1.293117e-01    1.548654e+00   6.533125e-02
  1.315222e-01    1.615348e+00   6.615859e-02
  1.337326e-01    1.569011e+00   6.466044e-02
  1.359431e-01    1.573345e+00   6.478758e-02
  1.381535e-01    1.595546e+00   6.611885e-02
  1.403640e-01    1.545565e+00   6.535598e-02
  1.425744e-01    1.527834e+00   6.508382e-02
  1.447849e-01    1.444417e+00   6.329672e-02
  1.469953e-01    1.496507e+00   6.438758e-02
  1.492058e-01    1.624650e+00   6.700970e-02
  1.514163e-01    1.675138e+00   6.792997e-02
  1.536267e-01    1.667619e+00   6.764501e-02
  1.558372e-01    1.655959e+00   6.725929e-02
  1.580476e-01    1.582988e+00   6.560113e-02
  1.602581e-01    1.539706e+00   6.453374e-02
  1.624685e-01    1.693013e+00   6.748502e-02
  1.646790e-01    1.643870e+00   6.630743e-02
  1.668895e-01    1.734042e+00   6.790505e-02
  1.690999e-01    1.742584e+00   6.786770e-02
  1.713104e-01    1.776819e+00   6.831845e-02
  1.735208e-01    1.740610e+00   6.740848e-02
  1.757313e-01    1.790416e+00   6.815183e-02
  1.779417e-01    1.832879e+00   6.873039e-02
  1.801522e-01    1.921672e+00   7.015136e-02
  1.823626e-01    1.858268e+00   6.875472e-02
  1.845731e-01    1.908346e+00   6.944925e-02
  1.867836e-01    1.969986e+00   7.032385e-02
  1.889940e-01    1.902121e+00   6.887612e-02
  1.912045e-01    1.893030e+00   6.848186e-02
  1.934149e-01    1.923666e+00   6.880274e-02
  1.956254e-01    1.948629e+00   6.901934e-02
  1.978358e-01    2.008265e+00   6.982739e-02
  2.000463e-01    2.018568e+00   6.977428e-02
  2.022568e-01    2.032918e+00   6.979205e-02
  2.044672e-01    1.926727e+00   6.771202e-02
  2.066777e-01    2.031294e+00   6.929438e-02
  2.088881e-01    2.022183e+00   6.891263e-02
  2.110986e-01    2.009387e+00   6.845866e-02
  2.133090e-01    1.938426e+00   6.702044e-02
  2.155195e-01    1.944457e+00   6.690194e-02
  2.177300e-01    1.901989e+00   6.564751e-02
  2.199404e-01    1.955748e+00   6.481472e-02
  2.221509e-01    1.908068e+00   6.296854e-02
  2.243613e-01    1.963489e+00   6.306669e-02
  2.265718e-01    2.016875e+00   6.321377e-02
  2.287822e-01    2.026922e+00   6.274383e-02
  2.309927e-01    2.019231e+00   6.205415e-02
  2.332031e-01    2.095490e+00   6.267405e-02
  2.354136e-01    2.019850e+00   6.103377e-02
  2.376241e-01    2.156587e+00   6.257632e-02
  2.398345e-01    2.125932e+00   6.167017e-02
  2.420450e-01    2.151010e+00   6.158951e-02
  2.442554e-01    2.101817e+00   6.046175e-02
  2.464659e-01    2.049165e+00   5.929882e-02
