# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166590",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "Mejb+98onV1YFugu6s4afg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000187.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.634976e+00   6.918989e-01
  3.315685e-03    1.585203e+00   4.141788e-01
  5.526141e-03    1.751902e+00   3.366875e-01
  7.736597e-03    1.587992e+00   2.707973e-01
  9.947054e-03    1.492068e+00   2.314040e-01
  1.215751e-02    1.384302e+00   2.015506e-01
  1.436797e-02    1.316168e+00   1.807721e-01
  1.657842e-02    1.309339e+00   1.678303e-01
  1.878888e-02    1.328597e+00   1.588035e-01
  2.099934e-02    1.296766e+00   1.484338e-01
  2.320979e-02    1.218338e+00   1.368412e-01
  2.542025e-02    1.251057e+00   1.325098e-01
  2.763070e-02    1.440992e+00   1.364021e-01
  2.984116e-02    1.535448e+00   1.354859e-01
  3.205162e-02    1.541932e+00   1.310143e-01
  3.426207e-02    1.502995e+00   1.250990e-01
  3.647253e-02    1.398814e+00   1.169687e-01
  3.868299e-02    1.622468e+00   1.223302e-01
  4.089344e-02    1.600557e+00   1.181725e-01
  4.310390e-02    1.429853e+00   1.087852e-01
  4.531436e-02    1.397773e+00   1.049021e-01
  4.752481e-02    1.318803e+00   9.949679e-02
  4.973527e-02    1.334626e+00   9.784339e-02
  5.194572e-02    1.441521e+00   9.949778e-02
  5.415618e-02    1.387232e+00   9.559020e-02
  5.636664e-02    1.406163e+00   9.433722e-02
  5.857709e-02    1.356266e+00   9.088390e-02
  6.078755e-02    1.378417e+00   8.993893e-02
  6.299801e-02    1.447129e+00   9.052114e-02
  6.520846e-02    1.406479e+00   8.771572e-02
  6.741892e-02    1.427590e+00   8.690635e-02
  6.962938e-02    1.502660e+00   8.773981e-02
  7.183983e-02    1.442126e+00   8.462014e-02
  7.405029e-02    1.440248e+00   8.329134e-02
  7.626074e-02    1.499866e+00   8.375616e-02
  7.847120e-02    1.405412e+00   7.992373e-02
  8.068166e-02    1.394373e+00   7.851052e-02
  8.289211e-02    1.478510e+00   7.975885e-02
  8.510257e-02    1.476906e+00   7.867301e-02
  8.731303e-02    1.539005e+00   7.928384e-02
  8.952348e-02    1.629408e+00   8.056796e-02
  9.173394e-02    1.562931e+00   7.794780e-02
  9.394439e-02    1.389837e+00   7.263252e-02
  9.615485e-02    1.429142e+00   7.279934e-02
  9.836531e-02    1.450908e+00   7.252076e-02
  1.005758e-01    1.474458e+00   7.229955e-02
  1.027862e-01    1.467238e+00   7.134084e-02
  1.049967e-01    1.438358e+00   6.988654e-02
  1.072071e-01    1.456622e+00   6.959918e-02
  1.094176e-01    1.477479e+00   6.938300e-02
  1.116280e-01    1.541301e+00   7.015900e-02
  1.138385e-01    1.523184e+00   6.906364e-02
  1.160490e-01    1.627245e+00   7.069984e-02
  1.182594e-01    1.617131e+00   6.981647e-02
  1.204699e-01    1.554942e+00   6.782937e-02
  1.226803e-01    1.574454e+00   6.763310e-02
  1.248908e-01    1.660247e+00   6.883318e-02
  1.271012e-01    1.634293e+00   6.769526e-02
  1.293117e-01    1.687623e+00   6.819954e-02
  1.315222e-01    1.714062e+00   6.815008e-02
  1.337326e-01    1.695955e+00   6.722531e-02
  1.359431e-01    1.573118e+00   6.478292e-02
  1.381535e-01    1.543721e+00   6.503617e-02
  1.403640e-01    1.559365e+00   6.564710e-02
  1.425744e-01    1.563799e+00   6.584539e-02
  1.447849e-01    1.565938e+00   6.590560e-02
  1.469953e-01    1.560171e+00   6.574291e-02
  1.492058e-01    1.595199e+00   6.639956e-02
  1.514163e-01    1.642428e+00   6.726348e-02
  1.536267e-01    1.667751e+00   6.764768e-02
  1.558372e-01    1.759845e+00   6.933693e-02
  1.580476e-01    1.763178e+00   6.923416e-02
  1.602581e-01    1.694467e+00   6.769938e-02
