# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166622",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "m4FkPOaLi/BlDjzFaedq2A==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000190.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.236065e+00   6.015996e-01
  3.315685e-03    1.211722e+00   3.621154e-01
  5.526141e-03    1.627069e+00   3.244704e-01
  7.736597e-03    1.762850e+00   2.853172e-01
  9.947054e-03    1.275421e+00   2.139456e-01
  1.215751e-02    1.372388e+00   2.006814e-01
  1.436797e-02    1.271585e+00   1.776841e-01
  1.657842e-02    1.471209e+00   1.779023e-01
  1.878888e-02    1.585157e+00   1.734601e-01
  2.099934e-02    1.366508e+00   1.523730e-01
  2.320979e-02    1.380924e+00   1.456860e-01
  2.542025e-02    1.272719e+00   1.336521e-01
  2.763070e-02    1.333077e+00   1.311952e-01
  2.984116e-02    1.590899e+00   1.379106e-01
  3.205162e-02    1.606774e+00   1.337407e-01
  3.426207e-02    1.458413e+00   1.232296e-01
  3.647253e-02    1.505042e+00   1.213288e-01
  3.868299e-02    1.513066e+00   1.181339e-01
  4.089344e-02    1.419110e+00   1.112727e-01
  4.310390e-02    1.437820e+00   1.090878e-01
  4.531436e-02    1.554599e+00   1.106305e-01
  4.752481e-02    1.493583e+00   1.058848e-01
  4.973527e-02    1.428034e+00   1.012094e-01
  5.194572e-02    1.491895e+00   1.012213e-01
  5.415618e-02    1.507379e+00   9.964374e-02
  5.636664e-02    1.527468e+00   9.832213e-02
  5.857709e-02    1.466822e+00   9.451555e-02
  6.078755e-02    1.445802e+00   9.211104e-02
  6.299801e-02    1.466746e+00   9.113265e-02
  6.520846e-02    1.403237e+00   8.761456e-02
  6.741892e-02    1.391904e+00   8.581328e-02
  6.962938e-02    1.453297e+00   8.628662e-02
  7.183983e-02    1.440341e+00   8.456776e-02
  7.405029e-02    1.453216e+00   8.366548e-02
  7.626074e-02    1.435178e+00   8.193005e-02
  7.847120e-02    1.455995e+00   8.134932e-02
  8.068166e-02    1.432843e+00   7.958619e-02
  8.289211e-02    1.462662e+00   7.933020e-02
  8.510257e-02    1.503280e+00   7.937237e-02
