# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166632",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "aKRKDmYnp3hdUj2e85Sbxw==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000191.dat
#        q_A^-1              I           sigma 
  1.105228e-03    7.389644e-01   4.651561e-01
  3.315685e-03    1.303187e+00   3.755336e-01
  5.526141e-03    1.300768e+00   2.901163e-01
  7.736597e-03    1.449751e+00   2.587420e-01
  9.947054e-03    1.416117e+00   2.254375e-01
  1.215751e-02    1.561013e+00   2.140287e-01
  1.436797e-02    1.564589e+00   1.970952e-01
  1.657842e-02    1.350031e+00   1.704184e-01
  1.878888e-02    1.295343e+00   1.568036e-01
  2.099934e-02    1.340158e+00   1.508968e-01
  2.320979e-02    1.326692e+00   1.427966e-01
  2.542025e-02    1.374234e+00   1.388800e-01
  2.763070e-02    1.458873e+00   1.372458e-01
  2.984116e-02    1.371841e+00   1.280644e-01
  3.205162e-02    1.432846e+00   1.262950e-01
  3.426207e-02    1.388086e+00   1.202217e-01
  3.647253e-02    1.443369e+00   1.188170e-01
  3.868299e-02    1.482989e+00   1.169539e-01
  4.089344e-02    1.513727e+00   1.149223e-01
  4.310390e-02    1.507646e+00   1.117052e-01
  4.531436e-02    1.551930e+00   1.105355e-01
  4.752481e-02    1.510954e+00   1.064988e-01
  4.973527e-02    1.403969e+00   1.003530e-01
  5.194572e-02    1.462261e+00   1.002110e-01
  5.415618e-02    1.439233e+00   9.736535e-02
  5.636664e-02    1.361252e+00   9.281848e-02
  5.857709e-02    1.408101e+00   9.260435e-02
  6.078755e-02    1.468107e+00   9.281886e-02
  6.299801e-02    1.488737e+00   9.181327e-02
  6.520846e-02    1.542301e+00   9.185339e-02
  6.741892e-02    1.504085e+00   8.920437e-02
  6.962938e-02    1.396303e+00   8.457777e-02
  7.183983e-02    1.556627e+00   8.791526e-02
  7.405029e-02    1.642641e+00   8.895136e-02
  7.626074e-02    1.485505e+00   8.335420e-02
  7.847120e-02    1.385375e+00   7.935196e-02
  8.068166e-02    1.464143e+00   8.045076e-02
  8.289211e-02    1.505455e+00   8.048234e-02
  8.510257e-02    1.545658e+00   8.048336e-02
  8.731303e-02    1.482900e+00   7.782527e-02
  8.952348e-02    1.516984e+00   7.773884e-02
  9.173394e-02    1.470900e+00   7.561806e-02
  9.394439e-02    1.492535e+00   7.526819e-02
  9.615485e-02    1.554919e+00   7.593528e-02
  9.836531e-02    1.508556e+00   7.394742e-02
  1.005758e-01    1.608917e+00   7.552421e-02
  1.027862e-01    1.586783e+00   7.419022e-02
  1.049967e-01    1.512578e+00   7.166695e-02
  1.072071e-01    1.478509e+00   7.012013e-02
  1.094176e-01    1.498395e+00   6.987238e-02
  1.116280e-01    1.483685e+00   6.883520e-02
  1.138385e-01    1.445039e+00   6.726870e-02
  1.160490e-01    1.565066e+00   6.933592e-02
  1.182594e-01    1.572344e+00   6.884290e-02
  1.204699e-01    1.580832e+00   6.839171e-02
  1.226803e-01    1.657392e+00   6.939162e-02
  1.248908e-01    1.565099e+00   6.683170e-02
  1.271012e-01    1.459596e+00   6.397489e-02
  1.293117e-01    1.543273e+00   6.521765e-02
  1.315222e-01    1.638498e+00   6.663097e-02
  1.337326e-01    1.554307e+00   6.435674e-02
  1.359431e-01    1.591073e+00   6.515156e-02
  1.381535e-01    1.588931e+00   6.598163e-02
  1.403640e-01    1.673042e+00   6.799784e-02
  1.425744e-01    1.555721e+00   6.567512e-02
  1.447849e-01    1.532013e+00   6.518775e-02
  1.469953e-01    1.551480e+00   6.555954e-02
  1.492058e-01    1.546111e+00   6.536998e-02
  1.514163e-01    1.542661e+00   6.518856e-02
  1.536267e-01    1.604391e+00   6.635023e-02
  1.558372e-01    1.639951e+00   6.693342e-02
  1.580476e-01    1.633125e+00   6.663189e-02
  1.602581e-01    1.581095e+00   6.539536e-02
  1.624685e-01    1.715735e+00   6.793638e-02
  1.646790e-01    1.568893e+00   6.477766e-02
  1.668895e-01    1.701298e+00   6.726085e-02
  1.690999e-01    1.752918e+00   6.806866e-02
  1.713104e-01    1.717780e+00   6.717382e-02
  1.735208e-01    1.883446e+00   7.011975e-02
  1.757313e-01    1.811972e+00   6.856085e-02
  1.779417e-01    1.819881e+00   6.848625e-02
  1.801522e-01    1.813022e+00   6.813936e-02
  1.823626e-01    1.900506e+00   6.953169e-02
  1.845731e-01    1.956894e+00   7.032714e-02
  1.867836e-01    1.910995e+00   6.926291e-02
  1.889940e-01    2.009363e+00   7.079110e-02
  1.912045e-01    1.993088e+00   7.026843e-02
  1.934149e-01    1.891816e+00   6.823079e-02
  1.956254e-01    1.950686e+00   6.905573e-02
  1.978358e-01    1.995489e+00   6.960492e-02
  2.000463e-01    1.983613e+00   6.916754e-02
  2.022568e-01    1.931846e+00   6.803497e-02
  2.044672e-01    1.958616e+00   6.827004e-02
  2.066777e-01    1.996340e+00   6.869560e-02
  2.088881e-01    1.993113e+00   6.841549e-02
  2.110986e-01    1.998363e+00   6.827064e-02
  2.133090e-01    2.001238e+00   6.809761e-02
  2.155195e-01    1.990540e+00   6.769007e-02
  2.177300e-01    2.021239e+00   6.767419e-02
  2.199404e-01    2.014241e+00   6.577684e-02
  2.221509e-01    1.981875e+00   6.417485e-02
  2.243613e-01    2.028451e+00   6.410147e-02
  2.265718e-01    2.076780e+00   6.414572e-02
  2.287822e-01    2.103226e+00   6.391391e-02
  2.309927e-01    2.070250e+00   6.283322e-02
  2.332031e-01    2.128739e+00   6.316931e-02
  2.354136e-01    2.114293e+00   6.244434e-02
  2.376241e-01    2.216242e+00   6.343590e-02
  2.398345e-01    2.155102e+00   6.209183e-02
  2.420450e-01    2.134111e+00   6.134709e-02
  2.442554e-01    2.231074e+00   6.229314e-02
  2.464659e-01    2.234099e+00   6.191685e-02
  2.486763e-01    2.157844e+00   6.045102e-02
  2.508868e-01    2.126884e+00   5.963716e-02
  2.530973e-01    2.109650e+00   5.902683e-02
  2.553077e-01    2.123231e+00   5.885732e-02
  2.575182e-01    2.112607e+00   5.836252e-02
  2.597286e-01    2.137705e+00   5.836692e-02
  2.619391e-01    2.075691e+00   5.718296e-02
  2.641495e-01    2.039634e+00   5.637038e-02
  2.663600e-01    2.061945e+00   5.636618e-02
  2.685704e-01    2.062647e+00   5.607016e-02
  2.707809e-01    2.128354e+00   5.665392e-02
  2.729914e-01    2.071718e+00   5.560377e-02
  2.752018e-01    2.061849e+00   5.518246e-02
  2.774123e-01    2.004205e+00   5.412770e-02
  2.796227e-01    2.035932e+00   5.428459e-02
  2.818332e-01    1.995996e+00   5.348140e-02
  2.840436e-01    1.998503e+00   5.325560e-02
  2.862541e-01    1.982779e+00   5.279065e-02
  2.884646e-01    1.990524e+00   5.264265e-02
  2.906750e-01    1.982976e+00   5.229359e-02
  2.928855e-01    1.997978e+00   5.224783e-02
  2.950959e-01    2.021119e+00   5.230812e-02
  2.973064e-01    2.050702e+00   5.245277e-02
  2.995168e-01    1.961094e+00   5.106163e-02
  3.017273e-01    2.015744e+00   5.153998e-02
  3.039377e-01    2.037041e+00   5.158467e-02
  3.061482e-01    1.960190e+00   5.038337e-02
  3.083587e-01    1.911284e+00   4.953551e-02
  3.105691e-01    1.967959e+00   5.004989e-02
  3.127796e-01    1.877252e+00   4.867733e-02
  3.149900e-01    1.871381e+00   4.839864e-02
  3.172005e-01    1.906620e+00   4.865244e-02
  3.194109e-01    1.854508e+00   4.778488e-02
  3.216214e-01    1.896613e+00   4.812710e-02
  3.238319e-01    1.873607e+00   4.764480e-02
  3.260423e-01    1.914774e+00   4.797353e-02
  3.282528e-01    1.940734e+00   4.810539e-02
  3.304632e-01    1.840222e+00   4.666165e-02
  3.326737e-01    1.819806e+00   4.622103e-02
  3.348841e-01    1.876713e+00   4.675614e-02
  3.370946e-01    1.897996e+00   4.684360e-02
  3.393050e-01    1.912033e+00   4.683841e-02
  3.415155e-01    1.888635e+00   4.637590e-02
  3.437260e-01    1.910444e+00   4.647002e-02
  3.459364e-01    1.870743e+00   4.581454e-02
  3.481469e-01    1.841521e+00   4.528939e-02
