# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166620",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "ytmkURxpTMuoOSbE8w2Z6w==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000196.dat
#        q_A^-1              I           sigma 
  1.105228e-03    5.343472e-01   3.955475e-01
  3.315685e-03    1.225172e+00   3.641195e-01
  5.526141e-03    1.252545e+00   2.846878e-01
  7.736597e-03    1.511651e+00   2.642080e-01
  9.947054e-03    1.379003e+00   2.224637e-01
  1.215751e-02    1.388592e+00   2.018627e-01
  1.436797e-02    1.435989e+00   1.888214e-01
  1.657842e-02    1.362708e+00   1.712165e-01
  1.878888e-02    1.435668e+00   1.650785e-01
  2.099934e-02    1.308548e+00   1.491066e-01
  2.320979e-02    1.352233e+00   1.441646e-01
  2.542025e-02    1.454620e+00   1.428842e-01
  2.763070e-02    1.423319e+00   1.355631e-01
  2.984116e-02    1.510501e+00   1.343807e-01
  3.205162e-02    1.399194e+00   1.248031e-01
  3.426207e-02    1.387287e+00   1.201871e-01
  3.647253e-02    1.446606e+00   1.189501e-01
  3.868299e-02    1.414153e+00   1.142073e-01
  4.089344e-02    1.417686e+00   1.112169e-01
  4.310390e-02    1.459695e+00   1.099145e-01
  4.531436e-02    1.457692e+00   1.071270e-01
  4.752481e-02    1.522456e+00   1.069033e-01
  4.973527e-02    1.521634e+00   1.044737e-01
  5.194572e-02    1.453140e+00   9.989796e-02
  5.415618e-02    1.294312e+00   9.233326e-02
  5.636664e-02    1.438752e+00   9.542412e-02
  5.857709e-02    1.414552e+00   9.281625e-02
  6.078755e-02    1.508884e+00   9.409903e-02
  6.299801e-02    1.486652e+00   9.174896e-02
  6.520846e-02    1.575460e+00   9.283556e-02
  6.741892e-02    1.512960e+00   8.946716e-02
  6.962938e-02    1.342961e+00   8.294650e-02
  7.183983e-02    1.372063e+00   8.253896e-02
  7.405029e-02    1.418761e+00   8.266772e-02
  7.626074e-02    1.379736e+00   8.033195e-02
  7.847120e-02    1.428946e+00   8.059014e-02
  8.068166e-02    1.410897e+00   7.897431e-02
  8.289211e-02    1.504614e+00   8.045985e-02
  8.510257e-02    1.534536e+00   8.019326e-02
