# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166618",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "pp99MtOaxfRM7fNFACkuvg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000198.dat
#        q_A^-1              I           sigma 
  1.105228e-03    3.923421e-01   3.389373e-01
  3.315685e-03    8.402001e-01   3.015343e-01
  5.526141e-03    8.844155e-01   2.392215e-01
  7.736597e-03    1.315618e+00   2.464819e-01
  9.947054e-03    1.639340e+00   2.425555e-01
  1.215751e-02    1.479374e+00   2.083567e-01
  1.436797e-02    1.429511e+00   1.883951e-01
  1.657842e-02    1.355251e+00   1.707475e-01
  1.878888e-02    1.177626e+00   1.495089e-01
  2.099934e-02    1.323500e+00   1.499561e-01
  2.320979e-02    1.356361e+00   1.443845e-01
  2.542025e-02    1.374720e+00   1.389046e-01
  2.763070e-02    1.356874e+00   1.323610e-01
  2.984116e-02    1.293194e+00   1.243393e-01
  3.205162e-02    1.224249e+00   1.167404e-01
  3.426207e-02    1.539227e+00   1.265978e-01
  3.647253e-02    1.512450e+00   1.216271e-01
  3.868299e-02    1.410032e+00   1.140408e-01
  4.089344e-02    1.331943e+00   1.078012e-01
  4.310390e-02    1.456298e+00   1.097865e-01
  4.531436e-02    1.595613e+00   1.120804e-01
  4.752481e-02    1.471749e+00   1.051080e-01
  4.973527e-02    1.370129e+00   9.913624e-02
  5.194572e-02    1.472627e+00   1.005656e-01
  5.415618e-02    1.539188e+00   1.006896e-01
  5.636664e-02    1.449857e+00   9.579168e-02
  5.857709e-02    1.411718e+00   9.272324e-02
  6.078755e-02    1.339453e+00   8.865863e-02
  6.299801e-02    1.281442e+00   8.518164e-02
  6.520846e-02    1.391316e+00   8.724157e-02
  6.741892e-02    1.402541e+00   8.614056e-02
  6.962938e-02    1.485554e+00   8.723895e-02
  7.183983e-02    1.520947e+00   8.690187e-02
  7.405029e-02    1.454396e+00   8.369943e-02
  7.626074e-02    1.489902e+00   8.347744e-02
  7.847120e-02    1.466214e+00   8.163429e-02
  8.068166e-02    1.408268e+00   7.890072e-02
  8.289211e-02    1.441604e+00   7.875708e-02
  8.510257e-02    1.485029e+00   7.888906e-02
  8.731303e-02    1.554552e+00   7.968330e-02
  8.952348e-02    1.545596e+00   7.846855e-02
  9.173394e-02    1.596877e+00   7.878973e-02
  9.394439e-02    1.536657e+00   7.637263e-02
  9.615485e-02    1.540489e+00   7.558209e-02
  9.836531e-02    1.543364e+00   7.479569e-02
  1.005758e-01    1.547208e+00   7.406173e-02
  1.027862e-01    1.487760e+00   7.183801e-02
  1.049967e-01    1.510753e+00   7.162370e-02
  1.072071e-01    1.522111e+00   7.114657e-02
  1.094176e-01    1.443152e+00   6.857228e-02
  1.116280e-01    1.510652e+00   6.945793e-02
  1.138385e-01    1.540029e+00   6.944450e-02
  1.160490e-01    1.559578e+00   6.921425e-02
  1.182594e-01    1.691145e+00   7.139631e-02
  1.204699e-01    1.569430e+00   6.814463e-02
  1.226803e-01    1.675009e+00   6.975942e-02
  1.248908e-01    1.600357e+00   6.758028e-02
  1.271012e-01    1.548503e+00   6.589451e-02
  1.293117e-01    1.534327e+00   6.502834e-02
  1.315222e-01    1.610447e+00   6.605816e-02
  1.337326e-01    1.555769e+00   6.438702e-02
  1.359431e-01    1.467568e+00   6.257183e-02
  1.381535e-01    1.645058e+00   6.713686e-02
  1.403640e-01    1.594601e+00   6.638470e-02
  1.425744e-01    1.517709e+00   6.486781e-02
  1.447849e-01    1.541197e+00   6.538288e-02
  1.469953e-01    1.543247e+00   6.538536e-02
  1.492058e-01    1.672913e+00   6.799774e-02
  1.514163e-01    1.676686e+00   6.796136e-02
  1.536267e-01    1.623922e+00   6.675287e-02
  1.558372e-01    1.633070e+00   6.679283e-02
  1.580476e-01    1.641046e+00   6.679329e-02
  1.602581e-01    1.640504e+00   6.661264e-02
  1.624685e-01    1.659338e+00   6.681050e-02
  1.646790e-01    1.716606e+00   6.775849e-02
  1.668895e-01    1.768629e+00   6.857894e-02
  1.690999e-01    1.774189e+00   6.848041e-02
  1.713104e-01    1.779267e+00   6.836549e-02
  1.735208e-01    1.744294e+00   6.747978e-02
  1.757313e-01    1.789244e+00   6.812952e-02
  1.779417e-01    1.775700e+00   6.764982e-02
  1.801522e-01    1.814500e+00   6.816713e-02
  1.823626e-01    1.858567e+00   6.876022e-02
  1.845731e-01    1.954275e+00   7.028004e-02
  1.867836e-01    1.919997e+00   6.942588e-02
  1.889940e-01    1.933799e+00   6.944727e-02
  1.912045e-01    1.957042e+00   6.963009e-02
  1.934149e-01    1.918517e+00   6.871060e-02
  1.956254e-01    1.940357e+00   6.887266e-02
  1.978358e-01    2.006346e+00   6.979404e-02
  2.000463e-01    1.955517e+00   6.867592e-02
  2.022568e-01    1.961248e+00   6.855075e-02
  2.044672e-01    1.955504e+00   6.821577e-02
  2.066777e-01    1.989927e+00   6.858517e-02
  2.088881e-01    1.939057e+00   6.748136e-02
  2.110986e-01    1.950968e+00   6.745618e-02
  2.133090e-01    1.973596e+00   6.762568e-02
  2.155195e-01    1.960204e+00   6.717230e-02
  2.177300e-01    1.953385e+00   6.652855e-02
  2.199404e-01    2.061723e+00   6.654759e-02
  2.221509e-01    2.030417e+00   6.495600e-02
  2.243613e-01    2.053118e+00   6.449006e-02
  2.265718e-01    2.039547e+00   6.356810e-02
  2.287822e-01    2.036381e+00   6.289005e-02
  2.309927e-01    2.082969e+00   6.302591e-02
  2.332031e-01    2.101658e+00   6.276622e-02
  2.354136e-01    2.097218e+00   6.219167e-02
  2.376241e-01    2.235085e+00   6.370500e-02
  2.398345e-01    2.142488e+00   6.190985e-02
  2.420450e-01    2.065810e+00   6.035744e-02
  2.442554e-01    2.129304e+00   6.085582e-02
  2.464659e-01    2.111491e+00   6.019387e-02
  2.486763e-01    2.103700e+00   5.968778e-02
  2.508868e-01    2.095674e+00   5.919800e-02
  2.530973e-01    2.108424e+00   5.900967e-02
  2.553077e-01    2.144834e+00   5.915598e-02
  2.575182e-01    2.120526e+00   5.847181e-02
  2.597286e-01    2.077749e+00   5.754260e-02
  2.619391e-01    2.021489e+00   5.643141e-02
  2.641495e-01    2.053364e+00   5.655980e-02
  2.663600e-01    2.009924e+00   5.565060e-02
  2.685704e-01    2.012224e+00   5.538059e-02
  2.707809e-01    2.006043e+00   5.500197e-02
  2.729914e-01    1.950240e+00   5.394893e-02
  2.752018e-01    2.000747e+00   5.435866e-02
  2.774123e-01    1.966861e+00   5.362104e-02
  2.796227e-01    2.009623e+00   5.393270e-02
  2.818332e-01    1.991300e+00   5.341844e-02
  2.840436e-01    1.986822e+00   5.309970e-02
  2.862541e-01    2.004321e+00   5.307666e-02
  2.884646e-01    1.944421e+00   5.202944e-02
  2.906750e-01    1.996581e+00   5.247268e-02
  2.928855e-01    2.020039e+00   5.253549e-02
  2.950959e-01    1.992679e+00   5.193880e-02
  2.973064e-01    1.960879e+00   5.129116e-02
  2.995168e-01    1.903126e+00   5.030133e-02
  3.017273e-01    1.844448e+00   4.930146e-02
  3.039377e-01    1.955889e+00   5.054670e-02
  3.061482e-01    1.963604e+00   5.042722e-02
  3.083587e-01    1.944391e+00   4.996268e-02
  3.105691e-01    1.949073e+00   4.980916e-02
