# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166622",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "yhXNH2N0ZUZhYzyJbI4h6A==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000200.dat
#        q_A^-1              I           sigma 
  1.105228e-03    8.420088e-01   4.965298e-01
  3.315685e-03    9.459304e-01   3.199448e-01
  5.526141e-03    1.327505e+00   2.930827e-01
  7.736597e-03    1.293462e+00   2.443977e-01
  9.947054e-03    1.467839e+00   2.295175e-01
  1.215751e-02    1.570402e+00   2.146713e-01
  1.436797e-02    1.513636e+00   1.938593e-01
  1.657842e-02    1.267110e+00   1.651017e-01
  1.878888e-02    1.382282e+00   1.619801e-01
  2.099934e-02    1.406608e+00   1.545926e-01
  2.320979e-02    1.356441e+00   1.443887e-01
  2.542025e-02    1.362092e+00   1.382651e-01
  2.763070e-02    1.434930e+00   1.361149e-01
  2.984116e-02    1.396768e+00   1.292226e-01
  3.205162e-02    1.521738e+00   1.301536e-01
  3.426207e-02    1.394742e+00   1.205096e-01
  3.647253e-02    1.595959e+00   1.249397e-01
  3.868299e-02    1.424408e+00   1.146207e-01
  4.089344e-02    1.403393e+00   1.106548e-01
  4.310390e-02    1.490430e+00   1.110656e-01
  4.531436e-02    1.480752e+00   1.079710e-01
  4.752481e-02    1.320504e+00   9.956091e-02
  4.973527e-02    1.352042e+00   9.847975e-02
  5.194572e-02    1.462217e+00   1.002095e-01
  5.415618e-02    1.367453e+00   9.490630e-02
  5.636664e-02    1.349517e+00   9.241752e-02
  5.857709e-02    1.389837e+00   9.200183e-02
  6.078755e-02    1.419989e+00   9.128506e-02
  6.299801e-02    1.533986e+00   9.319811e-02
  6.520846e-02    1.579013e+00   9.294020e-02
  6.741892e-02    1.424460e+00   8.681105e-02
  6.962938e-02    1.484400e+00   8.720510e-02
  7.183983e-02    1.512057e+00   8.664753e-02
  7.405029e-02    1.549842e+00   8.640225e-02
  7.626074e-02    1.463988e+00   8.274831e-02
  7.847120e-02    1.486349e+00   8.219291e-02
  8.068166e-02    1.473866e+00   8.071741e-02
  8.289211e-02    1.424065e+00   7.827652e-02
  8.510257e-02    1.480996e+00   7.878190e-02
