# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166612",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "OmBVA+MzA9VNVGzVS+FH7A==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000002.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.930205e+00   7.517763e-01
  3.315685e-03    2.333132e+00   5.024757e-01
  5.526141e-03    1.379676e+00   2.987863e-01
  7.736597e-03    1.385665e+00   2.529585e-01
  9.947054e-03    1.617612e+00   2.409427e-01
  1.215751e-02    1.240796e+00   1.908178e-01
  1.436797e-02    1.241576e+00   1.755749e-01
  1.657842e-02    1.241267e+00   1.634094e-01
  1.878888e-02    1.341150e+00   1.595520e-01
  2.099934e-02    1.228403e+00   1.444683e-01
  2.320979e-02    1.345469e+00   1.438036e-01
  2.542025e-02    1.197004e+00   1.296156e-01
  2.763070e-02    1.353798e+00   1.322109e-01
  2.984116e-02    1.346226e+00   1.268632e-01
  3.205162e-02    1.418331e+00   1.256536e-01
  3.426207e-02    1.574983e+00   1.280598e-01
  3.647253e-02    1.470492e+00   1.199281e-01
  3.868299e-02    1.349764e+00   1.115770e-01
  4.089344e-02    1.319708e+00   1.073049e-01
  4.310390e-02    1.325278e+00   1.047315e-01
  4.531436e-02    1.310855e+00   1.015882e-01
  4.752481e-02    1.304399e+00   9.895193e-02
  4.973527e-02    1.320835e+00   9.733658e-02
  5.194572e-02    1.421549e+00   9.880611e-02
  5.415618e-02    1.438663e+00   9.734604e-02
  5.636664e-02    1.346597e+00   9.231750e-02
  5.857709e-02    1.318653e+00   8.961481e-02
  6.078755e-02    1.317906e+00   8.794265e-02
  6.299801e-02    1.425195e+00   8.983250e-02
  6.520846e-02    1.393387e+00   8.730651e-02
  6.741892e-02    1.406358e+00   8.625767e-02
  6.962938e-02    1.399055e+00   8.466104e-02
  7.183983e-02    1.411361e+00   8.371267e-02
  7.405029e-02    1.509167e+00   8.526088e-02
  7.626074e-02    1.459337e+00   8.261676e-02
  7.847120e-02    1.321850e+00   7.751133e-02
  8.068166e-02    1.377958e+00   7.804698e-02
  8.289211e-02    1.440397e+00   7.872413e-02
  8.510257e-02    1.321909e+00   7.443036e-02
  8.731303e-02    1.364604e+00   7.465655e-02
  8.952348e-02    1.437162e+00   7.566594e-02
  9.173394e-02    1.473788e+00   7.569224e-02
  9.394439e-02    1.534065e+00   7.630820e-02
  9.615485e-02    1.429546e+00   7.280963e-02
  9.836531e-02    1.396993e+00   7.116058e-02
  1.005758e-01    1.447435e+00   7.163396e-02
  1.027862e-01    1.502082e+00   7.218295e-02
  1.049967e-01    1.530792e+00   7.209716e-02
  1.072071e-01    1.480925e+00   7.017740e-02
  1.094176e-01    1.532495e+00   7.066298e-02
  1.116280e-01    1.504776e+00   6.932274e-02
  1.138385e-01    1.570469e+00   7.012743e-02
  1.160490e-01    1.541407e+00   6.880986e-02
  1.182594e-01    1.624685e+00   6.997935e-02
  1.204699e-01    1.605811e+00   6.892995e-02
  1.226803e-01    1.511704e+00   6.627166e-02
  1.248908e-01    1.510970e+00   6.566584e-02
  1.271012e-01    1.511430e+00   6.510093e-02
  1.293117e-01    1.486434e+00   6.400542e-02
  1.315222e-01    1.504114e+00   6.384009e-02
  1.337326e-01    1.579786e+00   6.488205e-02
  1.359431e-01    1.622243e+00   6.578666e-02
  1.381535e-01    1.551393e+00   6.519758e-02
  1.403640e-01    1.507848e+00   6.455360e-02
  1.425744e-01    1.558836e+00   6.574080e-02
