# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166608",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "NadcRL/I6hCahGFbHkAG9g==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000005.dat
#        q_A^-1              I           sigma 
  1.105228e-03    2.103045e+00   7.847137e-01
  3.315685e-03    1.343277e+00   3.812661e-01
  5.526141e-03    1.149157e+00   2.726853e-01
  7.736597e-03    1.332876e+00   2.480933e-01
  9.947054e-03    1.023241e+00   1.916309e-01
  1.215751e-02    1.341151e+00   1.983843e-01
  1.436797e-02    1.178261e+00   1.710396e-01
  1.657842e-02    1.317220e+00   1.683346e-01
  1.878888e-02    1.467655e+00   1.669074e-01
  2.099934e-02    1.513906e+00   1.603805e-01
  2.320979e-02    1.615202e+00   1.575601e-01
  2.542025e-02    1.476512e+00   1.439554e-01
  2.763070e-02    1.377626e+00   1.333693e-01
  2.984116e-02    1.261266e+00   1.227947e-01
  3.205162e-02    1.547161e+00   1.312363e-01
  3.426207e-02    1.498090e+00   1.248946e-01
  3.647253e-02    1.345462e+00   1.147164e-01
  3.868299e-02    1.308047e+00   1.098392e-01
  4.089344e-02    1.303364e+00   1.066384e-01
  4.310390e-02    1.392434e+00   1.073522e-01
  4.531436e-02    1.374324e+00   1.040185e-01
  4.752481e-02    1.405042e+00   1.026984e-01
  4.973527e-02    1.392312e+00   9.993558e-02
  5.194572e-02    1.192973e+00   9.051453e-02
  5.415618e-02    1.179519e+00   8.814371e-02
  5.636664e-02    1.322450e+00   9.148601e-02
  5.857709e-02    1.408707e+00   9.262430e-02
  6.078755e-02    1.318593e+00   8.796557e-02
  6.299801e-02    1.313289e+00   8.623361e-02
  6.520846e-02    1.418520e+00   8.809038e-02
  6.741892e-02    1.437886e+00   8.721918e-02
  6.962938e-02    1.463243e+00   8.658140e-02
  7.183983e-02    1.500097e+00   8.630416e-02
  7.405029e-02    1.400345e+00   8.212940e-02
  7.626074e-02    1.459414e+00   8.261894e-02
  7.847120e-02    1.481084e+00   8.204721e-02
  8.068166e-02    1.563467e+00   8.313477e-02
  8.289211e-02    1.469737e+00   7.952187e-02
  8.510257e-02    1.405257e+00   7.674097e-02
