# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166596",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "52UU/OX/HMUhwI1Acbo1TA==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000007.dat
#        q_A^-1              I           sigma 
  1.105228e-03    5.852345e-01   4.139538e-01
  3.315685e-03    7.858376e-01   2.916163e-01
  5.526141e-03    1.444547e+00   3.057299e-01
  7.736597e-03    1.338291e+00   2.485968e-01
  9.947054e-03    1.351955e+00   2.202712e-01
  1.215751e-02    1.379121e+00   2.011731e-01
  1.436797e-02    1.249287e+00   1.761193e-01
  1.657842e-02    1.317165e+00   1.683311e-01
  1.878888e-02    1.365481e+00   1.609928e-01
  2.099934e-02    1.595217e+00   1.646311e-01
  2.320979e-02    1.724507e+00   1.628041e-01
  2.542025e-02    1.544466e+00   1.472308e-01
  2.763070e-02    1.265380e+00   1.278206e-01
  2.984116e-02    1.299156e+00   1.246256e-01
  3.205162e-02    1.284006e+00   1.195556e-01
  3.426207e-02    1.263408e+00   1.146956e-01
  3.647253e-02    1.366299e+00   1.156012e-01
  3.868299e-02    1.452945e+00   1.157631e-01
  4.089344e-02    1.493971e+00   1.141700e-01
  4.310390e-02    1.405709e+00   1.078628e-01
  4.531436e-02    1.489795e+00   1.083001e-01
  4.752481e-02    1.462837e+00   1.047893e-01
  4.973527e-02    1.360269e+00   9.877893e-02
  5.194572e-02    1.385357e+00   9.754022e-02
  5.415618e-02    1.377276e+00   9.524655e-02
  5.636664e-02    1.377138e+00   9.335850e-02
  5.857709e-02    1.372651e+00   9.143124e-02
  6.078755e-02    1.365248e+00   8.950827e-02
  6.299801e-02    1.375390e+00   8.824889e-02
  6.520846e-02    1.506674e+00   9.078631e-02
  6.741892e-02    1.445892e+00   8.746167e-02
  6.962938e-02    1.482014e+00   8.713497e-02
  7.183983e-02    1.518906e+00   8.684352e-02
  7.405029e-02    1.418846e+00   8.267018e-02
  7.626074e-02    1.453589e+00   8.245388e-02
  7.847120e-02    1.504684e+00   8.269831e-02
  8.068166e-02    1.494344e+00   8.127624e-02
  8.289211e-02    1.462709e+00   7.933150e-02
  8.510257e-02    1.441631e+00   7.772779e-02
  8.731303e-02    1.507298e+00   7.846288e-02
  8.952348e-02    1.504617e+00   7.742132e-02
  9.173394e-02    1.467444e+00   7.552918e-02
  9.394439e-02    1.467923e+00   7.464503e-02
  9.615485e-02    1.557401e+00   7.599586e-02
  9.836531e-02    1.497443e+00   7.367457e-02
  1.005758e-01    1.445696e+00   7.159091e-02
  1.027862e-01    1.491031e+00   7.191694e-02
  1.049967e-01    1.474937e+00   7.076959e-02
  1.072071e-01    1.531271e+00   7.136032e-02
  1.094176e-01    1.515892e+00   7.027916e-02
  1.116280e-01    1.494176e+00   6.907813e-02
  1.138385e-01    1.543680e+00   6.952676e-02
  1.160490e-01    1.545816e+00   6.890820e-02
  1.182594e-01    1.491807e+00   6.705663e-02
  1.204699e-01    1.459920e+00   6.572416e-02
  1.226803e-01    1.545241e+00   6.700274e-02
  1.248908e-01    1.477286e+00   6.492977e-02
  1.271012e-01    1.507702e+00   6.502060e-02
  1.293117e-01    1.544941e+00   6.525290e-02
  1.315222e-01    1.555703e+00   6.492569e-02
  1.337326e-01    1.548358e+00   6.423346e-02
  1.359431e-01    1.646156e+00   6.626975e-02
  1.381535e-01    1.560009e+00   6.537839e-02
  1.403640e-01    1.504957e+00   6.449169e-02
  1.425744e-01    1.481981e+00   6.409976e-02
  1.447849e-01    1.482012e+00   6.411516e-02
  1.469953e-01    1.520873e+00   6.490967e-02
  1.492058e-01    1.550620e+00   6.546523e-02
  1.514163e-01    1.553407e+00   6.541521e-02
  1.536267e-01    1.579265e+00   6.582863e-02
  1.558372e-01    1.573387e+00   6.556097e-02
  1.580476e-01    1.543004e+00   6.476732e-02
  1.602581e-01    1.574244e+00   6.525352e-02
  1.624685e-01    1.560480e+00   6.478976e-02
  1.646790e-01    1.644731e+00   6.632477e-02
  1.668895e-01    1.684884e+00   6.693564e-02
  1.690999e-01    1.764027e+00   6.828398e-02
  1.713104e-01    1.740613e+00   6.761882e-02
  1.735208e-01    1.681544e+00   6.625488e-02
  1.757313e-01    1.751440e+00   6.740595e-02
  1.779417e-01    1.804157e+00   6.818973e-02
  1.801522e-01    1.862699e+00   6.906655e-02
  1.823626e-01    1.882421e+00   6.920010e-02
  1.845731e-01    1.855895e+00   6.848822e-02
  1.867836e-01    1.917399e+00   6.937888e-02
  1.889940e-01    1.888272e+00   6.862492e-02
  1.912045e-01    1.998461e+00   7.036305e-02
  1.934149e-01    2.014145e+00   7.040221e-02
  1.956254e-01    1.907064e+00   6.827928e-02
  1.978358e-01    1.892586e+00   6.778651e-02
  2.000463e-01    1.841412e+00   6.664217e-02
  2.022568e-01    1.931610e+00   6.803080e-02
  2.044672e-01    1.956679e+00   6.823628e-02
  2.066777e-01    1.970476e+00   6.824917e-02
  2.088881e-01    1.952550e+00   6.771572e-02
  2.110986e-01    1.982646e+00   6.800163e-02
  2.133090e-01    1.909510e+00   6.651866e-02
  2.155195e-01    2.007588e+00   6.797932e-02
  2.177300e-01    1.926531e+00   6.606968e-02
  2.199404e-01    1.977640e+00   6.517647e-02
  2.221509e-01    1.978307e+00   6.411704e-02
  2.243613e-01    2.004046e+00   6.371469e-02
  2.265718e-01    2.048962e+00   6.371467e-02
  2.287822e-01    2.029084e+00   6.277727e-02
  2.309927e-01    2.088227e+00   6.310543e-02
  2.332031e-01    2.157940e+00   6.360108e-02
  2.354136e-01    2.110149e+00   6.238313e-02
  2.376241e-01    2.104582e+00   6.181721e-02
  2.398345e-01    2.192842e+00   6.263313e-02
  2.420450e-01    2.191757e+00   6.217013e-02
  2.442554e-01    2.144068e+00   6.106643e-02
  2.464659e-01    2.147063e+00   6.069879e-02
  2.486763e-01    2.088510e+00   5.947190e-02
  2.508868e-01    2.109112e+00   5.938749e-02
  2.530973e-01    2.124796e+00   5.923834e-02
  2.553077e-01    2.089289e+00   5.838498e-02
  2.575182e-01    2.125391e+00   5.853883e-02
  2.597286e-01    2.121186e+00   5.814097e-02
  2.619391e-01    2.041131e+00   5.670493e-02
  2.641495e-01    1.968295e+00   5.537581e-02
  2.663600e-01    1.977610e+00   5.520142e-02
  2.685704e-01    2.015851e+00   5.543049e-02
  2.707809e-01    2.020587e+00   5.520100e-02
  2.729914e-01    2.051872e+00   5.533680e-02
  2.752018e-01    2.063784e+00   5.520833e-02
  2.774123e-01    1.952724e+00   5.342801e-02
  2.796227e-01    1.959681e+00   5.325833e-02
  2.818332e-01    1.936361e+00   5.267640e-02
  2.840436e-01    1.996523e+00   5.322918e-02
  2.862541e-01    1.950306e+00   5.235661e-02
  2.884646e-01    1.887745e+00   5.126553e-02
  2.906750e-01    1.972066e+00   5.214955e-02
  2.928855e-01    1.916239e+00   5.116792e-02
  2.950959e-01    1.938506e+00   5.122793e-02
  2.973064e-01    1.947428e+00   5.111492e-02
  2.995168e-01    2.005023e+00   5.163038e-02
  3.017273e-01    1.914990e+00   5.023541e-02
  3.039377e-01    1.852259e+00   4.918941e-02
  3.061482e-01    1.870121e+00   4.921220e-02
  3.083587e-01    1.905902e+00   4.946571e-02
  3.105691e-01    1.931293e+00   4.958144e-02
  3.127796e-01    1.940618e+00   4.949204e-02
  3.149900e-01    1.869806e+00   4.837829e-02
  3.172005e-01    1.846268e+00   4.787623e-02
  3.194109e-01    1.853790e+00   4.777563e-02
  3.216214e-01    1.882744e+00   4.795081e-02
  3.238319e-01    1.837596e+00   4.718473e-02
  3.260423e-01    1.762538e+00   4.602696e-02
  3.282528e-01    1.822280e+00   4.661418e-02
  3.304632e-01    1.885194e+00   4.722837e-02
  3.326737e-01    1.840330e+00   4.648095e-02
  3.348841e-01    1.813226e+00   4.595847e-02
  3.370946e-01    1.845104e+00   4.618629e-02
  3.393050e-01    1.802979e+00   4.548306e-02
  3.415155e-01    1.798939e+00   4.526127e-02
  3.437260e-01    1.731483e+00   4.423997e-02
  3.459364e-01    1.775401e+00   4.463179e-02
  3.481469e-01    1.806849e+00   4.486101e-02
