# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166592",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "1+eMa9LBnB1uZ9HttRx2PA==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000011.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.549152e+00   6.734945e-01
  3.315685e-03    9.603150e-01   3.223683e-01
  5.526141e-03    1.537391e+00   3.154019e-01
  7.736597e-03    1.415441e+00   2.556619e-01
  9.947054e-03    1.367398e+00   2.215257e-01
  1.215751e-02    1.403521e+00   2.029449e-01
  1.436797e-02    1.309237e+00   1.802955e-01
  1.657842e-02    1.394677e+00   1.732133e-01
  1.878888e-02    1.573719e+00   1.728332e-01
  2.099934e-02    1.457686e+00   1.573744e-01
  2.320979e-02    1.365655e+00   1.448783e-01
  2.542025e-02    1.438059e+00   1.420685e-01
  2.763070e-02    1.360064e+00   1.325165e-01
  2.984116e-02    1.331288e+00   1.261573e-01
  3.205162e-02    1.370029e+00   1.234955e-01
  3.426207e-02    1.437725e+00   1.223525e-01
  3.647253e-02    1.388232e+00   1.165255e-01
  3.868299e-02    1.468234e+00   1.163706e-01
  4.089344e-02    1.390562e+00   1.101478e-01
  4.310390e-02    1.401457e+00   1.076995e-01
  4.531436e-02    1.405210e+00   1.051808e-01
  4.752481e-02    1.510157e+00   1.064707e-01
  4.973527e-02    1.435544e+00   1.014752e-01
  5.194572e-02    1.374491e+00   9.715695e-02
  5.415618e-02    1.417605e+00   9.663098e-02
  5.636664e-02    1.516007e+00   9.795257e-02
  5.857709e-02    1.584374e+00   9.822982e-02
  6.078755e-02    1.559678e+00   9.566980e-02
  6.299801e-02    1.530034e+00   9.307797e-02
  6.520846e-02    1.518901e+00   9.115395e-02
  6.741892e-02    1.425389e+00   8.683935e-02
  6.962938e-02    1.371161e+00   8.381283e-02
  7.183983e-02    1.517779e+00   8.681131e-02
  7.405029e-02    1.486580e+00   8.462048e-02
  7.626074e-02    1.419785e+00   8.148950e-02
  7.847120e-02    1.438521e+00   8.085970e-02
  8.068166e-02    1.466308e+00   8.051018e-02
  8.289211e-02    1.457499e+00   7.919009e-02
  8.510257e-02    1.502579e+00   7.935385e-02
  8.731303e-02    1.504716e+00   7.839566e-02
  8.952348e-02    1.428283e+00   7.543184e-02
  9.173394e-02    1.458258e+00   7.529239e-02
  9.394439e-02    1.506485e+00   7.561915e-02
  9.615485e-02    1.458144e+00   7.353430e-02
  9.836531e-02    1.458114e+00   7.270064e-02
  1.005758e-01    1.507160e+00   7.309692e-02
  1.027862e-01    1.547767e+00   7.327244e-02
  1.049967e-01    1.616656e+00   7.409158e-02
  1.072071e-01    1.605035e+00   7.305889e-02
  1.094176e-01    1.531129e+00   7.063149e-02
  1.116280e-01    1.500814e+00   6.923140e-02
  1.138385e-01    1.518658e+00   6.896095e-02
  1.160490e-01    1.472706e+00   6.725894e-02
  1.182594e-01    1.592773e+00   6.928866e-02
  1.204699e-01    1.562095e+00   6.798521e-02
  1.226803e-01    1.550837e+00   6.712393e-02
  1.248908e-01    1.576965e+00   6.708457e-02
  1.271012e-01    1.582461e+00   6.661312e-02
  1.293117e-01    1.671061e+00   6.786409e-02
  1.315222e-01    1.600617e+00   6.585623e-02
  1.337326e-01    1.621074e+00   6.572446e-02
  1.359431e-01    1.589100e+00   6.511116e-02
  1.381535e-01    1.611250e+00   6.644344e-02
  1.403640e-01    1.530707e+00   6.504108e-02
  1.425744e-01    1.538642e+00   6.531362e-02
  1.447849e-01    1.550837e+00   6.558701e-02
  1.469953e-01    1.686399e+00   6.835071e-02
  1.492058e-01    1.665018e+00   6.783712e-02
  1.514163e-01    1.590926e+00   6.620048e-02
  1.536267e-01    1.651974e+00   6.732694e-02
  1.558372e-01    1.693323e+00   6.801388e-02
  1.580476e-01    1.593183e+00   6.581201e-02
  1.602581e-01    1.630952e+00   6.641842e-02
