# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166598",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "nx2nAYrU4ILaxwPkQK/7jA==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000012.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.997122e+00   7.646969e-01
  3.315685e-03    7.339343e-01   2.818215e-01
  5.526141e-03    1.062204e+00   2.621658e-01
  7.736597e-03    1.567345e+00   2.690311e-01
  9.947054e-03    1.364318e+00   2.212760e-01
  1.215751e-02    1.509667e+00   2.104792e-01
  1.436797e-02    1.487603e+00   1.921850e-01
  1.657842e-02    1.358312e+00   1.709402e-01
  1.878888e-02    1.428347e+00   1.646570e-01
  2.099934e-02    1.525249e+00   1.609802e-01
  2.320979e-02    1.389642e+00   1.461451e-01
  2.542025e-02    1.448125e+00   1.425649e-01
  2.763070e-02    1.273891e+00   1.282497e-01
  2.984116e-02    1.239450e+00   1.217281e-01
  3.205162e-02    1.508945e+00   1.296053e-01
  3.426207e-02    1.506394e+00   1.252403e-01
  3.647253e-02    1.415737e+00   1.176741e-01
  3.868299e-02    1.344522e+00   1.113601e-01
  4.089344e-02    1.315415e+00   1.071302e-01
  4.310390e-02    1.378606e+00   1.068179e-01
  4.531436e-02    1.424341e+00   1.058943e-01
  4.752481e-02    1.317198e+00   9.943622e-02
  4.973527e-02    1.409050e+00   1.005345e-01
  5.194572e-02    1.362301e+00   9.672517e-02
  5.415618e-02    1.458440e+00   9.801284e-02
  5.636664e-02    1.498815e+00   9.739559e-02
  5.857709e-02    1.415755e+00   9.285569e-02
  6.078755e-02    1.365493e+00   8.951629e-02
  6.299801e-02    1.473976e+00   9.135696e-02
  6.520846e-02    1.522385e+00   9.125844e-02
  6.741892e-02    1.422861e+00   8.676233e-02
  6.962938e-02    1.317677e+00   8.216197e-02
  7.183983e-02    1.448147e+00   8.479658e-02
  7.405029e-02    1.554592e+00   8.653452e-02
  7.626074e-02    1.637734e+00   8.752096e-02
  7.847120e-02    1.453180e+00   8.127066e-02
  8.068166e-02    1.392343e+00   7.845333e-02
  8.289211e-02    1.373931e+00   7.688633e-02
  8.510257e-02    1.476238e+00   7.865522e-02
  8.731303e-02    1.500916e+00   7.829660e-02
  8.952348e-02    1.471127e+00   7.655486e-02
  9.173394e-02    1.428686e+00   7.452504e-02
  9.394439e-02    1.442282e+00   7.399023e-02
  9.615485e-02    1.470432e+00   7.384349e-02
  9.836531e-02    1.540422e+00   7.472435e-02
  1.005758e-01    1.570952e+00   7.462787e-02
  1.027862e-01    1.468700e+00   7.137637e-02
  1.049967e-01    1.626855e+00   7.432488e-02
  1.072071e-01    1.684896e+00   7.485441e-02
  1.094176e-01    1.583033e+00   7.181868e-02
  1.116280e-01    1.545043e+00   7.024413e-02
  1.138385e-01    1.609927e+00   7.100295e-02
  1.160490e-01    1.518536e+00   6.829747e-02
  1.182594e-01    1.439233e+00   6.586443e-02
  1.204699e-01    1.526126e+00   6.719790e-02
  1.226803e-01    1.593116e+00   6.803278e-02
  1.248908e-01    1.589304e+00   6.734649e-02
  1.271012e-01    1.596341e+00   6.690463e-02
  1.293117e-01    1.534278e+00   6.502731e-02
  1.315222e-01    1.511712e+00   6.400114e-02
  1.337326e-01    1.562952e+00   6.453546e-02
  1.359431e-01    1.477022e+00   6.277306e-02
  1.381535e-01    1.534027e+00   6.483164e-02
  1.403640e-01    1.579853e+00   6.607696e-02
  1.425744e-01    1.637329e+00   6.737562e-02
  1.447849e-01    1.677102e+00   6.820478e-02
  1.469953e-01    1.573229e+00   6.601748e-02
  1.492058e-01    1.473435e+00   6.381509e-02
  1.514163e-01    1.515734e+00   6.461712e-02
  1.536267e-01    1.544488e+00   6.509979e-02
  1.558372e-01    1.665435e+00   6.745145e-02
  1.580476e-01    1.685486e+00   6.769163e-02
  1.602581e-01    1.689372e+00   6.759749e-02
  1.624685e-01    1.688307e+00   6.739118e-02
  1.646790e-01    1.650547e+00   6.644195e-02
  1.668895e-01    1.709459e+00   6.742201e-02
  1.690999e-01    1.758283e+00   6.817273e-02
  1.713104e-01    1.807938e+00   6.891413e-02
  1.735208e-01    1.809971e+00   6.873842e-02
  1.757313e-01    1.832794e+00   6.895367e-02
  1.779417e-01    1.857580e+00   6.919196e-02
  1.801522e-01    1.833172e+00   6.851695e-02
  1.823626e-01    1.921181e+00   6.990888e-02
  1.845731e-01    1.904472e+00   6.937876e-02
  1.867836e-01    1.958272e+00   7.011445e-02
  1.889940e-01    1.953465e+00   6.979951e-02
  1.912045e-01    1.892434e+00   6.847110e-02
  1.934149e-01    1.933163e+00   6.897236e-02
  1.956254e-01    1.908244e+00   6.830037e-02
  1.978358e-01    1.926981e+00   6.839970e-02
  2.000463e-01    1.922310e+00   6.809032e-02
  2.022568e-01    1.996842e+00   6.916999e-02
  2.044672e-01    2.030622e+00   6.951366e-02
  2.066777e-01    2.021723e+00   6.913096e-02
  2.088881e-01    1.929449e+00   6.731397e-02
  2.110986e-01    1.981723e+00   6.798578e-02
  2.133090e-01    1.978710e+00   6.771327e-02
  2.155195e-01    1.901055e+00   6.615108e-02
  2.177300e-01    1.915058e+00   6.587265e-02
  2.199404e-01    1.978675e+00   6.519351e-02
  2.221509e-01    2.009124e+00   6.461450e-02
  2.243613e-01    2.039717e+00   6.427925e-02
  2.265718e-01    2.018879e+00   6.324521e-02
  2.287822e-01    2.047331e+00   6.305890e-02
  2.309927e-01    2.111873e+00   6.346170e-02
  2.332031e-01    2.216475e+00   6.445792e-02
  2.354136e-01    2.094944e+00   6.215797e-02
  2.376241e-01    2.125035e+00   6.211686e-02
