# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166596",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "5lkiwFRgNJqaAH7amGVFpw==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000015.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.064502e+00   5.582905e-01
  3.315685e-03    1.108197e+00   3.463011e-01
  5.526141e-03    1.546924e+00   3.163782e-01
  7.736597e-03    1.473735e+00   2.608735e-01
  9.947054e-03    1.339939e+00   2.192901e-01
  1.215751e-02    1.585650e+00   2.157110e-01
  1.436797e-02    1.218181e+00   1.739129e-01
  1.657842e-02    1.355599e+00   1.707694e-01
  1.878888e-02    1.378640e+00   1.617666e-01
  2.099934e-02    1.217117e+00   1.438031e-01
  2.320979e-02    1.496444e+00   1.516572e-01
  2.542025e-02    1.593017e+00   1.495270e-01
  2.763070e-02    1.434942e+00   1.361155e-01
  2.984116e-02    1.409549e+00   1.298125e-01
  3.205162e-02    1.501610e+00   1.292899e-01
  3.426207e-02    1.506575e+00   1.252479e-01
  3.647253e-02    1.366104e+00   1.155930e-01
  3.868299e-02    1.304085e+00   1.096727e-01
  4.089344e-02    1.503616e+00   1.145379e-01
  4.310390e-02    1.506635e+00   1.116678e-01
  4.531436e-02    1.437437e+00   1.063801e-01
  4.752481e-02    1.428826e+00   1.035640e-01
  4.973527e-02    1.358446e+00   9.871269e-02
  5.194572e-02    1.475720e+00   1.006711e-01
  5.415618e-02    1.486680e+00   9.895723e-02
  5.636664e-02    1.386348e+00   9.367018e-02
  5.857709e-02    1.443441e+00   9.375924e-02
  6.078755e-02    1.437281e+00   9.183924e-02
  6.299801e-02    1.454424e+00   9.074904e-02
  6.520846e-02    1.406183e+00   8.770647e-02
  6.741892e-02    1.465963e+00   8.806664e-02
  6.962938e-02    1.437403e+00   8.581351e-02
  7.183983e-02    1.462337e+00   8.521102e-02
  7.405029e-02    1.467945e+00   8.408840e-02
  7.626074e-02    1.421006e+00   8.152453e-02
  7.847120e-02    1.467195e+00   8.166161e-02
  8.068166e-02    1.541719e+00   8.255453e-02
  8.289211e-02    1.571287e+00   8.222320e-02
  8.510257e-02    1.555401e+00   8.073665e-02
