# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166596",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "ixtkblq4lfZ5QpDiOP0bUg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000016.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.045594e+00   5.533100e-01
  3.315685e-03    1.090628e+00   3.435451e-01
  5.526141e-03    1.256938e+00   2.851865e-01
  7.736597e-03    1.347308e+00   2.494328e-01
  9.947054e-03    1.396255e+00   2.238509e-01
  1.215751e-02    1.306068e+00   1.957725e-01
  1.436797e-02    1.402353e+00   1.865969e-01
  1.657842e-02    1.524766e+00   1.811115e-01
  1.878888e-02    1.399138e+00   1.629648e-01
  2.099934e-02    1.494479e+00   1.593481e-01
  2.320979e-02    1.433572e+00   1.484371e-01
  2.542025e-02    1.386808e+00   1.395140e-01
  2.763070e-02    1.399803e+00   1.344386e-01
  2.984116e-02    1.556008e+00   1.363900e-01
  3.205162e-02    1.575345e+00   1.324262e-01
  3.426207e-02    1.635927e+00   1.305139e-01
  3.647253e-02    1.581293e+00   1.243644e-01
  3.868299e-02    1.401659e+00   1.137017e-01
  4.089344e-02    1.551651e+00   1.163530e-01
  4.310390e-02    1.461873e+00   1.099965e-01
  4.531436e-02    1.394589e+00   1.047825e-01
  4.752481e-02    1.237150e+00   9.636741e-02
  4.973527e-02    1.475341e+00   1.028722e-01
  5.194572e-02    1.379256e+00   9.732523e-02
  5.415618e-02    1.402069e+00   9.610001e-02
  5.636664e-02    1.401632e+00   9.418510e-02
  5.857709e-02    1.397879e+00   9.226763e-02
  6.078755e-02    1.399440e+00   9.062218e-02
  6.299801e-02    1.475661e+00   9.140915e-02
  6.520846e-02    1.433614e+00   8.855781e-02
  6.741892e-02    1.452091e+00   8.764894e-02
  6.962938e-02    1.579862e+00   8.996549e-02
  7.183983e-02    1.683128e+00   9.141778e-02
  7.405029e-02    1.497873e+00   8.494131e-02
  7.626074e-02    1.470852e+00   8.294206e-02
  7.847120e-02    1.468241e+00   8.169071e-02
  8.068166e-02    1.477389e+00   8.081385e-02
  8.289211e-02    1.549124e+00   8.164128e-02
  8.510257e-02    1.417393e+00   7.707165e-02
  8.731303e-02    1.488785e+00   7.797953e-02
  8.952348e-02    1.616235e+00   8.024165e-02
