# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166594",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "fq64/CoSIGbGNKCJY16MOg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000020.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.219946e+00   5.976642e-01
  3.315685e-03    1.540986e+00   4.083615e-01
  5.526141e-03    1.471914e+00   3.086124e-01
  7.736597e-03    1.397072e+00   2.539976e-01
  9.947054e-03    1.218730e+00   2.091368e-01
  1.215751e-02    1.268609e+00   1.929445e-01
  1.436797e-02    1.395273e+00   1.861254e-01
  1.657842e-02    1.302233e+00   1.673743e-01
  1.878888e-02    1.461460e+00   1.665547e-01
  2.099934e-02    1.456830e+00   1.573281e-01
  2.320979e-02    1.267439e+00   1.395714e-01
  2.542025e-02    1.451589e+00   1.427353e-01
  2.763070e-02    1.440366e+00   1.363725e-01
  2.984116e-02    1.380233e+00   1.284555e-01
  3.205162e-02    1.450860e+00   1.270863e-01
  3.426207e-02    1.368123e+00   1.193541e-01
  3.647253e-02    1.511897e+00   1.216048e-01
  3.868299e-02    1.570948e+00   1.203723e-01
  4.089344e-02    1.540748e+00   1.159435e-01
  4.310390e-02    1.392885e+00   1.073697e-01
  4.531436e-02    1.318739e+00   1.018932e-01
  4.752481e-02    1.367486e+00   1.013165e-01
  4.973527e-02    1.342244e+00   9.812227e-02
  5.194572e-02    1.342334e+00   9.601372e-02
  5.415618e-02    1.318522e+00   9.319284e-02
  5.636664e-02    1.310560e+00   9.107381e-02
  5.857709e-02    1.496880e+00   9.547906e-02
  6.078755e-02    1.523955e+00   9.456782e-02
  6.299801e-02    1.450778e+00   9.063523e-02
  6.520846e-02    1.471035e+00   8.970615e-02
  6.741892e-02    1.485688e+00   8.865714e-02
  6.962938e-02    1.428070e+00   8.553447e-02
  7.183983e-02    1.394459e+00   8.320988e-02
  7.405029e-02    1.464569e+00   8.399167e-02
  7.626074e-02    1.491137e+00   8.351205e-02
  7.847120e-02    1.502034e+00   8.262545e-02
  8.068166e-02    1.394207e+00   7.850583e-02
  8.289211e-02    1.548829e+00   8.163350e-02
  8.510257e-02    1.609795e+00   8.213622e-02
  8.731303e-02    1.442973e+00   7.677043e-02
  8.952348e-02    1.471400e+00   7.656192e-02
