# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166590",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "Sxqtz7kbBfSeqlIezjFw9A==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000021.dat
#        q_A^-1              I           sigma 
  1.105228e-03    2.385823e+00   8.358071e-01
  3.315685e-03    1.604028e+00   4.166309e-01
  5.526141e-03    1.529942e+00   3.146369e-01
  7.736597e-03    1.574849e+00   2.696743e-01
  9.947054e-03    1.724323e+00   2.487631e-01
  1.215751e-02    1.351523e+00   1.991500e-01
  1.436797e-02    1.379128e+00   1.850453e-01
  1.657842e-02    1.383625e+00   1.725256e-01
  1.878888e-02    1.480912e+00   1.676595e-01
  2.099934e-02    1.354790e+00   1.517183e-01
  2.320979e-02    1.537362e+00   1.537167e-01
  2.542025e-02    1.576371e+00   1.487437e-01
  2.763070e-02    1.536974e+00   1.408716e-01
  2.984116e-02    1.527250e+00   1.351237e-01
  3.205162e-02    1.306961e+00   1.206195e-01
  3.426207e-02    1.325611e+00   1.174851e-01
  3.647253e-02    1.505748e+00   1.213573e-01
  3.868299e-02    1.482803e+00   1.169465e-01
  4.089344e-02    1.395910e+00   1.103594e-01
  4.310390e-02    1.380603e+00   1.068952e-01
  4.531436e-02    1.378838e+00   1.041891e-01
  4.752481e-02    1.458458e+00   1.046323e-01
  4.973527e-02    1.454667e+00   1.021489e-01
  5.194572e-02    1.455127e+00   9.996625e-02
  5.415618e-02    1.438300e+00   9.733375e-02
  5.636664e-02    1.395582e+00   9.398160e-02
  5.857709e-02    1.415005e+00   9.283112e-02
  6.078755e-02    1.362571e+00   8.942046e-02
  6.299801e-02    1.401360e+00   8.907817e-02
  6.520846e-02    1.462001e+00   8.943028e-02
  6.741892e-02    1.484234e+00   8.861373e-02
  6.962938e-02    1.348086e+00   8.310463e-02
  7.183983e-02    1.263750e+00   7.921412e-02
  7.405029e-02    1.305707e+00   7.930563e-02
  7.626074e-02    1.456589e+00   8.253892e-02
  7.847120e-02    1.470847e+00   8.176320e-02
  8.068166e-02    1.400491e+00   7.868256e-02
  8.289211e-02    1.466012e+00   7.942102e-02
  8.510257e-02    1.514923e+00   7.967915e-02
  8.731303e-02    1.481215e+00   7.778103e-02
  8.952348e-02    1.534316e+00   7.818167e-02
  9.173394e-02    1.377138e+00   7.316825e-02
  9.394439e-02    1.434389e+00   7.378747e-02
  9.615485e-02    1.585692e+00   7.668301e-02
  9.836531e-02    1.456776e+00   7.266726e-02
  1.005758e-01    1.531054e+00   7.367408e-02
  1.027862e-01    1.535601e+00   7.298391e-02
  1.049967e-01    1.527591e+00   7.202172e-02
  1.072071e-01    1.616513e+00   7.331964e-02
  1.094176e-01    1.662486e+00   7.359893e-02
  1.116280e-01    1.478009e+00   6.870339e-02
  1.138385e-01    1.462213e+00   6.766727e-02
  1.160490e-01    1.510177e+00   6.810921e-02
  1.182594e-01    1.591453e+00   6.925996e-02
  1.204699e-01    1.594248e+00   6.868133e-02
  1.226803e-01    1.486757e+00   6.572255e-02
  1.248908e-01    1.592180e+00   6.740739e-02
  1.271012e-01    1.659189e+00   6.820893e-02
  1.293117e-01    1.535361e+00   6.505027e-02
  1.315222e-01    1.633226e+00   6.652368e-02
  1.337326e-01    1.526778e+00   6.378426e-02
  1.359431e-01    1.593756e+00   6.520646e-02
  1.381535e-01    1.659074e+00   6.742228e-02
  1.403640e-01    1.687881e+00   6.829872e-02
  1.425744e-01    1.646715e+00   6.756848e-02
  1.447849e-01    1.587239e+00   6.635233e-02
  1.469953e-01    1.601338e+00   6.660461e-02
  1.492058e-01    1.588052e+00   6.625067e-02
  1.514163e-01    1.564249e+00   6.564309e-02
  1.536267e-01    1.611482e+00   6.649669e-02
  1.558372e-01    1.643342e+00   6.700256e-02
  1.580476e-01    1.650646e+00   6.698836e-02
  1.602581e-01    1.646901e+00   6.674238e-02
  1.624685e-01    1.758345e+00   6.877479e-02
  1.646790e-01    1.759882e+00   6.860729e-02
  1.668895e-01    1.754816e+00   6.831060e-02
  1.690999e-01    1.726840e+00   6.756043e-02
  1.713104e-01    1.737008e+00   6.754874e-02
  1.735208e-01    1.779965e+00   6.816627e-02
  1.757313e-01    1.780267e+00   6.795841e-02
  1.779417e-01    1.787223e+00   6.786898e-02
  1.801522e-01    1.763166e+00   6.719594e-02
  1.823626e-01    1.847889e+00   6.856242e-02
