# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166594",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "TF5LV1rFXFIgIM6DWoOVXw==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000023.dat
#        q_A^-1              I           sigma 
  1.105228e-03    6.633514e-01   4.407160e-01
  3.315685e-03    8.514343e-01   3.035435e-01
  5.526141e-03    1.037859e+00   2.591441e-01
  7.736597e-03    1.070130e+00   2.222995e-01
  9.947054e-03    1.122925e+00   2.007483e-01
  1.215751e-02    1.252486e+00   1.917145e-01
  1.436797e-02    1.460682e+00   1.904380e-01
  1.657842e-02    1.323620e+00   1.687431e-01
  1.878888e-02    1.272927e+00   1.554409e-01
  2.099934e-02    1.285955e+00   1.478138e-01
  2.320979e-02    1.282738e+00   1.404112e-01
  2.542025e-02    1.322635e+00   1.362478e-01
  2.763070e-02    1.327720e+00   1.309313e-01
  2.984116e-02    1.510159e+00   1.343655e-01
  3.205162e-02    1.502421e+00   1.293249e-01
  3.426207e-02    1.371536e+00   1.195029e-01
  3.647253e-02    1.444776e+00   1.188749e-01
  3.868299e-02    1.516503e+00   1.182680e-01
  4.089344e-02    1.514167e+00   1.149391e-01
  4.310390e-02    1.399563e+00   1.076267e-01
  4.531436e-02    1.298250e+00   1.010986e-01
  4.752481e-02    1.367249e+00   1.013078e-01
  4.973527e-02    1.298763e+00   9.651987e-02
  5.194572e-02    1.364681e+00   9.680961e-02
  5.415618e-02    1.417532e+00   9.662848e-02
  5.636664e-02    1.418697e+00   9.475674e-02
  5.857709e-02    1.393309e+00   9.211668e-02
  6.078755e-02    1.499119e+00   9.379406e-02
  6.299801e-02    1.497679e+00   9.208860e-02
  6.520846e-02    1.413033e+00   8.791985e-02
  6.741892e-02    1.388445e+00   8.570660e-02
  6.962938e-02    1.459648e+00   8.647496e-02
  7.183983e-02    1.514462e+00   8.671641e-02
  7.405029e-02    1.483545e+00   8.453403e-02
  7.626074e-02    1.504843e+00   8.389499e-02
  7.847120e-02    1.499981e+00   8.256897e-02
  8.068166e-02    1.498896e+00   8.139995e-02
  8.289211e-02    1.260756e+00   7.365164e-02
  8.510257e-02    1.360875e+00   7.551938e-02
  8.731303e-02    1.491443e+00   7.804911e-02
  8.952348e-02    1.545209e+00   7.845873e-02
  9.173394e-02    1.505832e+00   7.651068e-02
  9.394439e-02    1.589774e+00   7.768138e-02
  9.615485e-02    1.564100e+00   7.615913e-02
  9.836531e-02    1.585722e+00   7.581513e-02
  1.005758e-01    1.653322e+00   7.655934e-02
  1.027862e-01    1.585188e+00   7.415293e-02
  1.049967e-01    1.517962e+00   7.179436e-02
  1.072071e-01    1.536425e+00   7.148033e-02
  1.094176e-01    1.579107e+00   7.172956e-02
  1.116280e-01    1.516532e+00   6.959300e-02
  1.138385e-01    1.513240e+00   6.883782e-02
  1.160490e-01    1.646374e+00   7.111418e-02
  1.182594e-01    1.664793e+00   7.083787e-02
  1.204699e-01    1.604777e+00   6.890775e-02
  1.226803e-01    1.515711e+00   6.635942e-02
  1.248908e-01    1.579544e+00   6.713937e-02
  1.271012e-01    1.591324e+00   6.679941e-02
  1.293117e-01    1.524420e+00   6.481808e-02
  1.315222e-01    1.509480e+00   6.395388e-02
  1.337326e-01    1.570232e+00   6.468559e-02
  1.359431e-01    1.642095e+00   6.618794e-02
  1.381535e-01    1.604726e+00   6.630878e-02
  1.403640e-01    1.560090e+00   6.566237e-02
  1.425744e-01    1.516336e+00   6.483845e-02
  1.447849e-01    1.586446e+00   6.633573e-02
  1.469953e-01    1.600210e+00   6.658116e-02
  1.492058e-01    1.597581e+00   6.644913e-02
  1.514163e-01    1.575278e+00   6.587411e-02
  1.536267e-01    1.580441e+00   6.585313e-02
  1.558372e-01    1.615507e+00   6.643269e-02
  1.580476e-01    1.709652e+00   6.817519e-02
  1.602581e-01    1.663400e+00   6.707588e-02
  1.624685e-01    1.604136e+00   6.568981e-02
  1.646790e-01    1.576890e+00   6.494251e-02
  1.668895e-01    1.691367e+00   6.706428e-02
  1.690999e-01    1.737514e+00   6.776889e-02
  1.713104e-01    1.718168e+00   6.718142e-02
  1.735208e-01    1.796070e+00   6.847394e-02
  1.757313e-01    1.735449e+00   6.709754e-02
  1.779417e-01    1.810192e+00   6.830366e-02
  1.801522e-01    1.840574e+00   6.865515e-02
  1.823626e-01    1.859851e+00   6.878399e-02
  1.845731e-01    1.916557e+00   6.959852e-02
  1.867836e-01    1.958917e+00   7.012600e-02
  1.889940e-01    1.995112e+00   7.053965e-02
  1.912045e-01    1.886466e+00   6.836305e-02
  1.934149e-01    1.923836e+00   6.880578e-02
  1.956254e-01    1.831280e+00   6.690884e-02
  1.978358e-01    1.927507e+00   6.840899e-02
  2.000463e-01    1.978500e+00   6.907831e-02
  2.022568e-01    2.024737e+00   6.965148e-02
  2.044672e-01    1.964440e+00   6.837149e-02
  2.066777e-01    2.018953e+00   6.908357e-02
  2.088881e-01    1.980549e+00   6.819951e-02
  2.110986e-01    1.980468e+00   6.796427e-02
  2.133090e-01    1.975902e+00   6.766519e-02
  2.155195e-01    1.964999e+00   6.725442e-02
  2.177300e-01    1.950399e+00   6.647768e-02
  2.199404e-01    1.946715e+00   6.466486e-02
  2.221509e-01    1.928697e+00   6.330800e-02
  2.243613e-01    1.910421e+00   6.220858e-02
  2.265718e-01    2.025824e+00   6.335385e-02
  2.287822e-01    2.097493e+00   6.382674e-02
  2.309927e-01    2.135922e+00   6.382202e-02
  2.332031e-01    2.109302e+00   6.288026e-02
  2.354136e-01    2.113330e+00   6.243012e-02
  2.376241e-01    2.126073e+00   6.213206e-02
  2.398345e-01    2.062514e+00   6.074339e-02
  2.420450e-01    2.096474e+00   6.080374e-02
  2.442554e-01    2.139359e+00   6.099933e-02
  2.464659e-01    2.132466e+00   6.049210e-02
  2.486763e-01    2.090405e+00   5.949888e-02
  2.508868e-01    2.083182e+00   5.902128e-02
  2.530973e-01    2.132575e+00   5.934668e-02
  2.553077e-01    2.116606e+00   5.876542e-02
  2.575182e-01    2.072127e+00   5.780068e-02
  2.597286e-01    2.113680e+00   5.803799e-02
  2.619391e-01    2.136706e+00   5.801732e-02
  2.641495e-01    2.088572e+00   5.704265e-02
  2.663600e-01    2.039887e+00   5.606388e-02
  2.685704e-01    2.037159e+00   5.572268e-02
  2.707809e-01    1.940788e+00   5.410000e-02
  2.729914e-01    1.929669e+00   5.366365e-02
  2.752018e-01    2.005420e+00   5.442211e-02
  2.774123e-01    1.951983e+00   5.341785e-02
