# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166590",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "L22LgmaotnAVSggHDR4keg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000025.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.289979e+00   6.145798e-01
  3.315685e-03    1.359824e+00   3.836072e-01
  5.526141e-03    1.528427e+00   3.144810e-01
  7.736597e-03    1.178319e+00   2.332661e-01
  9.947054e-03    1.407999e+00   2.247903e-01
  1.215751e-02    1.305262e+00   1.957120e-01
  1.436797e-02    1.451720e+00   1.898529e-01
  1.657842e-02    1.445321e+00   1.763301e-01
  1.878888e-02    1.358752e+00   1.605956e-01
  2.099934e-02    1.310174e+00   1.491992e-01
  2.320979e-02    1.203675e+00   1.360152e-01
  2.542025e-02    1.025711e+00   1.199836e-01
  2.763070e-02    1.145680e+00   1.216247e-01
  2.984116e-02    1.461753e+00   1.321945e-01
  3.205162e-02    1.372336e+00   1.235994e-01
  3.426207e-02    1.344837e+00   1.183340e-01
  3.647253e-02    1.507805e+00   1.214402e-01
  3.868299e-02    1.578337e+00   1.206551e-01
  4.089344e-02    1.539569e+00   1.158992e-01
  4.310390e-02    1.460126e+00   1.099307e-01
  4.531436e-02    1.369938e+00   1.038524e-01
  4.752481e-02    1.390634e+00   1.021705e-01
  4.973527e-02    1.391996e+00   9.992423e-02
  5.194572e-02    1.493084e+00   1.012617e-01
  5.415618e-02    1.377944e+00   9.526966e-02
  5.636664e-02    1.379278e+00   9.343102e-02
  5.857709e-02    1.268840e+00   8.790590e-02
  6.078755e-02    1.319124e+00   8.798328e-02
  6.299801e-02    1.359251e+00   8.772963e-02
  6.520846e-02    1.400856e+00   8.754020e-02
  6.741892e-02    1.464118e+00   8.801117e-02
  6.962938e-02    1.488545e+00   8.732677e-02
  7.183983e-02    1.468950e+00   8.540349e-02
  7.405029e-02    1.398051e+00   8.206211e-02
  7.626074e-02    1.478228e+00   8.314976e-02
  7.847120e-02    1.524023e+00   8.322805e-02
  8.068166e-02    1.470357e+00   8.062128e-02
  8.289211e-02    1.408270e+00   7.784123e-02
  8.510257e-02    1.482607e+00   7.882471e-02
  8.731303e-02    1.479959e+00   7.774808e-02
  8.952348e-02    1.487935e+00   7.699091e-02
  9.173394e-02    1.509498e+00   7.660379e-02
  9.394439e-02    1.412591e+00   7.322469e-02
  9.615485e-02    1.463992e+00   7.368160e-02
  9.836531e-02    1.373766e+00   7.056653e-02
  1.005758e-01    1.384469e+00   7.005852e-02
  1.027862e-01    1.363676e+00   6.877704e-02
  1.049967e-01    1.344465e+00   6.756701e-02
  1.072071e-01    1.470587e+00   6.993202e-02
  1.094176e-01    1.388419e+00   6.725937e-02
  1.116280e-01    1.340487e+00   6.542909e-02
  1.138385e-01    1.317844e+00   6.423996e-02
  1.160490e-01    1.407654e+00   6.575669e-02
  1.182594e-01    1.508437e+00   6.742934e-02
  1.204699e-01    1.487203e+00   6.633547e-02
