# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166608",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "/ZwloOMvafffqqbcXKLoVg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000026.dat
#        q_A^-1              I           sigma 
  1.105228e-03    2.140780e+00   7.917224e-01
  3.315685e-03    1.586513e+00   4.143499e-01
  5.526141e-03    1.396887e+00   3.006441e-01
  7.736597e-03    1.441827e+00   2.580339e-01
  9.947054e-03    1.312131e+00   2.170027e-01
  1.215751e-02    1.346473e+00   1.987776e-01
  1.436797e-02    1.314265e+00   1.806414e-01
  1.657842e-02    1.250962e+00   1.640463e-01
  1.878888e-02    1.205611e+00   1.512750e-01
  2.099934e-02    1.338111e+00   1.507815e-01
  2.320979e-02    1.484329e+00   1.510421e-01
  2.542025e-02    1.271358e+00   1.335806e-01
  2.763070e-02    1.356185e+00   1.323274e-01
  2.984116e-02    1.253233e+00   1.224031e-01
  3.205162e-02    1.294303e+00   1.200340e-01
  3.426207e-02    1.277362e+00   1.153272e-01
  3.647253e-02    1.247122e+00   1.104445e-01
  3.868299e-02    1.496023e+00   1.174667e-01
  4.089344e-02    1.378279e+00   1.096603e-01
  4.310390e-02    1.420248e+00   1.084191e-01
  4.531436e-02    1.200868e+00   9.723296e-02
  4.752481e-02    1.335640e+00   1.001299e-01
  4.973527e-02    1.521128e+00   1.044563e-01
  5.194572e-02    1.407966e+00   9.833294e-02
  5.415618e-02    1.522750e+00   1.001505e-01
  5.636664e-02    1.539665e+00   9.871392e-02
  5.857709e-02    1.415033e+00   9.283204e-02
  6.078755e-02    1.375489e+00   8.984337e-02
  6.299801e-02    1.295199e+00   8.563764e-02
  6.520846e-02    1.472297e+00   8.974460e-02
  6.741892e-02    1.425996e+00   8.685784e-02
  6.962938e-02    1.394636e+00   8.452726e-02
  7.183983e-02    1.358037e+00   8.211602e-02
  7.405029e-02    1.262099e+00   7.797008e-02
  7.626074e-02    1.344303e+00   7.929374e-02
  7.847120e-02    1.373252e+00   7.900400e-02
  8.068166e-02    1.355854e+00   7.741848e-02
  8.289211e-02    1.406231e+00   7.778487e-02
  8.510257e-02    1.353477e+00   7.531382e-02
  8.731303e-02    1.454910e+00   7.708728e-02
  8.952348e-02    1.339296e+00   7.304424e-02
  9.173394e-02    1.376755e+00   7.315806e-02
  9.394439e-02    1.421815e+00   7.346337e-02
  9.615485e-02    1.427538e+00   7.275847e-02
  9.836531e-02    1.396316e+00   7.114334e-02
  1.005758e-01    1.439913e+00   7.144757e-02
  1.027862e-01    1.445382e+00   7.080748e-02
  1.049967e-01    1.466968e+00   7.057815e-02
  1.072071e-01    1.435682e+00   6.909713e-02
  1.094176e-01    1.463860e+00   6.906247e-02
  1.116280e-01    1.485026e+00   6.886631e-02
  1.138385e-01    1.420007e+00   6.668352e-02
  1.160490e-01    1.509431e+00   6.809238e-02
  1.182594e-01    1.522092e+00   6.773385e-02
  1.204699e-01    1.526471e+00   6.720550e-02
  1.226803e-01    1.551483e+00   6.713791e-02
  1.248908e-01    1.477568e+00   6.493597e-02
  1.271012e-01    1.491300e+00   6.466596e-02
  1.293117e-01    1.516716e+00   6.465407e-02
  1.315222e-01    1.531675e+00   6.442235e-02
  1.337326e-01    1.551193e+00   6.429224e-02
  1.359431e-01    1.587444e+00   6.507721e-02
  1.381535e-01    1.595637e+00   6.612073e-02
  1.403640e-01    1.514313e+00   6.469186e-02
  1.425744e-01    1.478034e+00   6.401432e-02
  1.447849e-01    1.549464e+00   6.555799e-02
  1.469953e-01    1.550003e+00   6.552833e-02
  1.492058e-01    1.492968e+00   6.423670e-02
  1.514163e-01    1.480861e+00   6.386945e-02
  1.536267e-01    1.578165e+00   6.580570e-02
  1.558372e-01    1.493873e+00   6.388286e-02
  1.580476e-01    1.501705e+00   6.389467e-02
  1.602581e-01    1.534661e+00   6.442793e-02
  1.624685e-01    1.594727e+00   6.549685e-02
  1.646790e-01    1.625229e+00   6.593041e-02
  1.668895e-01    1.578126e+00   6.478032e-02
  1.690999e-01    1.684564e+00   6.672828e-02
  1.713104e-01    1.726764e+00   6.734928e-02
  1.735208e-01    1.679649e+00   6.621756e-02
  1.757313e-01    1.769179e+00   6.774642e-02
  1.779417e-01    1.746196e+00   6.708545e-02
  1.801522e-01    1.811698e+00   6.811444e-02
  1.823626e-01    1.863938e+00   6.885954e-02
  1.845731e-01    1.789675e+00   6.725527e-02
  1.867836e-01    1.798612e+00   6.719544e-02
  1.889940e-01    1.806681e+00   6.712593e-02
  1.912045e-01    1.897199e+00   6.855723e-02
  1.934149e-01    1.862816e+00   6.770582e-02
  1.956254e-01    1.898430e+00   6.812450e-02
  1.978358e-01    1.969548e+00   6.915103e-02
  2.000463e-01    1.920133e+00   6.805178e-02
  2.022568e-01    1.911178e+00   6.767005e-02
  2.044672e-01    1.915059e+00   6.750668e-02
  2.066777e-01    1.911840e+00   6.722602e-02
  2.088881e-01    1.947378e+00   6.762600e-02
  2.110986e-01    1.898018e+00   6.653450e-02
  2.133090e-01    1.980824e+00   6.774939e-02
  2.155195e-01    2.003380e+00   6.790804e-02
  2.177300e-01    1.920960e+00   6.597410e-02
  2.199404e-01    1.858214e+00   6.317787e-02
  2.221509e-01    1.904936e+00   6.291683e-02
  2.243613e-01    1.950733e+00   6.286149e-02
  2.265718e-01    1.990719e+00   6.280255e-02
  2.287822e-01    2.030914e+00   6.280556e-02
  2.309927e-01    2.030135e+00   6.222150e-02
  2.332031e-01    2.005587e+00   6.131484e-02
  2.354136e-01    1.972164e+00   6.030902e-02
  2.376241e-01    2.039663e+00   6.085631e-02
  2.398345e-01    2.145099e+00   6.194757e-02
  2.420450e-01    2.049400e+00   6.011724e-02
  2.442554e-01    2.063089e+00   5.990212e-02
  2.464659e-01    2.038562e+00   5.914522e-02
  2.486763e-01    2.035584e+00   5.871351e-02
  2.508868e-01    2.075516e+00   5.891259e-02
  2.530973e-01    2.096957e+00   5.884900e-02
  2.553077e-01    1.996831e+00   5.707850e-02
  2.575182e-01    2.009711e+00   5.692349e-02
  2.597286e-01    1.995116e+00   5.638672e-02
  2.619391e-01    2.002798e+00   5.616994e-02
  2.641495e-01    1.942872e+00   5.501702e-02
  2.663600e-01    1.968374e+00   5.507239e-02
  2.685704e-01    1.888179e+00   5.364645e-02
  2.707809e-01    1.933679e+00   5.400082e-02
  2.729914e-01    1.895929e+00   5.319244e-02
  2.752018e-01    1.949626e+00   5.365969e-02
  2.774123e-01    1.933120e+00   5.315915e-02
  2.796227e-01    1.951040e+00   5.314076e-02
  2.818332e-01    2.043485e+00   5.411390e-02
  2.840436e-01    1.854035e+00   5.129462e-02
  2.862541e-01    1.899995e+00   5.167684e-02
  2.884646e-01    1.933141e+00   5.187830e-02
  2.906750e-01    1.909985e+00   5.132214e-02
  2.928855e-01    1.912436e+00   5.111710e-02
  2.950959e-01    1.911109e+00   5.086464e-02
  2.973064e-01    1.879056e+00   5.020962e-02
  2.995168e-01    1.816575e+00   4.914422e-02
  3.017273e-01    1.802048e+00   4.873149e-02
  3.039377e-01    1.863426e+00   4.933747e-02
  3.061482e-01    1.907757e+00   4.970494e-02
  3.083587e-01    1.835432e+00   4.854263e-02
  3.105691e-01    1.846998e+00   4.848732e-02
  3.127796e-01    1.849787e+00   4.831994e-02
  3.149900e-01    1.809479e+00   4.759144e-02
  3.172005e-01    1.790891e+00   4.715277e-02
  3.194109e-01    1.808410e+00   4.718722e-02
  3.216214e-01    1.825384e+00   4.721475e-02
  3.238319e-01    1.778554e+00   4.642050e-02
  3.260423e-01    1.767435e+00   4.609086e-02
  3.282528e-01    1.700045e+00   4.502366e-02
  3.304632e-01    1.808010e+00   4.625142e-02
  3.326737e-01    1.840088e+00   4.647790e-02
  3.348841e-01    1.777124e+00   4.549867e-02
  3.370946e-01    1.776510e+00   4.531964e-02
  3.393050e-01    1.744801e+00   4.474324e-02
  3.415155e-01    1.769104e+00   4.488437e-02
  3.437260e-01    1.783091e+00   4.489443e-02
  3.459364e-01    1.748412e+00   4.429127e-02
  3.481469e-01    1.764032e+00   4.432628e-02
  3.503573e-01    1.786180e+00   4.444120e-02
  3.525678e-01    1.746615e+00   4.378962e-02
  3.547782e-01    1.685180e+00   4.285716e-02
  3.569887e-01    1.679485e+00   4.263306e-02
  3.591992e-01    1.762047e+00   4.351386e-02
  3.614096e-01    1.781872e+00   4.360628e-02
  3.636201e-01    1.779297e+00   4.342163e-02
  3.658305e-01    1.740841e+00   4.280333e-02
  3.680410e-01    1.739410e+00   4.263856e-02
  3.702514e-01    1.748981e+00   4.261193e-02
  3.724619e-01    1.706288e+00   4.194531e-02
  3.746724e-01    1.729943e+00   4.209414e-02
  3.768828e-01    1.750153e+00   4.219684e-02
  3.790933e-01    1.745779e+00   4.200675e-02
  3.813037e-01    1.684318e+00   4.112571e-02
  3.835142e-01    1.671394e+00   4.083304e-02
  3.857246e-01    1.716046e+00   4.124099e-02
