# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166630",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "GArfcNEt1V6xc1UZNNeAVg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000027.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.015417e+00   5.452669e-01
  3.315685e-03    1.449233e+00   3.960176e-01
  5.526141e-03    1.366915e+00   2.974013e-01
  7.736597e-03    1.182964e+00   2.337255e-01
  9.947054e-03    1.135288e+00   2.018503e-01
  1.215751e-02    1.290982e+00   1.946385e-01
  1.436797e-02    1.358721e+00   1.836711e-01
  1.657842e-02    1.205588e+00   1.610437e-01
  1.878888e-02    1.230705e+00   1.528412e-01
  2.099934e-02    1.310765e+00   1.492329e-01
  2.320979e-02    1.285969e+00   1.405880e-01
  2.542025e-02    1.217562e+00   1.307239e-01
  2.763070e-02    1.328430e+00   1.309663e-01
  2.984116e-02    1.514820e+00   1.345727e-01
  3.205162e-02    1.482305e+00   1.284562e-01
  3.426207e-02    1.366627e+00   1.192888e-01
  3.647253e-02    1.357576e+00   1.152317e-01
  3.868299e-02    1.229248e+00   1.064794e-01
  4.089344e-02    1.323511e+00   1.074594e-01
  4.310390e-02    1.394957e+00   1.074495e-01
  4.531436e-02    1.354123e+00   1.032512e-01
  4.752481e-02    1.293441e+00   9.853540e-02
  4.973527e-02    1.340454e+00   9.805680e-02
  5.194572e-02    1.596333e+00   1.047043e-01
  5.415618e-02    1.409982e+00   9.637082e-02
  5.636664e-02    1.321631e+00   9.145772e-02
  5.857709e-02    1.317412e+00   8.957262e-02
  6.078755e-02    1.476375e+00   9.307986e-02
  6.299801e-02    1.413877e+00   8.947512e-02
  6.520846e-02    1.326866e+00   8.519699e-02
  6.741892e-02    1.294394e+00   8.275286e-02
  6.962938e-02    1.353386e+00   8.326781e-02
  7.183983e-02    1.390825e+00   8.310140e-02
  7.405029e-02    1.321469e+00   7.978287e-02
  7.626074e-02    1.402714e+00   8.099811e-02
  7.847120e-02    1.406406e+00   7.995202e-02
  8.068166e-02    1.362757e+00   7.761533e-02
  8.289211e-02    1.372214e+00   7.683829e-02
  8.510257e-02    1.455720e+00   7.810669e-02
  8.731303e-02    1.458571e+00   7.718422e-02
  8.952348e-02    1.443496e+00   7.583252e-02
  9.173394e-02    1.356071e+00   7.260642e-02
  9.394439e-02    1.374722e+00   7.223652e-02
  9.615485e-02    1.457388e+00   7.351523e-02
  9.836531e-02    1.354521e+00   7.007051e-02
  1.005758e-01    1.388808e+00   7.016822e-02
  1.027862e-01    1.449090e+00   7.089826e-02
  1.049967e-01    1.416808e+00   6.936102e-02
  1.072071e-01    1.436995e+00   6.912868e-02
  1.094176e-01    1.486534e+00   6.959529e-02
  1.116280e-01    1.482054e+00   6.879736e-02
  1.138385e-01    1.423631e+00   6.676856e-02
  1.160490e-01    1.526389e+00   6.847382e-02
  1.182594e-01    1.446994e+00   6.604179e-02
  1.204699e-01    1.401903e+00   6.440500e-02
  1.226803e-01    1.422936e+00   6.429646e-02
  1.248908e-01    1.410349e+00   6.344171e-02
  1.271012e-01    1.481212e+00   6.444687e-02
  1.293117e-01    1.594718e+00   6.629574e-02
  1.315222e-01    1.611681e+00   6.608347e-02
  1.337326e-01    1.406186e+00   6.121349e-02
  1.359431e-01    1.508113e+00   6.343029e-02
  1.381535e-01    1.568345e+00   6.555282e-02
  1.403640e-01    1.541231e+00   6.526427e-02
  1.425744e-01    1.478466e+00   6.402370e-02
  1.447849e-01    1.460362e+00   6.364510e-02
  1.469953e-01    1.498740e+00   6.443562e-02
  1.492058e-01    1.561165e+00   6.568741e-02
  1.514163e-01    1.526025e+00   6.483612e-02
  1.536267e-01    1.502993e+00   6.421934e-02
  1.558372e-01    1.581096e+00   6.572136e-02
  1.580476e-01    1.572095e+00   6.537502e-02
  1.602581e-01    1.593392e+00   6.564917e-02
  1.624685e-01    1.565227e+00   6.488825e-02
  1.646790e-01    1.580893e+00   6.502489e-02
  1.668895e-01    1.634546e+00   6.592816e-02
  1.690999e-01    1.570791e+00   6.443553e-02
  1.713104e-01    1.617877e+00   6.519121e-02
  1.735208e-01    1.793275e+00   6.842066e-02
  1.757313e-01    1.731056e+00   6.701256e-02
  1.779417e-01    1.696316e+00   6.612039e-02
  1.801522e-01    1.659856e+00   6.519760e-02
  1.823626e-01    1.768566e+00   6.707472e-02
  1.845731e-01    1.846306e+00   6.831107e-02
  1.867836e-01    1.867896e+00   6.847741e-02
  1.889940e-01    1.922188e+00   6.923849e-02
  1.912045e-01    1.871415e+00   6.808978e-02
  1.934149e-01    1.842556e+00   6.733660e-02
  1.956254e-01    1.939556e+00   6.885846e-02
  1.978358e-01    1.910212e+00   6.810144e-02
  2.000463e-01    1.915609e+00   6.797154e-02
  2.022568e-01    1.923681e+00   6.789105e-02
  2.044672e-01    1.830379e+00   6.599730e-02
  2.066777e-01    1.894305e+00   6.691702e-02
  2.088881e-01    1.943874e+00   6.756511e-02
  2.110986e-01    1.987959e+00   6.809269e-02
  2.133090e-01    1.835352e+00   6.521422e-02
  2.155195e-01    1.888478e+00   6.593187e-02
  2.177300e-01    1.978142e+00   6.694883e-02
  2.199404e-01    1.918961e+00   6.420226e-02
  2.221509e-01    1.892372e+00   6.270901e-02
  2.243613e-01    1.936491e+00   6.263161e-02
  2.265718e-01    1.935341e+00   6.192288e-02
  2.287822e-01    1.926509e+00   6.116992e-02
  2.309927e-01    2.049649e+00   6.251980e-02
  2.332031e-01    2.117329e+00   6.299979e-02
  2.354136e-01    2.078353e+00   6.191134e-02
  2.376241e-01    2.106308e+00   6.184256e-02
  2.398345e-01    2.111078e+00   6.145436e-02
  2.420450e-01    2.040156e+00   5.998148e-02
  2.442554e-01    2.028550e+00   5.939859e-02
  2.464659e-01    2.090115e+00   5.988840e-02
  2.486763e-01    2.124014e+00   5.997525e-02
  2.508868e-01    2.096855e+00   5.921470e-02
  2.530973e-01    2.059002e+00   5.831396e-02
  2.553077e-01    2.087413e+00   5.835875e-02
  2.575182e-01    2.035182e+00   5.728308e-02
  2.597286e-01    2.012540e+00   5.663241e-02
  2.619391e-01    2.014129e+00   5.632859e-02
  2.641495e-01    2.037845e+00   5.634566e-02
  2.663600e-01    2.014984e+00   5.572062e-02
  2.685704e-01    1.969535e+00   5.478999e-02
  2.707809e-01    2.004128e+00   5.497572e-02
  2.729914e-01    1.964576e+00   5.414686e-02
  2.752018e-01    1.960719e+00   5.381213e-02
  2.774123e-01    1.979448e+00   5.379235e-02
  2.796227e-01    1.925249e+00   5.278839e-02
  2.818332e-01    1.885712e+00   5.198293e-02
