# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166614",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "lAJHtf3iSr/xbs7jDD/61g==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000031.dat
#        q_A^-1              I           sigma 
  1.105228e-03    8.573812e-01   5.010418e-01
  3.315685e-03    1.237074e+00   3.658839e-01
  5.526141e-03    1.319268e+00   2.921720e-01
  7.736597e-03    8.987182e-01   2.037192e-01
  9.947054e-03    1.402150e+00   2.243230e-01
  1.215751e-02    1.690382e+00   2.227209e-01
  1.436797e-02    1.491313e+00   1.924244e-01
  1.657842e-02    1.306576e+00   1.676532e-01
  1.878888e-02    1.546420e+00   1.713276e-01
  2.099934e-02    1.357960e+00   1.518957e-01
  2.320979e-02    1.426428e+00   1.480668e-01
  2.542025e-02    1.393647e+00   1.398575e-01
  2.763070e-02    1.325273e+00   1.308106e-01
  2.984116e-02    1.443714e+00   1.313763e-01
  3.205162e-02    1.440667e+00   1.266392e-01
  3.426207e-02    1.432456e+00   1.221281e-01
  3.647253e-02    1.476719e+00   1.201818e-01
  3.868299e-02    1.424327e+00   1.146174e-01
  4.089344e-02    1.563851e+00   1.168095e-01
  4.310390e-02    1.573093e+00   1.141041e-01
  4.531436e-02    1.379681e+00   1.042210e-01
  4.752481e-02    1.465626e+00   1.048891e-01
  4.973527e-02    1.443647e+00   1.017612e-01
  5.194572e-02    1.296497e+00   9.436017e-02
  5.415618e-02    1.391913e+00   9.575132e-02
  5.636664e-02    1.345500e+00   9.227989e-02
  5.857709e-02    1.374435e+00   9.149064e-02
  6.078755e-02    1.299690e+00   8.733279e-02
  6.299801e-02    1.369079e+00   8.804621e-02
  6.520846e-02    1.455421e+00   8.922879e-02
  6.741892e-02    1.329369e+00   8.386345e-02
  6.962938e-02    1.352576e+00   8.324289e-02
  7.183983e-02    1.511898e+00   8.664294e-02
  7.405029e-02    1.515148e+00   8.542970e-02
  7.626074e-02    1.426081e+00   8.166998e-02
  7.847120e-02    1.498973e+00   8.254123e-02
  8.068166e-02    1.434412e+00   7.962974e-02
  8.289211e-02    1.367685e+00   7.671138e-02
  8.510257e-02    1.430645e+00   7.743108e-02
