# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166594",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "U0tXAEl3aYRPBdhqfwuuHw==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000032.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.649737e+00   6.950153e-01
  3.315685e-03    1.245036e+00   3.670594e-01
  5.526141e-03    1.581167e+00   3.198608e-01
  7.736597e-03    1.689524e+00   2.793202e-01
  9.947054e-03    1.257714e+00   2.124552e-01
  1.215751e-02    9.637064e-01   1.681671e-01
  1.436797e-02    1.261798e+00   1.769990e-01
  1.657842e-02    1.378820e+00   1.722258e-01
  1.878888e-02    1.226912e+00   1.526055e-01
  2.099934e-02    1.224749e+00   1.442533e-01
  2.320979e-02    1.391494e+00   1.462425e-01
  2.542025e-02    1.331329e+00   1.366949e-01
  2.763070e-02    1.434430e+00   1.360912e-01
  2.984116e-02    1.509727e+00   1.343463e-01
  3.205162e-02    1.543356e+00   1.310748e-01
  3.426207e-02    1.403005e+00   1.208661e-01
  3.647253e-02    1.279692e+00   1.118774e-01
  3.868299e-02    1.426747e+00   1.147147e-01
  4.089344e-02    1.450423e+00   1.124937e-01
  4.310390e-02    1.430356e+00   1.088043e-01
  4.531436e-02    1.510000e+00   1.090321e-01
  4.752481e-02    1.482693e+00   1.054981e-01
  4.973527e-02    1.308386e+00   9.687679e-02
  5.194572e-02    1.266117e+00   9.324808e-02
  5.415618e-02    1.429746e+00   9.704389e-02
  5.636664e-02    1.439932e+00   9.546323e-02
  5.857709e-02    1.479618e+00   9.492692e-02
  6.078755e-02    1.509335e+00   9.411313e-02
  6.299801e-02    1.490862e+00   9.187876e-02
  6.520846e-02    1.485345e+00   9.014140e-02
  6.741892e-02    1.414621e+00   8.651073e-02
  6.962938e-02    1.408682e+00   8.495186e-02
  7.183983e-02    1.490213e+00   8.601937e-02
  7.405029e-02    1.465651e+00   8.402268e-02
  7.626074e-02    1.433575e+00   8.188426e-02
  7.847120e-02    1.503986e+00   8.267914e-02
  8.068166e-02    1.452270e+00   8.012389e-02
  8.289211e-02    1.395652e+00   7.749173e-02
  8.510257e-02    1.436638e+00   7.759309e-02
