# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166594",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "HSqAfeWGoNk0t88V5enBaw==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000035.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.217200e+00   5.969912e-01
  3.315685e-03    1.330227e+00   3.794096e-01
  5.526141e-03    1.546481e+00   3.163330e-01
  7.736597e-03    1.209880e+00   2.363694e-01
  9.947054e-03    1.354075e+00   2.204438e-01
  1.215751e-02    1.441869e+00   2.056987e-01
  1.436797e-02    1.405403e+00   1.867997e-01
  1.657842e-02    1.358100e+00   1.709268e-01
  1.878888e-02    1.585346e+00   1.734705e-01
  2.099934e-02    1.569414e+00   1.632942e-01
  2.320979e-02    1.343437e+00   1.436949e-01
  2.542025e-02    1.437680e+00   1.420498e-01
  2.763070e-02    1.341151e+00   1.315919e-01
  2.984116e-02    1.430283e+00   1.307638e-01
  3.205162e-02    1.389115e+00   1.243527e-01
  3.426207e-02    1.409520e+00   1.211464e-01
  3.647253e-02    1.509486e+00   1.215078e-01
  3.868299e-02    1.446261e+00   1.154965e-01
  4.089344e-02    1.395471e+00   1.103421e-01
  4.310390e-02    1.359792e+00   1.060865e-01
  4.531436e-02    1.386127e+00   1.044642e-01
  4.752481e-02    1.473547e+00   1.051722e-01
  4.973527e-02    1.534659e+00   1.049199e-01
  5.194572e-02    1.369045e+00   9.696430e-02
  5.415618e-02    1.341333e+00   9.399548e-02
  5.636664e-02    1.494012e+00   9.723937e-02
  5.857709e-02    1.521749e+00   9.626892e-02
  6.078755e-02    1.463314e+00   9.266721e-02
  6.299801e-02    1.568142e+00   9.422998e-02
  6.520846e-02    1.496043e+00   9.046544e-02
  6.741892e-02    1.554557e+00   9.068871e-02
  6.962938e-02    1.655608e+00   9.209692e-02
  7.183983e-02    1.420972e+00   8.399723e-02
  7.405029e-02    1.306058e+00   7.931629e-02
  7.626074e-02    1.373633e+00   8.015407e-02
  7.847120e-02    1.553613e+00   8.403213e-02
  8.068166e-02    1.453736e+00   8.016431e-02
  8.289211e-02    1.511153e+00   8.063451e-02
  8.510257e-02    1.477079e+00   7.867762e-02
  8.731303e-02    1.414268e+00   7.600297e-02
  8.952348e-02    1.401238e+00   7.471425e-02
  9.173394e-02    1.485740e+00   7.599854e-02
  9.394439e-02    1.505279e+00   7.558887e-02
  9.615485e-02    1.451618e+00   7.336957e-02
  9.836531e-02    1.380191e+00   7.073138e-02
  1.005758e-01    1.333673e+00   6.876131e-02
  1.027862e-01    1.485815e+00   7.179102e-02
  1.049967e-01    1.610937e+00   7.396039e-02
  1.072071e-01    1.520876e+00   7.111771e-02
  1.094176e-01    1.514531e+00   7.024761e-02
  1.116280e-01    1.520306e+00   6.967953e-02
  1.138385e-01    1.542934e+00   6.950995e-02
  1.160490e-01    1.431965e+00   6.632210e-02
  1.182594e-01    1.457852e+00   6.628907e-02
  1.204699e-01    1.623070e+00   6.929936e-02
  1.226803e-01    1.542475e+00   6.694275e-02
  1.248908e-01    1.520767e+00   6.587839e-02
  1.271012e-01    1.555689e+00   6.604724e-02
  1.293117e-01    1.627395e+00   6.697154e-02
  1.315222e-01    1.598216e+00   6.580684e-02
  1.337326e-01    1.576139e+00   6.480715e-02
  1.359431e-01    1.602256e+00   6.538010e-02
  1.381535e-01    1.629458e+00   6.681781e-02
  1.403640e-01    1.554363e+00   6.554174e-02
  1.425744e-01    1.543596e+00   6.541867e-02
  1.447849e-01    1.654035e+00   6.773408e-02
  1.469953e-01    1.684420e+00   6.831060e-02
  1.492058e-01    1.565382e+00   6.577608e-02
  1.514163e-01    1.574997e+00   6.586821e-02
  1.536267e-01    1.616466e+00   6.659947e-02
  1.558372e-01    1.600777e+00   6.612912e-02
  1.580476e-01    1.733283e+00   6.864472e-02
  1.602581e-01    1.666973e+00   6.714789e-02
  1.624685e-01    1.658421e+00   6.679203e-02
  1.646790e-01    1.638791e+00   6.620491e-02
  1.668895e-01    1.679688e+00   6.683235e-02
  1.690999e-01    1.698011e+00   6.699409e-02
  1.713104e-01    1.794237e+00   6.865250e-02
  1.735208e-01    1.725803e+00   6.712116e-02
  1.757313e-01    1.817067e+00   6.865719e-02
  1.779417e-01    1.859595e+00   6.922947e-02
  1.801522e-01    1.840932e+00   6.866185e-02
  1.823626e-01    1.862424e+00   6.883153e-02
  1.845731e-01    1.989278e+00   7.090665e-02
  1.867836e-01    2.000702e+00   7.086998e-02
  1.889940e-01    1.940810e+00   6.957305e-02
  1.912045e-01    1.960367e+00   6.968922e-02
  1.934149e-01    1.931467e+00   6.894210e-02
  1.956254e-01    1.993604e+00   6.981128e-02
  1.978358e-01    1.992838e+00   6.955869e-02
  2.000463e-01    2.024605e+00   6.987854e-02
  2.022568e-01    2.048408e+00   7.005741e-02
  2.044672e-01    2.032285e+00   6.954212e-02
  2.066777e-01    1.998106e+00   6.872598e-02
  2.088881e-01    2.014945e+00   6.878919e-02
  2.110986e-01    1.939612e+00   6.725957e-02
  2.133090e-01    1.961743e+00   6.742229e-02
  2.155195e-01    1.929984e+00   6.665251e-02
  2.177300e-01    1.902353e+00   6.565379e-02
  2.199404e-01    1.896481e+00   6.382509e-02
  2.221509e-01    2.036427e+00   6.505205e-02
  2.243613e-01    2.081058e+00   6.492738e-02
  2.265718e-01    1.997012e+00   6.290176e-02
  2.287822e-01    2.102552e+00   6.390364e-02
  2.309927e-01    2.159586e+00   6.417460e-02
  2.332031e-01    2.210576e+00   6.437209e-02
  2.354136e-01    2.236076e+00   6.421757e-02
  2.376241e-01    2.185772e+00   6.299833e-02
  2.398345e-01    2.230938e+00   6.317486e-02
  2.420450e-01    2.205789e+00   6.236882e-02
  2.442554e-01    2.211831e+00   6.202392e-02
  2.464659e-01    2.168916e+00   6.100693e-02
  2.486763e-01    2.083107e+00   5.939490e-02
  2.508868e-01    2.209944e+00   6.079051e-02
  2.530973e-01    2.150278e+00   5.959250e-02
  2.553077e-01    2.128380e+00   5.892864e-02
  2.575182e-01    2.130214e+00   5.860523e-02
  2.597286e-01    2.141312e+00   5.841612e-02
  2.619391e-01    2.149841e+00   5.819537e-02
  2.641495e-01    2.143310e+00   5.778531e-02
  2.663600e-01    2.126499e+00   5.724173e-02
  2.685704e-01    2.033016e+00   5.566598e-02
  2.707809e-01    2.021726e+00   5.521655e-02
  2.729914e-01    1.929138e+00   5.365628e-02
  2.752018e-01    1.991228e+00   5.422917e-02
  2.774123e-01    1.974506e+00   5.372516e-02
  2.796227e-01    2.033573e+00   5.425312e-02
  2.818332e-01    2.043819e+00   5.411832e-02
  2.840436e-01    1.973705e+00   5.292413e-02
  2.862541e-01    1.996739e+00   5.297618e-02
  2.884646e-01    1.981573e+00   5.252414e-02
  2.906750e-01    2.004179e+00   5.257245e-02
  2.928855e-01    2.010815e+00   5.241539e-02
  2.950959e-01    1.994096e+00   5.195728e-02
  2.973064e-01    2.002810e+00   5.183664e-02
  2.995168e-01    1.948849e+00   5.090199e-02
  3.017273e-01    1.953551e+00   5.073865e-02
  3.039377e-01    1.914616e+00   5.001057e-02
  3.061482e-01    1.845780e+00   4.889089e-02
  3.083587e-01    1.861487e+00   4.888594e-02
  3.105691e-01    1.911730e+00   4.932968e-02
