# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166600",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "su5Z1bP4ixXNkK6B3wZiaQ==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000037.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.923641e+00   7.504970e-01
  3.315685e-03    1.511747e+00   4.044687e-01
  5.526141e-03    1.392930e+00   3.002181e-01
  7.736597e-03    1.727996e+00   2.824825e-01
  9.947054e-03    1.526292e+00   2.340429e-01
  1.215751e-02    1.610890e+00   2.174210e-01
  1.436797e-02    1.521256e+00   1.943466e-01
  1.657842e-02    1.456890e+00   1.770345e-01
  1.878888e-02    1.427183e+00   1.645900e-01
  2.099934e-02    1.427949e+00   1.557609e-01
  2.320979e-02    1.470054e+00   1.503140e-01
  2.542025e-02    1.459481e+00   1.431227e-01
  2.763070e-02    1.353317e+00   1.321874e-01
  2.984116e-02    1.303661e+00   1.248415e-01
  3.205162e-02    1.434267e+00   1.263575e-01
  3.426207e-02    1.530993e+00   1.262587e-01
  3.647253e-02    1.334657e+00   1.142548e-01
  3.868299e-02    1.533630e+00   1.189340e-01
  4.089344e-02    1.496176e+00   1.142542e-01
  4.310390e-02    1.582806e+00   1.144558e-01
  4.531436e-02    1.335549e+00   1.025406e-01
  4.752481e-02    1.276369e+00   9.788296e-02
  4.973527e-02    1.465139e+00   1.025159e-01
  5.194572e-02    1.506768e+00   1.017246e-01
  5.415618e-02    1.534213e+00   1.005267e-01
  5.636664e-02    1.495524e+00   9.728859e-02
  5.857709e-02    1.461053e+00   9.432949e-02
  6.078755e-02    1.509145e+00   9.410718e-02
  6.299801e-02    1.482719e+00   9.162751e-02
  6.520846e-02    1.440141e+00   8.875919e-02
  6.741892e-02    1.444211e+00   8.741082e-02
  6.962938e-02    1.449636e+00   8.617789e-02
  7.183983e-02    1.520400e+00   8.688623e-02
  7.405029e-02    1.489699e+00   8.470918e-02
  7.626074e-02    1.570406e+00   8.570305e-02
  7.847120e-02    1.534169e+00   8.350462e-02
  8.068166e-02    1.563916e+00   8.314669e-02
  8.289211e-02    1.523069e+00   8.095180e-02
  8.510257e-02    1.514528e+00   7.966873e-02
