# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166622",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "xn+A/hGaiRmxkeavlzs1aQ==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000041.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.659771e+00   6.971257e-01
  3.315685e-03    1.252164e+00   3.681086e-01
  5.526141e-03    9.478458e-01   2.476515e-01
  7.736597e-03    1.262944e+00   2.414973e-01
  9.947054e-03    1.319093e+00   2.175777e-01
  1.215751e-02    1.252931e+00   1.917486e-01
  1.436797e-02    1.163928e+00   1.699961e-01
  1.657842e-02    1.387280e+00   1.727533e-01
  1.878888e-02    1.527472e+00   1.702747e-01
  2.099934e-02    1.470893e+00   1.580857e-01
  2.320979e-02    1.349395e+00   1.440132e-01
  2.542025e-02    1.392572e+00   1.398036e-01
  2.763070e-02    1.420303e+00   1.354194e-01
  2.984116e-02    1.492543e+00   1.335795e-01
  3.205162e-02    1.453906e+00   1.272197e-01
  3.426207e-02    1.492132e+00   1.246460e-01
  3.647253e-02    1.588780e+00   1.246584e-01
  3.868299e-02    1.525459e+00   1.186167e-01
  4.089344e-02    1.499515e+00   1.143816e-01
  4.310390e-02    1.455396e+00   1.097525e-01
  4.531436e-02    1.533527e+00   1.098782e-01
  4.752481e-02    1.520732e+00   1.068428e-01
  4.973527e-02    1.559971e+00   1.057816e-01
  5.194572e-02    1.488380e+00   1.011020e-01
  5.415618e-02    1.464060e+00   9.820149e-02
  5.636664e-02    1.563691e+00   9.948115e-02
  5.857709e-02    1.518670e+00   9.617145e-02
  6.078755e-02    1.559314e+00   9.565865e-02
  6.299801e-02    1.363585e+00   8.786937e-02
  6.520846e-02    1.492409e+00   9.035549e-02
  6.741892e-02    1.548317e+00   9.050650e-02
  6.962938e-02    1.359459e+00   8.345444e-02
  7.183983e-02    1.453104e+00   8.494159e-02
  7.405029e-02    1.531051e+00   8.587682e-02
  7.626074e-02    1.547222e+00   8.506811e-02
  7.847120e-02    1.437399e+00   8.082815e-02
  8.068166e-02    1.393094e+00   7.847449e-02
  8.289211e-02    1.463482e+00   7.935246e-02
  8.510257e-02    1.453070e+00   7.803559e-02
  8.731303e-02    1.509195e+00   7.851224e-02
  8.952348e-02    1.500182e+00   7.730711e-02
  9.173394e-02    1.516603e+00   7.678385e-02
  9.394439e-02    1.540908e+00   7.647819e-02
  9.615485e-02    1.603750e+00   7.711840e-02
  9.836531e-02    1.627259e+00   7.680167e-02
  1.005758e-01    1.587862e+00   7.502843e-02
  1.027862e-01    1.495272e+00   7.201914e-02
  1.049967e-01    1.530938e+00   7.210057e-02
  1.072071e-01    1.499276e+00   7.061087e-02
  1.094176e-01    1.582921e+00   7.181611e-02
  1.116280e-01    1.614411e+00   7.180370e-02
  1.138385e-01    1.605208e+00   7.089882e-02
  1.160490e-01    1.596043e+00   7.001875e-02
  1.182594e-01    1.462098e+00   6.638556e-02
  1.204699e-01    1.560444e+00   6.794925e-02
  1.226803e-01    1.598207e+00   6.814138e-02
  1.248908e-01    1.552383e+00   6.655966e-02
  1.271012e-01    1.531730e+00   6.553666e-02
  1.293117e-01    1.592786e+00   6.625559e-02
  1.315222e-01    1.622965e+00   6.631440e-02
  1.337326e-01    1.558845e+00   6.445063e-02
  1.359431e-01    1.498618e+00   6.323031e-02
  1.381535e-01    1.512442e+00   6.437392e-02
  1.403640e-01    1.582775e+00   6.613801e-02
  1.425744e-01    1.568540e+00   6.594515e-02
  1.447849e-01    1.626931e+00   6.717681e-02
  1.469953e-01    1.682715e+00   6.827603e-02
  1.492058e-01    1.586687e+00   6.622220e-02
  1.514163e-01    1.575491e+00   6.587856e-02
  1.536267e-01    1.631798e+00   6.691457e-02
  1.558372e-01    1.563366e+00   6.535184e-02
  1.580476e-01    1.575872e+00   6.545350e-02
  1.602581e-01    1.633860e+00   6.647760e-02
  1.624685e-01    1.676962e+00   6.716438e-02
  1.646790e-01    1.582938e+00   6.506696e-02
  1.668895e-01    1.665124e+00   6.654194e-02
  1.690999e-01    1.825239e+00   6.945862e-02
  1.713104e-01    1.882674e+00   7.032406e-02
  1.735208e-01    1.927606e+00   7.093702e-02
  1.757313e-01    1.841548e+00   6.911816e-02
  1.779417e-01    1.807117e+00   6.824566e-02
  1.801522e-01    1.894825e+00   6.965960e-02
  1.823626e-01    1.891483e+00   6.936645e-02
  1.845731e-01    1.961848e+00   7.041610e-02
  1.867836e-01    1.890037e+00   6.888207e-02
  1.889940e-01    1.902384e+00   6.888087e-02
  1.912045e-01    1.938786e+00   6.930456e-02
  1.934149e-01    1.870956e+00   6.785357e-02
  1.956254e-01    1.895842e+00   6.807806e-02
  1.978358e-01    1.953597e+00   6.887043e-02
  2.000463e-01    1.938096e+00   6.836934e-02
  2.022568e-01    1.950826e+00   6.836837e-02
  2.044672e-01    1.926480e+00   6.770767e-02
  2.066777e-01    1.974522e+00   6.831917e-02
  2.088881e-01    2.112124e+00   7.042846e-02
  2.110986e-01    1.946219e+00   6.737406e-02
  2.133090e-01    1.963853e+00   6.745853e-02
  2.155195e-01    2.036943e+00   6.847452e-02
  2.177300e-01    1.961598e+00   6.666829e-02
  2.199404e-01    2.008289e+00   6.567958e-02
  2.221509e-01    1.889811e+00   6.266657e-02
  2.243613e-01    1.979626e+00   6.332529e-02
  2.265718e-01    2.017793e+00   6.322820e-02
  2.287822e-01    2.029007e+00   6.277606e-02
  2.309927e-01    2.137107e+00   6.383973e-02
  2.332031e-01    2.165162e+00   6.370742e-02
  2.354136e-01    2.162219e+00   6.314813e-02
  2.376241e-01    2.138121e+00   6.230784e-02
  2.398345e-01    2.253561e+00   6.349435e-02
  2.420450e-01    2.198449e+00   6.226498e-02
  2.442554e-01    2.114313e+00   6.064122e-02
  2.464659e-01    2.089842e+00   5.988448e-02
  2.486763e-01    2.144739e+00   6.026716e-02
  2.508868e-01    2.200645e+00   6.066247e-02
  2.530973e-01    2.189063e+00   6.012753e-02
  2.553077e-01    2.191385e+00   5.979449e-02
  2.575182e-01    2.126019e+00   5.854750e-02
  2.597286e-01    2.096916e+00   5.780739e-02
  2.619391e-01    2.081141e+00   5.725798e-02
  2.641495e-01    2.060859e+00   5.666295e-02
  2.663600e-01    2.050236e+00   5.620591e-02
  2.685704e-01    2.063297e+00   5.607900e-02
  2.707809e-01    2.076737e+00   5.596273e-02
  2.729914e-01    2.076782e+00   5.567168e-02
  2.752018e-01    2.108963e+00   5.580936e-02
  2.774123e-01    1.979661e+00   5.379526e-02
  2.796227e-01    2.019744e+00   5.406832e-02
  2.818332e-01    2.035152e+00   5.400345e-02
  2.840436e-01    1.949396e+00   5.259722e-02
  2.862541e-01    1.956498e+00   5.243963e-02
  2.884646e-01    1.928840e+00   5.182055e-02
  2.906750e-01    2.028461e+00   5.288994e-02
  2.928855e-01    2.064622e+00   5.311206e-02
  2.950959e-01    2.073272e+00   5.297870e-02
  2.973064e-01    2.047220e+00   5.240821e-02
  2.995168e-01    2.023387e+00   5.186628e-02
  3.017273e-01    1.957700e+00   5.079252e-02
  3.039377e-01    1.874153e+00   4.947928e-02
  3.061482e-01    1.932104e+00   5.002109e-02
  3.083587e-01    1.913805e+00   4.956817e-02
  3.105691e-01    1.998356e+00   5.043492e-02
  3.127796e-01    1.956674e+00   4.969640e-02
