# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166608",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "D++/cwW/4ky/DlwfwRJomQ==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000042.dat
#        q_A^-1              I           sigma 
  1.105228e-03    2.481070e+00   8.523274e-01
  3.315685e-03    1.766437e+00   4.372145e-01
  5.526141e-03    1.430915e+00   3.042839e-01
  7.736597e-03    1.503622e+00   2.635054e-01
  9.947054e-03    1.321353e+00   2.177639e-01
  1.215751e-02    1.515421e+00   2.108799e-01
  1.436797e-02    1.324448e+00   1.813398e-01
  1.657842e-02    1.553582e+00   1.828148e-01
  1.878888e-02    1.381025e+00   1.619065e-01
  2.099934e-02    1.398134e+00   1.541262e-01
  2.320979e-02    1.455034e+00   1.495441e-01
  2.542025e-02    1.376632e+00   1.390011e-01
  2.763070e-02    1.410398e+00   1.349464e-01
  2.984116e-02    1.474566e+00   1.327726e-01
  3.205162e-02    1.426567e+00   1.260179e-01
  3.426207e-02    1.379539e+00   1.198511e-01
  3.647253e-02    1.548512e+00   1.230685e-01
  3.868299e-02    1.442152e+00   1.153323e-01
  4.089344e-02    1.410174e+00   1.109218e-01
  4.310390e-02    1.453946e+00   1.096978e-01
  4.531436e-02    1.531558e+00   1.098077e-01
  4.752481e-02    1.410756e+00   1.029070e-01
  4.973527e-02    1.418277e+00   1.008631e-01
  5.194572e-02    1.399352e+00   9.803168e-02
  5.415618e-02    1.442384e+00   9.747183e-02
  5.636664e-02    1.447697e+00   9.572033e-02
  5.857709e-02    1.311750e+00   8.937997e-02
  6.078755e-02    1.428766e+00   9.156676e-02
  6.299801e-02    1.489495e+00   9.183665e-02
  6.520846e-02    1.488595e+00   9.023997e-02
  6.741892e-02    1.537199e+00   9.018097e-02
  6.962938e-02    1.571081e+00   8.971513e-02
  7.183983e-02    1.519989e+00   8.687451e-02
  7.405029e-02    1.496745e+00   8.490928e-02
  7.626074e-02    1.526976e+00   8.450967e-02
  7.847120e-02    1.501621e+00   8.261409e-02
  8.068166e-02    1.490020e+00   8.115855e-02
  8.289211e-02    1.507027e+00   8.052436e-02
  8.510257e-02    1.439876e+00   7.768048e-02
  8.731303e-02    1.556715e+00   7.973873e-02
  8.952348e-02    1.524822e+00   7.793942e-02
  9.173394e-02    1.377802e+00   7.318589e-02
  9.394439e-02    1.426384e+00   7.358130e-02
  9.615485e-02    1.560421e+00   7.606950e-02
  9.836531e-02    1.599249e+00   7.613782e-02
  1.005758e-01    1.599482e+00   7.530247e-02
  1.027862e-01    1.623034e+00   7.503288e-02
  1.049967e-01    1.637891e+00   7.457659e-02
  1.072071e-01    1.479077e+00   7.013362e-02
  1.094176e-01    1.506925e+00   7.007099e-02
  1.116280e-01    1.466857e+00   6.844372e-02
  1.138385e-01    1.513265e+00   6.883840e-02
  1.160490e-01    1.563356e+00   6.929804e-02
  1.182594e-01    1.516469e+00   6.760863e-02
  1.204699e-01    1.541555e+00   6.753676e-02
  1.226803e-01    1.516799e+00   6.638323e-02
  1.248908e-01    1.541423e+00   6.632426e-02
  1.271012e-01    1.520559e+00   6.529726e-02
  1.293117e-01    1.569364e+00   6.576664e-02
  1.315222e-01    1.588242e+00   6.560116e-02
  1.337326e-01    1.616441e+00   6.563046e-02
  1.359431e-01    1.677068e+00   6.688907e-02
  1.381535e-01    1.631089e+00   6.685124e-02
  1.403640e-01    1.531589e+00   6.505983e-02
  1.425744e-01    1.479792e+00   6.405237e-02
  1.447849e-01    1.533467e+00   6.521870e-02
  1.469953e-01    1.590942e+00   6.638806e-02
  1.492058e-01    1.578532e+00   6.605180e-02
  1.514163e-01    1.586932e+00   6.611731e-02
  1.536267e-01    1.596964e+00   6.619649e-02
  1.558372e-01    1.636917e+00   6.687145e-02
  1.580476e-01    1.663478e+00   6.724823e-02
  1.602581e-01    1.719782e+00   6.820320e-02
  1.624685e-01    1.637752e+00   6.637453e-02
  1.646790e-01    1.621192e+00   6.584846e-02
  1.668895e-01    1.739545e+00   6.801272e-02
  1.690999e-01    1.758118e+00   6.816953e-02
  1.713104e-01    1.766524e+00   6.812025e-02
  1.735208e-01    1.828903e+00   6.909699e-02
  1.757313e-01    1.878834e+00   6.981438e-02
  1.779417e-01    1.914091e+00   7.023654e-02
  1.801522e-01    1.925334e+00   7.021817e-02
  1.823626e-01    1.926883e+00   7.001255e-02
  1.845731e-01    1.912159e+00   6.951863e-02
  1.867836e-01    1.985790e+00   7.060536e-02
  1.889940e-01    1.892287e+00   6.869785e-02
  1.912045e-01    1.949096e+00   6.948857e-02
  1.934149e-01    1.964136e+00   6.952273e-02
  1.956254e-01    1.893976e+00   6.804456e-02
  1.978358e-01    1.960095e+00   6.898485e-02
  2.000463e-01    1.957830e+00   6.871656e-02
  2.022568e-01    1.917518e+00   6.778219e-02
  2.044672e-01    1.966911e+00   6.841446e-02
  2.066777e-01    1.983017e+00   6.846599e-02
  2.088881e-01    1.986560e+00   6.830294e-02
  2.110986e-01    1.912383e+00   6.678580e-02
  2.133090e-01    1.941982e+00   6.708185e-02
  2.155195e-01    2.006128e+00   6.795461e-02
  2.177300e-01    2.076685e+00   6.859611e-02
  2.199404e-01    2.016846e+00   6.581938e-02
  2.221509e-01    1.968857e+00   6.396372e-02
  2.243613e-01    2.012406e+00   6.384746e-02
  2.265718e-01    1.990229e+00   6.279482e-02
  2.287822e-01    1.986256e+00   6.211122e-02
  2.309927e-01    2.021377e+00   6.208711e-02
  2.332031e-01    2.176433e+00   6.387301e-02
  2.354136e-01    2.181134e+00   6.342375e-02
  2.376241e-01    2.140103e+00   6.233671e-02
  2.398345e-01    2.175552e+00   6.238572e-02
  2.420450e-01    2.157197e+00   6.167804e-02
  2.442554e-01    2.067550e+00   5.996686e-02
  2.464659e-01    2.111672e+00   6.019643e-02
  2.486763e-01    2.156168e+00   6.042752e-02
  2.508868e-01    2.152837e+00   5.999993e-02
  2.530973e-01    2.103183e+00   5.893628e-02
  2.553077e-01    2.133936e+00   5.900550e-02
  2.575182e-01    2.148587e+00   5.885741e-02
  2.597286e-01    2.150524e+00   5.854166e-02
  2.619391e-01    2.131002e+00   5.793983e-02
  2.641495e-01    2.097310e+00   5.716184e-02
  2.663600e-01    2.050162e+00   5.620492e-02
  2.685704e-01    2.009841e+00   5.534777e-02
  2.707809e-01    2.087825e+00   5.611192e-02
  2.729914e-01    2.005601e+00   5.470930e-02
  2.752018e-01    2.087775e+00   5.552830e-02
  2.774123e-01    2.069746e+00   5.500563e-02
  2.796227e-01    2.025552e+00   5.414601e-02
  2.818332e-01    2.071905e+00   5.448889e-02
  2.840436e-01    2.028681e+00   5.365616e-02
  2.862541e-01    1.989245e+00   5.287666e-02
  2.884646e-01    1.994049e+00   5.268922e-02
  2.906750e-01    2.075297e+00   5.349706e-02
  2.928855e-01    2.014951e+00   5.246929e-02
  2.950959e-01    1.960777e+00   5.152137e-02
  2.973064e-01    2.009629e+00   5.192481e-02
  2.995168e-01    1.968972e+00   5.116409e-02
  3.017273e-01    1.950446e+00   5.069834e-02
  3.039377e-01    1.949219e+00   5.046044e-02
  3.061482e-01    1.903241e+00   4.964607e-02
  3.083587e-01    1.886129e+00   4.920846e-02
  3.105691e-01    1.940467e+00   4.969906e-02
  3.127796e-01    1.902481e+00   4.900331e-02
  3.149900e-01    1.971355e+00   4.967462e-02
  3.172005e-01    1.902812e+00   4.860385e-02
  3.194109e-01    1.893893e+00   4.828962e-02
  3.216214e-01    1.911514e+00   4.831578e-02
  3.238319e-01    1.961564e+00   4.875034e-02
  3.260423e-01    1.901244e+00   4.780374e-02
  3.282528e-01    1.875830e+00   4.729416e-02
  3.304632e-01    1.827854e+00   4.650457e-02
  3.326737e-01    1.940989e+00   4.773518e-02
  3.348841e-01    1.906673e+00   4.712787e-02
  3.370946e-01    1.910391e+00   4.699632e-02
  3.393050e-01    1.856381e+00   4.615173e-02
  3.415155e-01    1.855337e+00   4.596526e-02
  3.437260e-01    1.863381e+00   4.589408e-02
  3.459364e-01    1.789282e+00   4.480595e-02
  3.481469e-01    1.802311e+00   4.480463e-02
  3.503573e-01    1.785591e+00   4.443387e-02
  3.525678e-01    1.862455e+00   4.521843e-02
  3.547782e-01    1.836373e+00   4.473841e-02
  3.569887e-01    1.831065e+00   4.451542e-02
  3.591992e-01    1.850468e+00   4.459230e-02
  3.614096e-01    1.813506e+00   4.399166e-02
  3.636201e-01    1.808877e+00   4.378108e-02
  3.658305e-01    1.802040e+00   4.354919e-02
  3.680410e-01    1.833891e+00   4.378128e-02
  3.702514e-01    1.796398e+00   4.318570e-02
  3.724619e-01    1.767635e+00   4.269269e-02
  3.746724e-01    1.747804e+00   4.231087e-02
  3.768828e-01    1.790091e+00   4.267558e-02
  3.790933e-01    1.743985e+00   4.198516e-02
  3.813037e-01    1.801707e+00   4.253469e-02
  3.835142e-01    1.776890e+00   4.210201e-02
  3.857246e-01    1.761554e+00   4.178425e-02
  3.879351e-01    1.777686e+00   4.183928e-02
  3.901455e-01    1.833738e+00   4.235849e-02
  3.923560e-01    1.799567e+00   4.182861e-02
  3.945665e-01    1.752374e+00   4.114560e-02
  3.967769e-01    1.758566e+00   4.108912e-02
  3.989874e-01    1.863686e+00   4.216729e-02
  4.011978e-01    1.819597e+00   4.153745e-02
  4.034083e-01    1.787377e+00   4.104163e-02
  4.056187e-01    1.817744e+00   4.126131e-02
  4.078292e-01    1.818071e+00   4.114016e-02
  4.100397e-01    1.787138e+00   4.066412e-02
  4.122501e-01    1.773473e+00   4.038716e-02
  4.144606e-01    1.805899e+00   4.063385e-02
  4.166710e-01    1.851384e+00   4.102005e-02
  4.188815e-01    1.864519e+00   4.104373e-02
  4.210919e-01    1.866099e+00   4.094077e-02
  4.233024e-01    1.808589e+00   4.018642e-02
  4.255128e-01    1.839059e+00   4.040638e-02
  4.277233e-01    1.862107e+00   4.054197e-02
  4.299338e-01    1.858256e+00   4.038350e-02
  4.321442e-01    1.823442e+00   3.988895e-02
  4.343547e-01    1.812375e+00   3.965526e-02
  4.365651e-01    1.835740e+00   3.979668e-02
  4.387756e-01    1.764583e+00   3.890851e-02
  4.409860e-01    1.770669e+00   3.886756e-02
  4.431965e-01    1.743144e+00   3.845764e-02
  4.454070e-01    1.748852e+00   3.841337e-02
  4.476174e-01    1.774433e+00   3.858707e-02
  4.498279e-01    1.753712e+00   3.825673e-02
  4.520383e-01    1.713861e+00   3.771579e-02
  4.542488e-01    1.717701e+00   3.765618e-02
  4.564592e-01    1.761491e+00   3.803086e-02
  4.586697e-01    1.740102e+00   3.769894e-02
  4.608801e-01    1.690254e+00   3.705552e-02
  4.630906e-01    1.702988e+00   3.709634e-02
  4.653011e-01    1.769495e+00   3.771433e-02
  4.675115e-01    1.790756e+00   3.784031e-02
  4.697220e-01    1.763594e+00   3.745393e-02
  4.719324e-01    1.731395e+00   3.701445e-02
  4.741429e-01    1.701589e+00   3.659992e-02
  4.763533e-01    1.700190e+00   3.649106e-02
  4.785638e-01    1.757266e+00   3.700269e-02
  4.807743e-01    1.675743e+00   3.604230e-02
  4.829847e-01    1.669558e+00   3.588482e-02
  4.851952e-01    1.684671e+00   3.595567e-02
  4.874056e-01    1.652077e+00   3.551636e-02
  4.896161e-01    1.646918e+00   3.537292e-02
  4.918265e-01    1.688990e+00   3.573293e-02
  4.940370e-01    1.739819e+00   3.617708e-02
  4.962475e-01    1.747570e+00   3.616806e-02
  4.984579e-01    1.706977e+00   3.565744e-02
  5.006684e-01    1.678624e+00   3.527383e-02
  5.028788e-01    1.709851e+00   3.551416e-02
  5.050893e-01    1.683059e+00   3.514913e-02
  5.072997e-01    1.690793e+00   3.514470e-02
  5.095102e-01    1.684681e+00   3.499710e-02
  5.117206e-01    1.691330e+00   3.498271e-02
  5.139311e-01    1.675924e+00   3.474061e-02
  5.161416e-01    1.653729e+00   3.442825e-02
  5.183520e-01    1.652897e+00   3.433780e-02
  5.205625e-01    1.631208e+00   3.403184e-02
  5.227729e-01    1.684481e+00   3.450243e-02
  5.249834e-01    1.722782e+00   3.481149e-02
  5.271938e-01    1.684760e+00   3.434487e-02
  5.294043e-01    1.763513e+00   3.505731e-02
  5.316148e-01    1.784845e+00   3.518794e-02
  5.338252e-01    1.772107e+00   3.498203e-02
  5.360357e-01    1.710293e+00   3.428826e-02
  5.382461e-01    1.739360e+00   3.450022e-02
  5.404566e-01    1.766509e+00   3.468931e-02
  5.426670e-01    1.787003e+00   3.481134e-02
  5.448775e-01    1.751014e+00   3.438206e-02
  5.470879e-01    1.745381e+00   3.425014e-02
  5.492984e-01    1.762848e+00   3.434455e-02
  5.515089e-01    1.778410e+00   3.441930e-02
  5.537193e-01    1.805724e+00   3.460620e-02
  5.559298e-01    1.791434e+00   3.439341e-02
  5.581402e-01    1.783720e+00   3.424427e-02
  5.603507e-01    1.794654e+00   3.427432e-02
  5.625611e-01    1.823743e+00   3.447599e-02
  5.647716e-01    1.795038e+00   3.412933e-02
  5.669821e-01    1.819414e+00   3.428622e-02
  5.691925e-01    1.773808e+00   3.378111e-02
  5.714030e-01    1.766503e+00   3.363960e-02
  5.736134e-01    1.701342e+00   3.294312e-02
  5.758239e-01    1.721266e+00   3.306472e-02
