# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166600",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "YoAm1uO4X7bs4MugvVg0Gg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000044.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.414766e+00   6.436197e-01
  3.315685e-03    1.765011e+00   4.370379e-01
  5.526141e-03    1.747244e+00   3.362397e-01
  7.736597e-03    1.206053e+00   2.359953e-01
  9.947054e-03    1.163999e+00   2.043868e-01
  1.215751e-02    1.651612e+00   2.201520e-01
  1.436797e-02    1.547095e+00   1.959902e-01
  1.657842e-02    1.365097e+00   1.713666e-01
  1.878888e-02    1.161448e+00   1.484784e-01
  2.099934e-02    1.166059e+00   1.407545e-01
  2.320979e-02    1.322102e+00   1.425494e-01
  2.542025e-02    1.496875e+00   1.449447e-01
  2.763070e-02    1.422858e+00   1.355412e-01
  2.984116e-02    1.385057e+00   1.286798e-01
  3.205162e-02    1.446805e+00   1.269087e-01
  3.426207e-02    1.315784e+00   1.170489e-01
  3.647253e-02    1.444598e+00   1.188675e-01
  3.868299e-02    1.585252e+00   1.209191e-01
  4.089344e-02    1.528943e+00   1.154985e-01
  4.310390e-02    1.432425e+00   1.088829e-01
  4.531436e-02    1.463675e+00   1.073466e-01
  4.752481e-02    1.518540e+00   1.067658e-01
  4.973527e-02    1.626180e+00   1.080031e-01
  5.194572e-02    1.504677e+00   1.016540e-01
  5.415618e-02    1.511526e+00   9.978071e-02
  5.636664e-02    1.428196e+00   9.507342e-02
  5.857709e-02    1.486415e+00   9.514470e-02
  6.078755e-02    1.486356e+00   9.339394e-02
  6.299801e-02    1.385981e+00   8.858805e-02
  6.520846e-02    1.350152e+00   8.594133e-02
  6.741892e-02    1.306391e+00   8.313548e-02
  6.962938e-02    1.471878e+00   8.683646e-02
  7.183983e-02    1.508393e+00   8.654246e-02
  7.405029e-02    1.458664e+00   8.382217e-02
  7.626074e-02    1.373099e+00   8.013853e-02
  7.847120e-02    1.433746e+00   8.072536e-02
  8.068166e-02    1.484038e+00   8.099550e-02
  8.289211e-02    1.438385e+00   7.866912e-02
  8.510257e-02    1.470476e+00   7.850158e-02
  8.731303e-02    1.486792e+00   7.792732e-02
  8.952348e-02    1.534866e+00   7.819570e-02
  9.173394e-02    1.456840e+00   7.525577e-02
  9.394439e-02    1.458170e+00   7.439665e-02
  9.615485e-02    1.530088e+00   7.532652e-02
  9.836531e-02    1.451888e+00   7.254527e-02
  1.005758e-01    1.401027e+00   7.047623e-02
  1.027862e-01    1.465245e+00   7.129237e-02
  1.049967e-01    1.504816e+00   7.148281e-02
  1.072071e-01    1.542450e+00   7.162033e-02
  1.094176e-01    1.526005e+00   7.051317e-02
  1.116280e-01    1.541399e+00   7.016123e-02
  1.138385e-01    1.569814e+00   7.011282e-02
  1.160490e-01    1.550355e+00   6.900930e-02
  1.182594e-01    1.514474e+00   6.756414e-02
  1.204699e-01    1.487980e+00   6.635278e-02
  1.226803e-01    1.607089e+00   6.833046e-02
  1.248908e-01    1.608686e+00   6.775592e-02
  1.271012e-01    1.574371e+00   6.644262e-02
  1.293117e-01    1.615641e+00   6.672926e-02
  1.315222e-01    1.531249e+00   6.441338e-02
  1.337326e-01    1.532250e+00   6.389846e-02
  1.359431e-01    1.559859e+00   6.450931e-02
  1.381535e-01    1.508249e+00   6.428463e-02
  1.403640e-01    1.565030e+00   6.576625e-02
  1.425744e-01    1.599587e+00   6.659456e-02
  1.447849e-01    1.600741e+00   6.663395e-02
  1.469953e-01    1.622659e+00   6.704655e-02
  1.492058e-01    1.654866e+00   6.762999e-02
  1.514163e-01    1.647726e+00   6.737187e-02
  1.536267e-01    1.572959e+00   6.569709e-02
  1.558372e-01    1.609141e+00   6.630167e-02
  1.580476e-01    1.582137e+00   6.558349e-02
  1.602581e-01    1.616212e+00   6.611758e-02
  1.624685e-01    1.710674e+00   6.783611e-02
  1.646790e-01    1.655170e+00   6.653494e-02
