# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166720",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "colIL6YFkwTnj+mLdeQspQ==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000047.dat
#        q_A^-1              I           sigma 
  1.105228e-03    2.188257e+00   8.004537e-01
  3.315685e-03    1.353573e+00   3.827245e-01
  5.526141e-03    1.707129e+00   3.323573e-01
  7.736597e-03    1.368632e+00   2.513990e-01
  9.947054e-03    1.599693e+00   2.396044e-01
  1.215751e-02    1.627351e+00   2.185291e-01
  1.436797e-02    1.426185e+00   1.881758e-01
  1.657842e-02    1.628543e+00   1.871733e-01
  1.878888e-02    1.296326e+00   1.568631e-01
  2.099934e-02    1.173469e+00   1.412010e-01
  2.320979e-02    1.258042e+00   1.390530e-01
  2.542025e-02    1.242168e+00   1.320382e-01
  2.763070e-02    1.398481e+00   1.343750e-01
  2.984116e-02    1.336907e+00   1.264233e-01
  3.205162e-02    1.351162e+00   1.226422e-01
  3.426207e-02    1.507711e+00   1.252951e-01
  3.647253e-02    1.469455e+00   1.198858e-01
  3.868299e-02    1.434004e+00   1.150061e-01
  4.089344e-02    1.518613e+00   1.151077e-01
  4.310390e-02    1.472009e+00   1.103771e-01
  4.531436e-02    1.439985e+00   1.064743e-01
  4.752481e-02    1.340536e+00   1.003132e-01
  4.973527e-02    1.381911e+00   9.956160e-02
  5.194572e-02    1.289121e+00   9.409137e-02
  5.415618e-02    1.330125e+00   9.360197e-02
  5.636664e-02    1.349605e+00   9.242055e-02
  5.857709e-02    1.414747e+00   9.282261e-02
  6.078755e-02    1.540119e+00   9.506804e-02
  6.299801e-02    1.467280e+00   9.114922e-02
  6.520846e-02    1.519571e+00   9.117405e-02
  6.741892e-02    1.527744e+00   8.990319e-02
  6.962938e-02    1.475226e+00   8.693518e-02
  7.183983e-02    1.483130e+00   8.581471e-02
  7.405029e-02    1.546055e+00   8.629658e-02
  7.626074e-02    1.430032e+00   8.178305e-02
  7.847120e-02    1.450336e+00   8.119107e-02
  8.068166e-02    1.495734e+00   8.131401e-02
  8.289211e-02    1.542363e+00   8.146293e-02
  8.510257e-02    1.410444e+00   7.688249e-02
  8.731303e-02    1.330684e+00   7.372285e-02
  8.952348e-02    1.458040e+00   7.621355e-02
  9.173394e-02    1.519175e+00   7.684892e-02
  9.394439e-02    1.476263e+00   7.485679e-02
  9.615485e-02    1.499851e+00   7.457851e-02
  9.836531e-02    1.520514e+00   7.423995e-02
  1.005758e-01    1.455801e+00   7.184067e-02
  1.027862e-01    1.500206e+00   7.213788e-02
  1.049967e-01    1.482631e+00   7.095393e-02
  1.072071e-01    1.566794e+00   7.218328e-02
  1.094176e-01    1.612881e+00   7.249259e-02
