# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166632",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "4xYgTAEhcgm6Oba1OH17lg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000049.dat
#        q_A^-1              I           sigma 
  1.105228e-03    7.200559e-01   4.591663e-01
  3.315685e-03    1.213738e+00   3.624164e-01
  5.526141e-03    1.312141e+00   2.913817e-01
  7.736597e-03    1.267553e+00   2.419375e-01
  9.947054e-03    1.190464e+00   2.066972e-01
  1.215751e-02    1.301724e+00   1.954466e-01
  1.436797e-02    1.296413e+00   1.794103e-01
  1.657842e-02    1.051601e+00   1.504076e-01
  1.878888e-02    1.316261e+00   1.580646e-01
  2.099934e-02    1.347183e+00   1.512917e-01
  2.320979e-02    1.450408e+00   1.493062e-01
  2.542025e-02    1.332333e+00   1.367464e-01
  2.763070e-02    1.356370e+00   1.323364e-01
  2.984116e-02    1.519840e+00   1.347955e-01
  3.205162e-02    1.545655e+00   1.311724e-01
  3.426207e-02    1.405020e+00   1.209529e-01
  3.647253e-02    1.275472e+00   1.116928e-01
  3.868299e-02    1.424124e+00   1.146092e-01
  4.089344e-02    1.364806e+00   1.091230e-01
  4.310390e-02    1.374984e+00   1.066775e-01
  4.531436e-02    1.381188e+00   1.042779e-01
  4.752481e-02    1.506290e+00   1.063343e-01
  4.973527e-02    1.300710e+00   9.659220e-02
  5.194572e-02    1.310600e+00   9.487198e-02
  5.415618e-02    1.428531e+00   9.700265e-02
  5.636664e-02    1.458145e+00   9.606509e-02
  5.857709e-02    1.545476e+00   9.701654e-02
  6.078755e-02    1.451367e+00   9.228817e-02
  6.299801e-02    1.352476e+00   8.751070e-02
  6.520846e-02    1.377816e+00   8.681729e-02
  6.741892e-02    1.440839e+00   8.730870e-02
  6.962938e-02    1.484351e+00   8.720366e-02
  7.183983e-02    1.350170e+00   8.187784e-02
  7.405029e-02    1.329486e+00   8.002453e-02
  7.626074e-02    1.390783e+00   8.065292e-02
  7.847120e-02    1.411335e+00   8.009196e-02
  8.068166e-02    1.447263e+00   7.998563e-02
  8.289211e-02    1.371852e+00   7.682814e-02
  8.510257e-02    1.400475e+00   7.661028e-02
  8.731303e-02    1.488300e+00   7.796684e-02
  8.952348e-02    1.510312e+00   7.756770e-02
  9.173394e-02    1.518550e+00   7.683311e-02
  9.394439e-02    1.519881e+00   7.595459e-02
  9.615485e-02    1.475014e+00   7.395845e-02
  9.836531e-02    1.423683e+00   7.183714e-02
  1.005758e-01    1.450012e+00   7.169770e-02
  1.027862e-01    1.422021e+00   7.023297e-02
  1.049967e-01    1.441432e+00   6.996117e-02
  1.072071e-01    1.457853e+00   6.962860e-02
  1.094176e-01    1.549531e+00   7.105463e-02
  1.116280e-01    1.497594e+00   6.915709e-02
  1.138385e-01    1.433081e+00   6.698979e-02
  1.160490e-01    1.446238e+00   6.665180e-02
  1.182594e-01    1.525527e+00   6.781024e-02
  1.204699e-01    1.566035e+00   6.807087e-02
  1.226803e-01    1.566458e+00   6.746116e-02
  1.248908e-01    1.574399e+00   6.702997e-02
  1.271012e-01    1.494546e+00   6.473631e-02
  1.293117e-01    1.502393e+00   6.434806e-02
  1.315222e-01    1.585065e+00   6.553552e-02
  1.337326e-01    1.595813e+00   6.521037e-02
  1.359431e-01    1.563480e+00   6.458415e-02
  1.381535e-01    1.660917e+00   6.745970e-02
  1.403640e-01    1.651765e+00   6.756409e-02
  1.425744e-01    1.529067e+00   6.511006e-02
  1.447849e-01    1.686592e+00   6.839746e-02
  1.469953e-01    1.617529e+00   6.694050e-02
  1.492058e-01    1.556278e+00   6.558454e-02
  1.514163e-01    1.630425e+00   6.701723e-02
  1.536267e-01    1.582573e+00   6.589756e-02
  1.558372e-01    1.595561e+00   6.602131e-02
  1.580476e-01    1.693022e+00   6.784278e-02
  1.602581e-01    1.653744e+00   6.688090e-02
  1.624685e-01    1.640634e+00   6.643290e-02
  1.646790e-01    1.587359e+00   6.515775e-02
  1.668895e-01    1.641400e+00   6.606624e-02
  1.690999e-01    1.655764e+00   6.615542e-02
  1.713104e-01    1.727206e+00   6.735788e-02
  1.735208e-01    1.746001e+00   6.751278e-02
  1.757313e-01    1.769348e+00   6.774968e-02
  1.779417e-01    1.867542e+00   6.937721e-02
  1.801522e-01    1.945803e+00   7.059045e-02
  1.823626e-01    1.913147e+00   6.976257e-02
  1.845731e-01    1.941272e+00   7.004585e-02
  1.867836e-01    1.889406e+00   6.887058e-02
  1.889940e-01    2.044074e+00   7.139993e-02
  1.912045e-01    1.969482e+00   6.985106e-02
  1.934149e-01    1.864588e+00   6.773799e-02
  1.956254e-01    1.879295e+00   6.778032e-02
  1.978358e-01    1.834519e+00   6.673849e-02
  2.000463e-01    1.959698e+00   6.874929e-02
  2.022568e-01    2.018435e+00   6.954298e-02
  2.044672e-01    1.988384e+00   6.878690e-02
  2.066777e-01    2.007215e+00   6.888246e-02
  2.088881e-01    1.944767e+00   6.758066e-02
  2.110986e-01    1.908629e+00   6.672022e-02
  2.133090e-01    1.945209e+00   6.713757e-02
  2.155195e-01    1.969452e+00   6.733056e-02
  2.177300e-01    1.907934e+00   6.575003e-02
  2.199404e-01    1.973596e+00   6.510980e-02
  2.221509e-01    1.951023e+00   6.367337e-02
  2.243613e-01    1.911432e+00   6.222505e-02
  2.265718e-01    1.988847e+00   6.277303e-02
  2.287822e-01    2.065518e+00   6.333835e-02
  2.309927e-01    2.071181e+00   6.284735e-02
  2.332031e-01    2.083185e+00   6.248974e-02
  2.354136e-01    2.182482e+00   6.344331e-02
  2.376241e-01    2.080871e+00   6.146805e-02
  2.398345e-01    2.006731e+00   5.991629e-02
  2.420450e-01    2.051867e+00   6.015341e-02
  2.442554e-01    2.073121e+00   6.004759e-02
  2.464659e-01    2.100669e+00   6.003941e-02
  2.486763e-01    2.154056e+00   6.039792e-02
  2.508868e-01    2.041348e+00   5.842567e-02
  2.530973e-01    2.175311e+00   5.993836e-02
  2.553077e-01    2.070026e+00   5.811522e-02
  2.575182e-01    2.109219e+00   5.831570e-02
  2.597286e-01    2.141546e+00   5.841932e-02
  2.619391e-01    2.039719e+00   5.668532e-02
  2.641495e-01    1.963496e+00   5.530826e-02
  2.663600e-01    1.994281e+00   5.543359e-02
  2.685704e-01    2.017426e+00   5.545213e-02
  2.707809e-01    2.041583e+00   5.548704e-02
  2.729914e-01    2.095978e+00   5.592838e-02
  2.752018e-01    2.022271e+00   5.465027e-02
  2.774123e-01    1.978306e+00   5.377682e-02
  2.796227e-01    1.951138e+00   5.314213e-02
  2.818332e-01    1.936806e+00   5.268245e-02
  2.840436e-01    1.990812e+00   5.315299e-02
  2.862541e-01    1.967416e+00   5.258576e-02
  2.884646e-01    1.928182e+00   5.181171e-02
  2.906750e-01    1.951318e+00   5.187449e-02
  2.928855e-01    1.965629e+00   5.182313e-02
  2.950959e-01    1.984924e+00   5.183765e-02
  2.973064e-01    1.937169e+00   5.098011e-02
  2.995168e-01    1.866091e+00   4.980949e-02
  3.017273e-01    1.870452e+00   4.964778e-02
  3.039377e-01    1.929693e+00   5.020706e-02
  3.061482e-01    1.912233e+00   4.976323e-02
  3.083587e-01    1.894225e+00   4.931394e-02
  3.105691e-01    1.880622e+00   4.892670e-02
  3.127796e-01    1.856144e+00   4.840288e-02
  3.149900e-01    1.865558e+00   4.832327e-02
  3.172005e-01    1.945270e+00   4.914309e-02
  3.194109e-01    1.898188e+00   4.834435e-02
  3.216214e-01    1.887684e+00   4.801369e-02
  3.238319e-01    1.822779e+00   4.699411e-02
  3.260423e-01    1.769396e+00   4.611640e-02
  3.282528e-01    1.809807e+00   4.645438e-02
  3.304632e-01    1.879477e+00   4.715671e-02
  3.326737e-01    1.830965e+00   4.636253e-02
  3.348841e-01    1.809073e+00   4.590581e-02
  3.370946e-01    1.857180e+00   4.633719e-02
  3.393050e-01    1.800850e+00   4.545621e-02
  3.415155e-01    1.834221e+00   4.570294e-02
  3.437260e-01    1.804935e+00   4.516858e-02
  3.459364e-01    1.818177e+00   4.516627e-02
  3.481469e-01    1.720698e+00   4.377848e-02
  3.503573e-01    1.732905e+00   4.377341e-02
  3.525678e-01    1.787952e+00   4.430477e-02
  3.547782e-01    1.814975e+00   4.447699e-02
  3.569887e-01    1.796667e+00   4.409530e-02
  3.591992e-01    1.788815e+00   4.384317e-02
  3.614096e-01    1.788494e+00   4.368722e-02
  3.636201e-01    1.774805e+00   4.336678e-02
  3.658305e-01    1.806048e+00   4.359760e-02
  3.680410e-01    1.799873e+00   4.337331e-02
  3.702514e-01    1.785317e+00   4.305229e-02
  3.724619e-01    1.812592e+00   4.323219e-02
  3.746724e-01    1.815725e+00   4.312517e-02
  3.768828e-01    1.770353e+00   4.243965e-02
  3.790933e-01    1.754794e+00   4.211507e-02
  3.813037e-01    1.817257e+00   4.271784e-02
  3.835142e-01    1.769572e+00   4.201522e-02
  3.857246e-01    1.764433e+00   4.181838e-02
  3.879351e-01    1.815096e+00   4.227722e-02
  3.901455e-01    1.788209e+00   4.182934e-02
  3.923560e-01    1.792761e+00   4.174944e-02
  3.945665e-01    1.778799e+00   4.145466e-02
  3.967769e-01    1.820108e+00   4.180191e-02
  3.989874e-01    1.857905e+00   4.210187e-02
  4.011978e-01    1.799614e+00   4.130871e-02
  4.034083e-01    1.777159e+00   4.092416e-02
  4.056187e-01    1.823371e+00   4.132513e-02
  4.078292e-01    1.772119e+00   4.061691e-02
  4.100397e-01    1.814843e+00   4.097810e-02
  4.122501e-01    1.814397e+00   4.085050e-02
  4.144606e-01    1.793074e+00   4.048932e-02
  4.166710e-01    1.781940e+00   4.024339e-02
  4.188815e-01    1.775793e+00   4.005525e-02
  4.210919e-01    1.813024e+00   4.035435e-02
  4.233024e-01    1.792073e+00   4.000251e-02
  4.255128e-01    1.814953e+00   4.014069e-02
  4.277233e-01    1.821761e+00   4.010035e-02
  4.299338e-01    1.824495e+00   4.001497e-02
  4.321442e-01    1.819072e+00   3.984111e-02
  4.343547e-01    1.766859e+00   3.915416e-02
  4.365651e-01    1.749973e+00   3.885589e-02
  4.387756e-01    1.726871e+00   3.849048e-02
  4.409860e-01    1.703560e+00   3.812389e-02
  4.431965e-01    1.762869e+00   3.867462e-02
  4.454070e-01    1.744620e+00   3.836688e-02
  4.476174e-01    1.738318e+00   3.819237e-02
  4.498279e-01    1.742658e+00   3.813598e-02
  4.520383e-01    1.734190e+00   3.793879e-02
  4.542488e-01    1.726565e+00   3.775323e-02
