# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166612",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "W9czafVzECTakPdd+bC3/g==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000050.dat
#        q_A^-1              I           sigma 
  1.105228e-03    2.137326e+00   7.910836e-01
  3.315685e-03    1.518641e+00   4.053899e-01
  5.526141e-03    1.385197e+00   2.993836e-01
  7.736597e-03    1.453764e+00   2.590999e-01
  9.947054e-03    1.111550e+00   1.997289e-01
  1.215751e-02    1.180006e+00   1.860847e-01
  1.436797e-02    1.158774e+00   1.696192e-01
  1.657842e-02    1.301504e+00   1.673274e-01
  1.878888e-02    1.381374e+00   1.619269e-01
  2.099934e-02    1.502265e+00   1.597627e-01
  2.320979e-02    1.575278e+00   1.556007e-01
  2.542025e-02    1.421910e+00   1.412686e-01
  2.763070e-02    1.375779e+00   1.332799e-01
  2.984116e-02    1.352186e+00   1.271437e-01
  3.205162e-02    1.421614e+00   1.257989e-01
  3.426207e-02    1.392134e+00   1.203969e-01
  3.647253e-02    1.398203e+00   1.169431e-01
  3.868299e-02    1.352098e+00   1.116734e-01
  4.089344e-02    1.344039e+00   1.082896e-01
  4.310390e-02    1.343312e+00   1.054417e-01
  4.531436e-02    1.319265e+00   1.019135e-01
  4.752481e-02    1.323456e+00   9.967214e-02
  4.973527e-02    1.423842e+00   1.010608e-01
  5.194572e-02    1.356478e+00   9.651824e-02
  5.415618e-02    1.361640e+00   9.470434e-02
  5.636664e-02    1.246511e+00   8.882052e-02
  5.857709e-02    1.363408e+00   9.112290e-02
  6.078755e-02    1.446683e+00   9.213911e-02
  6.299801e-02    1.583713e+00   9.469669e-02
  6.520846e-02    1.527815e+00   9.142102e-02
  6.741892e-02    1.446108e+00   8.746821e-02
  6.962938e-02    1.489443e+00   8.735308e-02
  7.183983e-02    1.552790e+00   8.780687e-02
  7.405029e-02    1.478804e+00   8.439886e-02
  7.626074e-02    1.495902e+00   8.364537e-02
  7.847120e-02    1.489448e+00   8.227856e-02
  8.068166e-02    1.534477e+00   8.236041e-02
  8.289211e-02    1.436738e+00   7.862407e-02
  8.510257e-02    1.450687e+00   7.797154e-02
  8.731303e-02    1.568625e+00   8.004319e-02
  8.952348e-02    1.460853e+00   7.628705e-02
  9.173394e-02    1.541037e+00   7.739988e-02
  9.394439e-02    1.474934e+00   7.482310e-02
  9.615485e-02    1.511902e+00   7.487752e-02
  9.836531e-02    1.453087e+00   7.257520e-02
  1.005758e-01    1.522745e+00   7.347387e-02
  1.027862e-01    1.574205e+00   7.389559e-02
  1.049967e-01    1.486971e+00   7.105774e-02
  1.072071e-01    1.522942e+00   7.116598e-02
  1.094176e-01    1.536585e+00   7.075721e-02
  1.116280e-01    1.478828e+00   6.872243e-02
  1.138385e-01    1.523759e+00   6.907667e-02
  1.160490e-01    1.584899e+00   6.977388e-02
  1.182594e-01    1.520794e+00   6.770497e-02
  1.204699e-01    1.522940e+00   6.712773e-02
  1.226803e-01    1.614549e+00   6.848887e-02
  1.248908e-01    1.632081e+00   6.824684e-02
  1.271012e-01    1.519372e+00   6.527176e-02
  1.293117e-01    1.638325e+00   6.719606e-02
  1.315222e-01    1.576295e+00   6.535398e-02
  1.337326e-01    1.541756e+00   6.409637e-02
  1.359431e-01    1.578937e+00   6.490263e-02
  1.381535e-01    1.608549e+00   6.638770e-02
  1.403640e-01    1.623965e+00   6.699310e-02
  1.425744e-01    1.561383e+00   6.579451e-02
  1.447849e-01    1.444602e+00   6.330077e-02
  1.469953e-01    1.576476e+00   6.608554e-02
  1.492058e-01    1.605052e+00   6.660433e-02
  1.514163e-01    1.608941e+00   6.657423e-02
  1.536267e-01    1.566415e+00   6.556028e-02
  1.558372e-01    1.556102e+00   6.519986e-02
  1.580476e-01    1.542901e+00   6.476514e-02
  1.602581e-01    1.543051e+00   6.460382e-02
  1.624685e-01    1.485228e+00   6.320826e-02
  1.646790e-01    1.565881e+00   6.471542e-02
  1.668895e-01    1.703473e+00   6.730385e-02
  1.690999e-01    1.719137e+00   6.740956e-02
  1.713104e-01    1.709391e+00   6.700961e-02
  1.735208e-01    1.798568e+00   6.852156e-02
  1.757313e-01    1.837563e+00   6.904331e-02
  1.779417e-01    1.879998e+00   6.960823e-02
  1.801522e-01    1.871779e+00   6.923469e-02
  1.823626e-01    1.891666e+00   6.936982e-02
  1.845731e-01    1.817012e+00   6.776697e-02
  1.867836e-01    1.852093e+00   6.818711e-02
  1.889940e-01    1.927040e+00   6.932581e-02
  1.912045e-01    1.935056e+00   6.923786e-02
