# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166610",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "ki7d38Pt/NBVFeCP1/NJEA==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000051.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.215443e+00   5.965601e-01
  3.315685e-03    1.399266e+00   3.891307e-01
  5.526141e-03    1.138682e+00   2.714397e-01
  7.736597e-03    1.478187e+00   2.612672e-01
  9.947054e-03    1.468763e+00   2.295897e-01
  1.215751e-02    1.607697e+00   2.172055e-01
  1.436797e-02    1.391116e+00   1.858478e-01
  1.657842e-02    1.304250e+00   1.675039e-01
  1.878888e-02    1.539339e+00   1.709349e-01
  2.099934e-02    1.246222e+00   1.455124e-01
  2.320979e-02    1.347509e+00   1.439125e-01
  2.542025e-02    1.427912e+00   1.415664e-01
  2.763070e-02    1.377104e+00   1.333441e-01
  2.984116e-02    1.325512e+00   1.258834e-01
  3.205162e-02    1.382016e+00   1.240346e-01
  3.426207e-02    1.316640e+00   1.170869e-01
  3.647253e-02    1.341581e+00   1.145508e-01
  3.868299e-02    1.462164e+00   1.161298e-01
  4.089344e-02    1.308686e+00   1.068559e-01
  4.310390e-02    1.197648e+00   9.956083e-02
  4.531436e-02    1.387046e+00   1.044988e-01
  4.752481e-02    1.419627e+00   1.032300e-01
  4.973527e-02    1.432214e+00   1.013575e-01
  5.194572e-02    1.373385e+00   9.711785e-02
  5.415618e-02    1.453407e+00   9.784359e-02
  5.636664e-02    1.467098e+00   9.635956e-02
  5.857709e-02    1.423852e+00   9.312086e-02
  6.078755e-02    1.426842e+00   9.150509e-02
  6.299801e-02    1.518020e+00   9.271182e-02
  6.520846e-02    1.439455e+00   8.873803e-02
  6.741892e-02    1.501982e+00   8.914196e-02
  6.962938e-02    1.405219e+00   8.484737e-02
  7.183983e-02    1.480734e+00   8.574533e-02
  7.405029e-02    1.517677e+00   8.550094e-02
  7.626074e-02    1.559646e+00   8.540894e-02
  7.847120e-02    1.417700e+00   8.027239e-02
  8.068166e-02    1.386807e+00   7.829722e-02
  8.289211e-02    1.448557e+00   7.894678e-02
  8.510257e-02    1.469308e+00   7.847040e-02
  8.731303e-02    1.453077e+00   7.703873e-02
  8.952348e-02    1.502229e+00   7.735986e-02
  9.173394e-02    1.476327e+00   7.575743e-02
  9.394439e-02    1.497390e+00   7.539052e-02
  9.615485e-02    1.519178e+00   7.505750e-02
  9.836531e-02    1.531286e+00   7.450246e-02
  1.005758e-01    1.494378e+00   7.278631e-02
  1.027862e-01    1.497820e+00   7.208048e-02
  1.049967e-01    1.490121e+00   7.113295e-02
  1.072071e-01    1.464173e+00   6.977936e-02
