# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166596",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "lYMIWnAUonnzIBxl7ZITbg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000052.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.566282e+00   6.772078e-01
  3.315685e-03    8.886154e-01   3.101004e-01
  5.526141e-03    1.313764e+00   2.915620e-01
  7.736597e-03    1.365077e+00   2.510723e-01
  9.947054e-03    1.406463e+00   2.246677e-01
  1.215751e-02    1.458129e+00   2.068552e-01
  1.436797e-02    1.450132e+00   1.897490e-01
  1.657842e-02    1.416831e+00   1.745836e-01
  1.878888e-02    1.297506e+00   1.569345e-01
  2.099934e-02    1.387468e+00   1.535372e-01
  2.320979e-02    1.301831e+00   1.414524e-01
  2.542025e-02    1.294971e+00   1.348154e-01
  2.763070e-02    1.276125e+00   1.283621e-01
  2.984116e-02    1.362313e+00   1.276189e-01
  3.205162e-02    1.320082e+00   1.212235e-01
  3.426207e-02    1.386465e+00   1.201515e-01
  3.647253e-02    1.322751e+00   1.137440e-01
  3.868299e-02    1.413080e+00   1.141640e-01
  4.089344e-02    1.319126e+00   1.072813e-01
  4.310390e-02    1.436473e+00   1.090367e-01
  4.531436e-02    1.618178e+00   1.128701e-01
  4.752481e-02    1.342808e+00   1.003982e-01
  4.973527e-02    1.287744e+00   9.610955e-02
  5.194572e-02    1.310516e+00   9.486895e-02
  5.415618e-02    1.369348e+00   9.497201e-02
  5.636664e-02    1.318323e+00   9.134318e-02
  5.857709e-02    1.476946e+00   9.484115e-02
  6.078755e-02    1.416603e+00   9.117618e-02
  6.299801e-02    1.385047e+00   8.855820e-02
  6.520846e-02    1.348077e+00   8.587528e-02
  6.741892e-02    1.391722e+00   8.580764e-02
  6.962938e-02    1.473081e+00   8.687199e-02
  7.183983e-02    1.424477e+00   8.410072e-02
  7.405029e-02    1.472858e+00   8.422902e-02
  7.626074e-02    1.376065e+00   8.022502e-02
  7.847120e-02    1.415474e+00   8.020934e-02
  8.068166e-02    1.399647e+00   7.865885e-02
  8.289211e-02    1.484077e+00   7.990884e-02
  8.510257e-02    1.467849e+00   7.843144e-02
